GO Term ID,GO Term Name,ES,p-value,NES (NES*_pos = 1.784857611704173;NES*_neg=None)),Leading-edge subset
GO:0048308,organelle inheritance,0.37202485041686817,0.8661417322834646,0.6829062279181907,
GO:0000003,reproduction,-1.2253933287787597,0.003,-1.1610598662926417,YDR104C;YHR185C;YDL240W;YOL070C;YER180C;YIL015W;YJL038C;YMR148W;YPL017C;YMR017W;YHR184W;YLR341W;YNL194C;YOR242C;YEL072W;YPR192W;YCL048W;YDR522C;YML066C;YHL023C
GO:0007033,vacuole organization,-0.4235779915697865,0.25949367088607594,-1.1513574293972844,YJR138W;YDR089W;YPL236C;YPR194C;YHL023C;YDL234C
GO:0006281,DNA repair,-0.5639480578394371,0.5617408906882592,-0.9359421678880036,YLR247C;YOR141C
GO:0051052,regulation of DNA metabolic process,-0.4070669038662661,0.8046744574290484,-0.7272814099884731,YDR291W;YKL010C
GO:0006310,DNA recombination,-0.7720947119481868,0.05523590333716916,-1.4463436465095703,YLR247C;YPL017C;YOR141C;YJL051W
GO:0000018,regulation of DNA recombination,0.6743455497382189,0.6536082474226804,0.9003591751079544,
GO:0006312,mitotic recombination,-0.6189534890401512,0.17032967032967034,-1.3281506170849235,YPL017C;YOR141C;YJL051W
GO:0051231,spindle elongation,0.4425331766484313,0.7096774193548387,0.8101540998565775,YKR088C
GO:1903047,mitotic cell cycle process,-0.8074791687415122,0.033,-1.2479281285295025,YOR339C;YPL017C;YOR066W;YHR149C
GO:0000070,mitotic sister chromatid segregation,-0.5030840275483428,0.1958266452648475,-1.2545291914279193,YPL017C;YOR339C
GO:0007052,mitotic spindle organization,-0.31880977683315653,0.8262626262626263,-0.7047556773673013,YBL031W;YMR294W;YGL060W;YHR127W;YKR088C
GO:0000022,mitotic spindle elongation,0.44293917541628375,0.7014925373134329,0.8114950523525799,YKR088C
GO:0005984,disaccharide metabolic process,-0.6774559997496967,0.002053388090349076,-1.9710245845493453,YDR001C;YIL162W;YJL221C;YOL157C;YPR026W
GO:0000023,maltose metabolic process,-0.7481940144478935,0.12653061224489795,-1.3880041289831557,YBR299W;YJL221C;YOL157C
GO:0046352,disaccharide catabolic process,-0.732565121472107,0.0021008403361344537,-1.8538194390232694,YDR001C;YIL162W;YJL221C;YOL157C;YPR026W
GO:0022618,ribonucleoprotein complex assembly,0.5858405552566742,0.0,1.784857611704173,YER063W;YJR123W;YOR167C;YJR113C;YNR037C;YNL306W;YKL156W;YKL006W;YLR325C;YPL143W;YIL148W;YER007C-A
GO:0042255,ribosome assembly,0.6182882336074375,0.0,2.000748879648281,YJR123W;YOR167C;YJR113C;YNR037C;YGL189C;YNL306W;YER131W;YKL156W;YKL006W;YPL143W;YIL148W;YHL001W;YGL064C
GO:0042273,ribosomal large subunit biogenesis,0.4098950961669275,0.003389830508474576,1.5574231387169943,YGR034W;YJL177W;YIL148W;YDL191W;YHL001W;YDL136W;YPL198W;YKR094C;YDR500C;YPL220W;YGL076C;YOR234C;YER131W;YKL180W;YGL064C;YGL189C;YKL006W;YPL143W;YIL133C;YLR344W
GO:0000027,ribosomal large subunit assembly,0.631605770543622,0.045454545454545456,1.5753800379904321,YHL001W;YIL148W;YPL143W;YKL006W;YGL064C
GO:0042274,ribosomal small subunit biogenesis,0.4818513060924954,0.0,1.7937681613183318,YBR181C;YML026C;YLR441C;YJR123W;YNL096C;YOR167C;YJL136C;YER074W;YOR205C;YBR189W;YJR113C;YPL090C;YKL156W;YPL081W;YDR064W;YNR037C;YNL306W;YML063W;YHL015W;YOR096W
GO:0000028,ribosomal small subunit assembly,0.748691099476444,0.0076045627376425855,1.7359694817184306,YOR167C;YJR113C;YNR037C;YNL306W;YKL156W
GO:0006057,mannoprotein biosynthetic process,0.6618257261410797,0.7156673114119922,0.8645598253298009,
