Batch 0 Loss:	0.7180655598640442
Batch 0 Time:	0.13743053277333578 minutes
Batch 100 Loss:	65.65286177396774
Batch 100 Time:	0.7344607909520467 minutes
Batch 200 Loss:	58.44981896877289
Batch 200 Time:	0.737286110719045 minutes
Batch 300 Loss:	55.81541818380356
Batch 300 Time:	0.7285704056421916 minutes
Batch 400 Loss:	53.2653785943985
Batch 400 Time:	0.7327534357706705 minutes
Batch 500 Loss:	50.36211642622948
Batch 500 Time:	0.729849644502004 minutes
Batch 600 Loss:	48.26593694090843
Batch 600 Time:	0.7300961732864379 minutes
Batch 700 Loss:	47.12626311182976
Batch 700 Time:	0.732607897122701 minutes
Batch 800 Loss:	42.87936997413635
Batch 800 Time:	0.7284561514854431 minutes
Batch 900 Loss:	41.81601986289024
Batch 900 Time:	0.7277005513509115 minutes
Batch 1000 Loss:	40.316969245672226
Batch 1000 Time:	0.7277113636334737 minutes
Batch 1100 Loss:	39.95875032246113
Batch 1100 Time:	0.7239255626996358 minutes
Batch 1200 Loss:	39.305992022156715
Batch 1200 Time:	0.7383579889933268 minutes
Batch 1300 Loss:	35.48277322947979
Batch 1300 Time:	0.7273563067118327 minutes
Batch 1400 Loss:	34.20812138915062
Batch 1400 Time:	0.7305744846661886 minutes
Batch 1500 Loss:	33.982862800359726
Batch 1500 Time:	0.7251848340034485 minutes
Batch 1600 Loss:	35.7561314702034
Batch 1600 Time:	0.730349087715149 minutes
Batch 1700 Loss:	33.3256888538599
Batch 1700 Time:	0.7342279354731241 minutes
Batch 1800 Loss:	30.968955248594284
Batch 1800 Time:	0.7314478754997253 minutes
Batch 1900 Loss:	31.06003274023533
Batch 1900 Time:	0.7310332099596659 minutes
Batch 2000 Loss:	29.91571919620037
Batch 2000 Time:	0.7350546240806579 minutes
Batch 2100 Loss:	29.68624524027109
Batch 2100 Time:	0.7373247106870016 minutes
Batch 2200 Loss:	29.537595603615046
Batch 2200 Time:	0.7288416147232055 minutes
Batch 2300 Loss:	26.46404878050089
Batch 2300 Time:	0.7324763854344686 minutes
Batch 2400 Loss:	27.34173908829689
Batch 2400 Time:	0.7250537435213725 minutes
Batch 2500 Loss:	27.492273315787315
Batch 2500 Time:	0.7237072706222534 minutes
Batch 2600 Loss:	27.304346848279238
Batch 2600 Time:	0.724261490503947 minutes
Batch 2700 Loss:	26.76720755547285
Batch 2700 Time:	0.720371949672699 minutes
Batch 2800 Loss:	25.677837915718555
Batch 2800 Time:	0.7292173902193705 minutes
Batch 2900 Loss:	25.93828969076276
Batch 2900 Time:	0.7313658873240153 minutes
Batch 3000 Loss:	21.95844815298915
Batch 3000 Time:	0.7288067976633708 minutes
Batch 3100 Loss:	24.196617778390646
Batch 3100 Time:	0.72891210714976 minutes
Batch 3200 Loss:	22.64327321574092
Batch 3200 Time:	0.7292477488517761 minutes
Batch 3300 Loss:	22.327209290117025
Batch 3300 Time:	0.7267561515172323 minutes
Batch 3400 Loss:	24.81462413817644
Batch 3400 Time:	0.7296812534332275 minutes
Batch 3500 Loss:	23.217541057616472
Batch 3500 Time:	0.7281864881515503 minutes
Batch 3600 Loss:	20.714652433991432
Batch 3600 Time:	0.7305117925008138 minutes
Batch 3700 Loss:	22.451922468841076
Batch 3700 Time:	0.7377442240715026 minutes
Batch 3800 Loss:	22.213687093928456
Batch 3800 Time:	0.7333357652028402 minutes
Batch 3900 Loss:	21.96252803876996
Batch 3900 Time:	0.7301271796226502 minutes
Batch 4000 Loss:	20.450854228809476
Batch 4000 Time:	0.7282970587412516 minutes
Batch 4100 Loss:	19.057224843651056
Batch 4100 Time:	0.7319189230600993 minutes
Batch 4200 Loss:	20.307821556925774
Batch 4200 Time:	0.7282323360443115 minutes
Batch 4300 Loss:	21.42806063592434
Batch 4300 Time:	0.7289179921150207 minutes
Batch 4400 Loss:	16.660335784778
Batch 4400 Time:	0.7300537705421448 minutes
Batch 4500 Loss:	19.081523682922125
Batch 4500 Time:	0.7316039800643921 minutes
Batch 4600 Loss:	21.85017280653119
Batch 4600 Time:	0.7275490005811055 minutes
Batch 4700 Loss:	22.45538690313697
Batch 4700 Time:	0.7243356506029764 minutes
Batch 4800 Loss:	19.04509785026312
Batch 4800 Time:	0.7266789833704631 minutes
Batch 4900 Loss:	17.984190449118614
Batch 4900 Time:	0.7304290533065796 minutes
Batch 5000 Loss:	20.802097225561738
Batch 5000 Time:	0.7227375864982605 minutes
