Gene,Correlation
YNL048W,0.45989934
YGL226C-A,0.44211408
YBR110W,0.42919463
YGL038C,0.4058725
YBR205W,0.39144295
YKL104C,0.375
YDL232W,0.36795303
YNL219C,0.36409396
YGL022W,0.35285234
YOR085W,0.35251677
YOR002W,0.3511745
YGL047W,0.34848994
YEL002C,0.34026846
YOR103C,0.33825505
YGL027C,0.3340604
YNR030W,0.29362416
YBR243C,0.28238255
YMR149W,0.2793624
YOR336W,0.27533558
YJL002C,0.26258388
YGR227W,0.24983221
YGR036C,0.22013423
YOR099W,0.21157718
YPR183W,0.17835571
YDR483W,0.17231543
YML019W,0.16744967
YPL053C,0.16275167
YMR200W,0.16073826
