Gene,Correlation
YLR193C,0.48104027
YDR096W,0.4531879
YKR067W,0.44463086
YBL091C-A,0.43607384
YOR086C,0.42248324
YER125W,0.4194631
YDR373W,0.41895974
YKL126W,0.39681208
YBR058C-A,0.38708055
YER120W,0.37097314
YPL031C,0.36778525
YML072C,0.3260067
YOR363C,0.31711408
YLR350W,0.30285236
YHL020C,0.2874161
YMR070W,0.28372484
YNL183C,0.27902684
YHR194W,0.277349
YLR386W,0.27265102
YBR160W,0.27214766
YBR086C,0.25872484
YLR404W,0.2555369
YPL170W,0.2283557
YGL181W,0.22516778
YNL054W,0.225
YAL051W,0.20167786
