Gene,Correlation
YDL126C,0.4840604
YNL138W,0.48036912
YDL029W,0.47181207
YGL206C,0.46895972
YFL037W,0.46661073
YKL013C,0.45805368
YIL138C,0.44832215
YLL050C,0.44614094
YNL243W,0.44379196
YIL041W,0.4417785
YNL079C,0.44161072
YPR165W,0.43892616
YBL007C,0.43842283
YIL062C,0.43808725
YNL180C,0.4307047
YBR118W,0.43020135
YPR188C,0.42533556
YCR088W,0.42130873
YER125W,0.4194631
YDR328C,0.41862416
YCR002C,0.41845638
YBR234C,0.41744965
YOR122C,0.41728187
YKL129C,0.41627517
YDR424C,0.41426176
YLR370C,0.4115772
YBR109C,0.40939596
YDR129C,0.4080537
YFL039C,0.40755033
YDR016C,0.40738255
YDR379W,0.40385905
YKR001C,0.40285236
YDR477W,0.40201342
YNR035C,0.3942953
YER133W,0.39362416
YHR158C,0.3887584
YDL135C,0.38691276
YLR006C,0.38557047
YJR065C,0.38489932
YOR326W,0.38355705
YIL149C,0.3793624
YOR373W,0.377349
YGR080W,0.37114093
YDR098C,0.36610737
YNL084C,0.3625839
YBL047C,0.36057046
YFR024C-A,0.35872483
YDL161W,0.35838926
YIL153W,0.3578859
YLR429W,0.3555369
YCR030C,0.35520133
YLR212C,0.35083893
YDL226C,0.35050336
YLR319C,0.3478188
YBR260C,0.3464765
YNL006W,0.34479865
YDR320C-A,0.3432886
YNL289W,0.34228188
YIL105C,0.3385906
YER174C,0.33489934
YER107C,0.33338925
YOR181W,0.3317114
YKL007W,0.33154362
YGL106W,0.32684565
YBR059C,0.32097316
YDR150W,0.3192953
YLR229C,0.31744966
YMR109W,0.31359062
YJR076C,0.31224832
YBR038W,0.31157717
YMR168C,0.31073827
YNL127W,0.3080537
YOR008C,0.30134228
YDR130C,0.29379195
YLR371W,0.29244965
YHR107C,0.2909396
YNL090W,0.2907718
YLR314C,0.29026845
YMR092C,0.2885906
YDR201W,0.28842282
YNL047C,0.28808725
YIL034C,0.28422818
YML085C,0.2808725
YHR127W,0.28036913
YML064C,0.27869126
YCL034W,0.2771812
YBR160W,0.27214766
YLL003W,0.27013424
YLR144C,0.26761746
YBR233W-A,0.2647651
YKR088C,0.2635906
YLR337C,0.26291946
YKR083C,0.25989932
YNL012W,0.25973153
YOR035C,0.25604028
YNR031C,0.25419462
YML124C,0.25251678
YOR367W,0.252349
YDR356W,0.25050336
YMR001C,0.25
YKR054C,0.24815436
YKR055W,0.24748322
YLL021W,0.24295302
YIR006C,0.24261744
YDL225W,0.24161074
YNL032W,0.24127516
YGR098C,0.2364094
YLR127C,0.2342282
YPL115C,0.23003356
YBL105C,0.22818792
YMR276W,0.21963087
YIL126W,0.21912752
YJR125C,0.21661074
YJL019W,0.21577181
YDL240W,0.2135906
