Gene,Correlation
YMR093W,-0.4956376
YFL023W,-0.49479866
YNL113W,-0.49395972
YHR196W,-0.48573825
YJL148W,-0.48338926
YKL078W,-0.46728188
YJL025W,-0.46543625
YKL125W,-0.46308726
YGR128C,-0.4553691
YJR063W,-0.454698
YOR340C,-0.45
YLL035W,-0.4114094
YDR398W,-0.40989932
YNL248C,-0.3966443
YDR311W,-0.3771812
YKL139W,-0.3761745
YML112W,-0.36392617
YJL109C,-0.36191276
YER148W,-0.35939598
YBR154C,-0.34932885
YPR010C,-0.3489933
YPR110C,-0.34161073
YPL126W,-0.34127516
YMR233W,-0.33557048
YOR341W,-0.33489934
YBL014C,-0.3261745
YML043C,-0.32063758
YDR324C,-0.31879196
