Gene,Correlation
YML028W,0.49379194
YDR511W,0.4877517
YIL050W,0.452349
YPR165W,0.43892616
YGL115W,0.4330537
YOL126C,0.4295302
YEL012W,0.42231545
YJL137C,0.41442952
YLR070C,0.4102349
YDR313C,0.40973154
YMR311C,0.40536913
YGR143W,0.40486577
YDR477W,0.40201342
YFR042W,0.4008389
YDL049C,0.39563757
YGL062W,0.3921141
YJL052W,0.39043623
YBR229C,0.38154364
YDR050C,0.38020134
YPL031C,0.36778525
YJR009C,0.3635906
YKL060C,0.36191276
YBR196C,0.36073825
YGR192C,0.3602349
YCR012W,0.35
YIL017C,0.34697986
YJL034W,0.34043625
YPL201C,0.33691275
YGL227W,0.3342282
YGL027C,0.3340604
YPL219W,0.31879196
YHR101C,0.31795302
YDR074W,0.2942953
YBR015C,0.28439596
YLR273C,0.27701342
YOR336W,0.27533558
YBR218C,0.26543623
YMR215W,0.2501678
YLR377C,0.2374161
YKL152C,0.22785234
YBR126C,0.2238255
YKL127W,0.22332215
YER059W,0.21778524
YDR255C,0.21761745
YDL240W,0.2135906
YGL134W,0.20738254
YAL017W,0.19949664
YDR287W,0.18674497
YMR306W,0.17416108
YLR342W,0.16912752
YKR097W,0.16627517
YBR053C,0.16375838
