Gene,Correlation
YPR036W-A,-0.49930677
YOL086W-A,-0.49532062
YDL160C-A,-0.47677642
YHR079C-A,-0.46239167
YIL017C,-0.46065858
YGL183C,-0.45719236
YDR446W,-0.4558059
YPL121C,-0.4556326
YGL033W,-0.45147315
YHR185C,-0.45112652
YLR308W,-0.45008665
YLR445W,-0.44956672
YLR307W,-0.4492201
YGL170C,-0.44696707
YGR225W,-0.44610053
YCL048W,-0.44540727
YDR522C,-0.4443674
YDR402C,-0.44367418
YGL249W,-0.44350088
YOR351C,-0.44315425
YDR218C,-0.4426343
YPL130W,-0.44107452
YHL022C,-0.4405546
YPR007C,-0.4388215
YPL200W,-0.4386482
YIL072W,-0.43812826
YJL038C,-0.43778163
YER044C-A,-0.4370884
YPL027W,-0.4358752
YHR139C,-0.43483534
YER106W,-0.43310225
YHR014W,-0.4322357
YGL158W,-0.42980936
YAL018C,-0.4287695
YMR133W,-0.42842287
YOL091W,-0.42824957
YGR059W,-0.4270364
YDL222C,-0.42634314
YOL047C,-0.4258232
YHR157W,-0.4254766
YOR255W,-0.42461005
YBR180W,-0.42391682
YNL196C,-0.42270365
YLR054C,-0.42235702
YDR523C,-0.42114386
YOL132W,-0.4185442
YNL204C,-0.41767764
YGL175C,-0.41611785
YOR177C,-0.41542462
YAL068C,-0.4152513
YPR192W,-0.41473138
YLR341W,-0.41074523
YMR017W,-0.40970537
YBR045C,-0.40935874
YNL210W,-0.407279
YDR403W,-0.40415946
YML066C,-0.4017331
YJL106W,-0.3986135
YLR234W,-0.39774698
YOR338W,-0.39757365
YOL104C,-0.3946274
YCR045C,-0.39428076
YOR298W,-0.39410746
YPR054W,-0.3918544
YBR250W,-0.3915078
YNL194C,-0.39081457
YDR273W,-0.389948
YDR076W,-0.38821492
YBR148W,-0.3863085
YCR010C,-0.3861352
YHR184W,-0.38110918
YGL194C,-0.37712306
YBR186W,-0.37660313
YLR343W,-0.37417677
YLR329W,-0.3729636
YMR306W,-0.37244368
YBR136W,-0.3691508
YDR014W,-0.3644714
YBR009C,-0.36325824
YGL075C,-0.3606586
YIR026C,-0.3590988
YGR032W,-0.35857886
YPL209C,-0.3558059
YJR094C,-0.35372618
YDL239C,-0.34974003
YJL037W,-0.33847487
YLR263W,-0.33396882
YOR190W,-0.33258232
YPL017C,-0.33136916
YER096W,-0.3275563
YMR063W,-0.32114384
YHL024W,-0.32079723
YOL069W,-0.31715772
YIL132C,-0.3136915
YNL128W,-0.31265163
YNL202W,-0.30935875
YFL003C,-0.30779895
YOR195W,-0.30398613
YFL031W,-0.29965338
YER179W,-0.29757366
YLL005C,-0.28890815
YDR440W,-0.28769496
YFR027W,-0.27868283
YIL073C,-0.27521664
YDR439W,-0.27400348
YDL154W,-0.27227035
YGR188C,-0.26984403
YEL061C,-0.26707107
YNL012W,-0.2660312
YGL045W,-0.26360485
YHR153C,-0.2594454
YHR039C,-0.2577123
YLR035C,-0.257539
YHR172W,-0.25493935
YDR369C,-0.25337955
YDR285W,-0.25181976
YLR135W,-0.24939342
YGR109C,-0.24904679
YMR190C,-0.24818024
YNL250W,-0.24696708
YHR164C,-0.2441941
YPL018W,-0.24384749
YDR383C,-0.24332756
