Gene,Correlation
YOR266W,0.4997791
YDR375C,0.4938149
YNL121C,0.4933731
YBR185C,0.48034018
YPL098C,0.4787939
YDL107W,0.47768942
YNL131W,0.47592226
YGR062C,0.46863264
YNL070W,0.46796995
YNR040W,0.46708637
YGR181W,0.4648774
YMR060C,0.45913407
YJL054W,0.45029822
YOR297C,0.43527722
YBR091C,0.4240115
YOR164C,0.42091894
YIR004W,0.39639938
YHR083W,0.39286503
YGL020C,0.35685885
YNL026W,0.3334438
YPR125W,0.32571238
YOL009C,0.32394522
YKL141W,0.30693617
YOL026C,0.29301965
YHR117W,0.2908107
YER083C,0.28175393
YDL100C,0.2711509
YOL111C,0.27004638
YHR005C-A,0.25679258
YOR198C,0.24000442
