GO Term,Test AUC,Train AUC,Test Average Precision,Train Average Precision
GO:0000054,0.8835950332367228,0.9045673588419008,0.2580993074974261,0.2719148665403621
GO:0000278,0.7966607951325503,0.864172295535248,0.21668781181831248,0.25144431132975625
GO:0000747,0.7055465586078836,0.7608514314301085,0.16907349343740277,0.18997349813157177
GO:0000902,0.6296531954641499,0.7473067629873656,0.13896244346471764,0.1840643844983526
GO:0000910,0.7585212061783703,0.8371831363979992,0.18651725195844926,0.2291165176824751
GO:0001403,0.6882960748851725,0.755183694287777,0.16805183995347972,0.19262187396770827
GO:0002181,0.8981789629590609,0.9272128164268375,0.27852470888718095,0.2927970802384344
GO:0003700,0.8039241687777138,0.8758303867357211,0.21832820688174687,0.25743081842921667
GO:0004518,0.8209754336266676,0.8481816131543389,0.2307389857261659,0.24142991176281456
GO:0005085,0.6800942480505109,0.7163426105372945,0.1531567724046517,0.1710765288381326
GO:0006260,0.7714692692053474,0.8273233638501261,0.2030629800912389,0.23140373434227973
GO:0006281,0.7667850453892394,0.8348783869200507,0.19341535416313188,0.22803188798288726
GO:0006310,0.810446751015282,0.862583544731574,0.21686114715107463,0.24363978367214176
GO:0006325,0.7822602268531019,0.8384657277288021,0.19854372603209178,0.23153165787204424
GO:0006352,0.7598561599618193,0.8322410681201462,0.18599406727664516,0.2257988253606652
GO:0006353,0.802148904166855,0.8782391418847453,0.20255344535342523,0.24326709467793742
GO:0006360,0.8296965420858029,0.8800619998703266,0.2115578456922795,0.24445331610552962
GO:0006364,0.9212769084604648,0.9420617043118268,0.28835343665544955,0.30080662867206737
GO:0006366,0.7304434090639804,0.8236295682512202,0.18064448903043834,0.22761422766338693
GO:0006383,0.7773853421280343,0.7853515319325206,0.19756313212052456,0.20729602775935546
GO:0006397,0.7664112016447491,0.8300634774586545,0.18966037382463033,0.2266463191370395
GO:0006401,0.6893299945425495,0.7375111813728474,0.16454685258376,0.18245747994868589
GO:0006413,0.7919392773717318,0.8254775477517773,0.22810980094274635,0.24305049831939002
GO:0006414,0.8438916104944815,0.8700913408056938,0.24495868820812638,0.2616662885093614
GO:0006418,0.8327512547909316,0.8188139247547495,0.24018873244115455,0.2279086238848269
GO:0006457,0.7550578015199739,0.803415932077978,0.19274405845424047,0.21979313885945484
GO:0006468,0.7163881165583628,0.7847612732993756,0.1658856203099451,0.2050859788319265
GO:0006470,0.6237442393740502,0.6692678494031357,0.14276352860988145,0.14518082836654572
GO:0006486,0.8514829238192396,0.8755345453108894,0.2406123634869567,0.25501322490281675
GO:0006497,0.7659323987297375,0.839170909073454,0.19451827190022353,0.22666927731755906
GO:0006605,0.7239019701726848,0.8012057952121011,0.16580085233298375,0.20621620824933048
GO:0006629,0.7412618638578994,0.8090416586279144,0.1848622730635106,0.22081086073680353
GO:0006766,0.6534126964485709,0.7006625646553355,0.14225502513621036,0.16531037883749655
GO:0006811,0.8008643176164373,0.8539449784737609,0.2189283468984067,0.2483337006777186
GO:0006865,0.8304978808408638,0.8609051739024005,0.23479649045580497,0.24914415292814157
GO:0006869,0.6501456122845873,0.7075535203089067,0.13820372140507975,0.15852079040344558
GO:0006873,0.7033701262892065,0.766504591052386,0.1651829126221953,0.19589867378432638
GO:0006887,0.7564789150054834,0.8122260088114802,0.18302981467755314,0.2119489033025787
GO:0006897,0.7539228595990071,0.8150649780294017,0.18859016811879584,0.21817817040228027
GO:0006970,0.6709907548803254,0.7418387582201127,0.15422525079783872,0.1816558557614127
GO:0006979,0.7125853405582165,0.7895773634168172,0.177754552454227,0.2115278662827543
GO:0006997,0.7352822328993829,0.7827077738360861,0.1664659187343132,0.19456942201795221
GO:0007005,0.7430062044080643,0.8152076588692593,0.20108689412525432,0.2323910819317468
GO:0007010,0.7464703637251011,0.8227784768018597,0.18195276513848113,0.22621013636175874
GO:0007031,0.7214275027025235,0.76658939269479,0.16601189431410257,0.18869532728618404
GO:0007033,0.6643482866555688,0.7502359777685436,0.1531615361369854,0.1880609062349593
GO:0007059,0.8241704440787854,0.8786176367815774,0.23034717570433277,0.25772725755348797
GO:0007114,0.6919121186419617,0.7688596901604482,0.15794533996235038,0.19531854500922996
GO:0007124,0.7087237228759611,0.7790385001362858,0.16799784107832594,0.19676749061962423
GO:0008033,0.8073976717361966,0.8441591817136426,0.2199643041074094,0.2420871042009781
GO:0008135,0.8531429005975129,0.880010136091152,0.2531919146847252,0.268006321893029
GO:0008213,0.7493484909293745,0.8101374119850255,0.18651628828861985,0.20642926595311462
GO:0008380,0.7605364983538893,0.8288915228654355,0.19405614609511135,0.22914985476705155
GO:0008643,0.8100354371325578,0.8824230118070893,0.2193141310596351,0.2555063936047288
GO:0009311,0.36090909405940713,0.4650002725742719,0.10275379818948827,0.10582483335099177
GO:0009408,0.6519287955905019,0.7354961220960714,0.1612113529244003,0.18817829749830017
GO:0009451,0.8430564844501478,0.8692958641882764,0.2389286728603613,0.2533861426897347
GO:0015931,0.6871463267107247,0.7487171593801759,0.15601946427819363,0.18249812235547733
GO:0016050,0.7917050669249056,0.8629366614039647,0.19478871315823554,0.23703986473279914
GO:0016197,0.8047913497378739,0.8435679778655494,0.20928109017876786,0.23357980558343905
GO:0016570,0.7539886012280861,0.8165463636007309,0.18639926695958414,0.22349514517594465
GO:0018193,0.673340599668402,0.727709249228792,0.14796718288537847,0.17248264650915834
GO:0022857,0.8278800916319015,0.8849015919538321,0.2316260658975013,0.2627236744399098
GO:0023052,0.7297605000916969,0.7976087057573021,0.16870413751629265,0.208154118174179
GO:0031399,0.6704734435210344,0.7241316589020425,0.14668751749925135,0.17088354735161093
GO:0032196,0.9388675304705248,0.9393424544291761,0.2999736085444203,0.3008282847248695
