GO Term ID,GO Term Name,Num GO Term Annos,NN Nes,NN q-value,SPELL NES,SPELL q-value,NES Difference
GO:0032543,mitochondrial translation,131,4.251498804153036,0.0,4.277365553023398,0.0,-0.02586674887036189
GO:0140053,mitochondrial gene expression,157,4.076632899941819,0.0,4.238111997847738,0.0,-0.16147909790591886
GO:0007005,mitochondrion organization,292,3.368434760913245,0.0,3.0881447061121907,0.0,0.2802900548010543
GO:0009060,aerobic respiration,89,3.270124995220822,0.0,2.8481870589547458,0.0,0.421937936266076
GO:0006839,mitochondrial transport,82,3.22716481312855,0.0,3.1779683971748325,0.0,0.04919641595371749
GO:0072655,establishment of protein localization to mitochondrion,73,3.2096407225214816,0.0,3.2932606303530547,0.0,-0.08361990783157314
GO:0006626,protein targeting to mitochondrion,65,3.176545827776542,0.0,3.1788396472978944,0.0,-0.002293819521352436
GO:0070585,protein localization to mitochondrion,73,3.1571139826015635,0.0,3.257295701115724,0.0,-0.10018171851416069
GO:0044743,protein transmembrane import into intracellular organelle,54,3.106259407774336,0.0,3.164560929837277,0.0,-0.058301522062941036
GO:0045333,cellular respiration,107,3.0894687586510154,0.0,2.7542226412016086,0.0,0.3352461174494068
GO:0042773,ATP synthesis coupled electron transport,29,3.069784704287542,0.0,2.4078803706450134,5.798661747620062e-05,0.6619043336425285
GO:0006119,oxidative phosphorylation,35,3.0531485233616715,0.0,2.435179901793733,3.097012524297079e-05,0.6179686215679387
GO:0017004,cytochrome complex assembly,42,2.9926115641498883,0.0,2.630425049100148,0.0,0.3621865150497401
GO:0022904,respiratory electron transport chain,33,2.984621819754243,0.0,2.4948889142863178,0.0,0.48973290546792514
GO:0042775,mitochondrial ATP synthesis coupled electron transport,29,2.9773488155264136,0.0,2.3993841872006274,5.450742042762859e-05,0.5779646283257862
GO:0022900,electron transport chain,40,2.976192108758744,0.0,2.504207037597628,0.0,0.47198507116111577
GO:0006099,tricarboxylic acid cycle,30,2.972980842594718,0.0,2.1762447946287,0.0010501429623671,0.7967360479660184
GO:0033108,mitochondrial respiratory chain complex assembly,47,2.9507101135731104,0.0,2.6301306373979942,0.0,0.3205794761751162
GO:0071806,protein transmembrane transport,84,2.903221194971103,0.0,2.7102808432957777,0.0,0.19294035167532542
GO:0019646,aerobic electron transport chain,29,2.901953366625527,0.0,2.258955704935734,0.0004488846388157,0.642997661689793
GO:0065002,intracellular protein transmembrane transport,77,2.8737611975464983,0.0,2.7137586381041503,0.0,0.16000255944234798
GO:0007006,mitochondrial membrane organization,55,2.8520399289475487,0.0,2.610612214661104,0.0,0.2414277142864445
GO:0007007,inner mitochondrial membrane organization,29,2.8461757112114423,0.0,2.3356274892420776,0.0001467507473051,0.5105482219693647
GO:0006886,intracellular protein transport,442,2.7743989813676326,0.0,2.7216740145764486,0.0,0.05272496679118399
GO:0033615,mitochondrial proton-transporting ATP synthase complex assembly,11,2.7007776359826505,0.0,1.8750282977931456,0.0197163559828062,0.8257493381895049
GO:0009145,purine nucleoside triphosphate biosynthetic process,21,2.698492980730345,0.0,1.6727519681602725,0.0620194836997611,1.0257410125700723
GO:0006605,protein targeting,255,2.675846838879014,0.0,2.6591516095798995,0.0,0.01669522929911471
GO:0043461,proton-transporting ATP synthase complex assembly,11,2.6689803969211687,0.0,1.8338180199917784,0.0256260580760448,0.8351623769293903
GO:0030150,protein import into mitochondrial matrix,24,2.6525874148263195,0.0,2.9833731604496982,0.0,-0.3307857456233787
GO:1990542,mitochondrial transmembrane transport,62,2.649348669968614,0.0,3.0444819156120078,0.0,-0.3951332456433936
GO:0015980,energy derivation by oxidation of organic compounds,158,2.647867261539237,0.0,2.204106734104212,0.0007508675262989,0.44376052743502514
GO:0008535,respiratory chain complex IV assembly,29,2.6237906902437507,0.0,2.406168635707967,5.677856294544644e-05,0.21762205453578387
GO:1902600,proton transmembrane transport,80,2.611657661076028,0.0,1.5652837347066733,0.0993381830458775,1.0463739263693546
GO:0034982,mitochondrial protein processing,13,2.6033110833663606,0.0,2.364707685366488,0.0001514095011878,0.2386033979998725
GO:0006091,generation of precursor metabolites and energy,211,2.5965535421243398,0.0,1.87115217175312,0.0201281256270747,0.7254013703712197
GO:0015986,proton motive force-driven ATP synthesis,17,2.582444082799508,0.0,1.7854991300016767,0.0342887509818092,0.7969449527978312
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,21,2.573031931156551,0.0,1.682170057345305,0.0587008392414551,0.8908618738112459
GO:0007030,Golgi organization,37,2.5675005870005325,0.0,2.283401728178577,0.0003066042399054,0.2840988588219555
GO:0006754,ATP biosynthetic process,17,2.563033383413999,0.0,1.7682072376321156,0.0375743775242915,0.7948261457818835
GO:0009205,purine ribonucleoside triphosphate metabolic process,53,2.559043736800188,0.0,1.2558317377637302,0.3114472337064718,1.3032119990364577
GO:0033617,mitochondrial cytochrome c oxidase assembly,29,2.549445170486343,0.0,2.4409774836664817,3.169036071373755e-05,0.10846768681986108
GO:0009144,purine nucleoside triphosphate metabolic process,55,2.542378519619673,0.0,1.224445390455167,0.3452024973149307,1.3179331291645058
GO:0009150,purine ribonucleotide metabolic process,106,2.5251013080218354,0.0,1.4214604215513849,0.1820904236954821,1.1036408864704506
GO:0015031,protein transport,634,2.5231804989174136,0.0,2.7305820772279032,0.0,-0.20740157831048966
GO:0051205,protein insertion into membrane,38,2.522051051375008,0.0,2.621841488643111,0.0,-0.0997904372681031
