GO Term ID,GO Term Name,Num GO Term Annos,NN_-_+ Nes,NN_-_+ q-value,SPELL_-_+ NES,SPELL_-_+ q-value,NES Difference
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,21,1.8213816647419168,0.0485574066944134,-1.333396377581444,0.9253177401342942,3.1547780423233607
GO:0006754,ATP biosynthetic process,17,1.802053667720148,0.0432658944264324,-1.242106725747399,1.0450069989254602,3.044160393467547
GO:0009201,ribonucleoside triphosphate biosynthetic process,27,1.799783643822799,0.0338501152437016,-1.3954342566513276,0.7074709242742042,3.195217900474127
GO:0009145,purine nucleoside triphosphate biosynthetic process,21,1.7858550332711371,0.0300682402992329,-1.3397082148347723,0.9873422594925946,3.1255632481059097
GO:0033615,mitochondrial proton-transporting ATP synthase complex assembly,11,1.7386889651375643,0.0454447524191305,0.8807641207854163,1.0676471663091027,0.857924844352148
GO:0070071,proton-transporting two-sector ATPase complex assembly,17,1.72771841363525,0.0422876316542007,-0.8174815236556388,1.082982839941362,2.5451999372908887
GO:0009142,nucleoside triphosphate biosynthetic process,31,1.6892391089653134,0.0483498964093945,-1.5560602276440212,0.3821135519253998,3.2452993366093343
GO:0030242,autophagy of peroxisome,29,-1.4269211433614204,0.4560159151454493,-2.334564552920644,0.0053997958286154,0.9076434095592234
GO:0061709,reticulophagy,25,-1.6164173164824005,0.285263723894189,-2.1069834009245167,0.0287989110859489,0.49056608444211625
GO:0034727,piecemeal microautophagy of the nucleus,42,-1.6511170316593682,0.2648169936845113,-2.1213626704557345,0.0339987144764675,0.47024563879636627
GO:0034497,protein localization to phagophore assembly site,19,-2.0239368549857653,0.0438225075843404,-2.0432128771970604,0.0393585118174636,0.019276022211295096
GO:0044805,late nucleophagy,17,-2.321128515734202,0.0028677305576664,-2.4457201983573618,0.0011999546285812,0.1245916826231599
GO:0061726,mitochondrion disassembly,49,-2.4942243401386293,0.0010753989591249,-2.011228394085941,0.039398510305083,-0.4829959460526885
GO:0000422,autophagy of mitochondrion,49,-2.4943724256577933,0.0021507979182498,-2.0041183014007182,0.0361700609472335,-0.49025412425707504
