,Gene A,Gene B,Score
0,YDR296W,YCR028C-A,0.979992092
1,YDR296W,YKR042W,0.055446133
2,YDR296W,YNL026W,0.973125994
3,YDR296W,YJL054W,0.919136405
4,YDR296W,YDR150W,0.551703393
5,YDR296W,YMR241W,0.497311473
6,YDR296W,YDL142C,0.002607495
7,YDR296W,YKL053C-A,0.387541413
8,YDR296W,YPR083W,0.777091146
9,YDR296W,YOL027C,0.00948855
10,YDR296W,YNL055C,0.998914599
11,YDR296W,YLR368W,0.99943012
12,YDR296W,YKR085C,0.986909568
13,YDR296W,YMR012W,0.776579916
14,YDR296W,YBR212W,0.98418808
15,YDR296W,YPR125W,0.352285862
16,YDR296W,YHR120W,0.000150656
17,YDR296W,YCL044C,0.232307732
18,YDR296W,YGR101W,0.692782342
19,YDR296W,YNL149C,0.994009376
20,YDR296W,YHR083W,0.750655591
21,YDR296W,YNL121C,0.999997973
22,YDR296W,YNL310C,0.787377357
23,YDR296W,YLR370C,0.999999881
24,YDR296W,YGR181W,0.999361575
25,YDR296W,YPR024W,0.974618316
26,YDR296W,YMR072W,0.999987841
27,YDR296W,YDL217C,0.345962346
28,YDR296W,YOR266W,0.995845377
29,YDR296W,YML061C,0.963121235
30,YDR296W,YBR179C,0.912804723
31,YDR296W,YFL036W,0.649674475
32,YDR296W,YIL138C,0.774170995
33,YDR296W,YER154W,0.992315114
34,YDR296W,YJL116C,0.120498583
35,YDR296W,YMR060C,0.937734902
36,YDR296W,YNL066W,0.999955773
37,YDR296W,YDR219C,0.984290719
38,YDR296W,YPL098C,0.543792903
39,YDR296W,YGL219C,0.942988217
40,YDR296W,YBR192W,0.001276475
41,YDR296W,YIL065C,0.66622436
42,YDR296W,YJR118C,0.975926876
43,YDR296W,YOL076W,0.909952581
44,YDR296W,YLL013C,0.799149632
45,YDR296W,YNL070W,0.999990106
46,YDR296W,YDL006W,0.965428054
47,YDR296W,YDL029W,0.99972254
48,YDR296W,YML091C,0.768968284
49,YDR296W,YOR060C,0.368500441
50,YDR296W,YMR275C,0.994443715
51,YDR296W,YJR144W,0.37695685
52,YDR296W,YOR330C,0.999856114
53,YDR296W,YPR140W,0.590174735
54,YDR296W,YDR258C,0.923755586
