,Gene A,Gene B,Score
0,YPR131C,YOL095C,0.9981948733329773
1,YPR131C,YKL013C,0.13311535120010376
2,YPR131C,YGL020C,0.14510385692119598
3,YPR131C,YDR393W,0.0026171221397817135
4,YPR131C,YHR005C-A,0.35156500339508057
5,YPR131C,YBR185C,0.006328088231384754
6,YPR131C,YIL051C,0.7996393442153931
7,YPR131C,YLL006W,0.030640263110399246
8,YPR131C,YCR020C,1.6980230839180877e-06
9,YPR131C,YDR470C,0.007947041653096676
10,YPR131C,YJL112W,0.8686694502830505
11,YPR131C,YDR296W,0.013303655199706554
12,YPR131C,YMR134W,0.15238472819328308
13,YPR131C,YDL198C,0.00010760362783912569
14,YPR131C,YOR037W,0.0015098750591278076
15,YPR131C,YNL304W,0.7458308339118958
16,YPR131C,YJR065C,0.001203977852128446
17,YPR131C,YNL213C,0.15418872237205505
18,YPR131C,YJR135W-A,0.7780553698539734
19,YPR131C,YNR035C,0.0002812634047586471
20,YPR131C,YBL080C,0.0007851768750697374
21,YPR131C,YLL001W,0.013729910366237164
22,YPR131C,YGL055W,0.1867607980966568
23,YPR131C,YBR091C,0.979066014289856
24,YPR131C,YMR211W,0.37367308139801025
25,YPR131C,YNL079C,0.9709985852241516
26,YPR131C,YDL142C,0.00355600961484015
27,YPR131C,YGR101W,0.015078716911375523
28,YPR131C,YLR370C,0.001604138989932835
29,YPR131C,YPR083W,0.0747312381863594
30,YPR131C,YCR028C-A,0.9996616840362549
31,YPR131C,YHR120W,0.028704272583127022
32,YPR131C,YOL027C,0.04120888188481331
33,YPR131C,YKR042W,0.05252744257450104
34,YPR131C,YPR024W,4.617324691480462e-07
35,YPR131C,YKR085C,0.4794808626174927
36,YPR131C,YJL054W,6.9168716436252e-05
37,YPR131C,YNL026W,0.0014143908629193902
38,YPR131C,YPR125W,0.7362449765205383
39,YPR131C,YNL149C,0.058670271188020706
40,YPR131C,YMR241W,0.004355071112513542
41,YPR131C,YHR083W,0.5791333317756653
42,YPR131C,YBR212W,0.00026327447267249227
43,YPR131C,YKL053C-A,0.9726454615592957
44,YPR131C,YLR368W,0.0009375160443596542
45,YPR131C,YMR012W,0.35513928532600403
46,YPR131C,YCL044C,8.527222962584347e-05
47,YPR131C,YNL310C,0.9455742239952087
48,YPR131C,YNL121C,0.015202593058347702
49,YPR131C,YDR150W,0.5433481931686401
50,YPR131C,YGR181W,0.05139709636569023
51,YPR131C,YNL055C,0.029038788750767708
52,YPR131C,YMR072W,0.4555872976779938
53,YPR131C,YNL070W,0.01969359815120697
54,YPR131C,YOL076W,0.021849902346730232
55,YPR131C,YFL036W,0.0015549339586868882
56,YPR131C,YOR060C,0.33762097358703613
57,YPR131C,YML061C,0.08444423973560333
58,YPR131C,YIL138C,0.9656997919082642
59,YPR131C,YBR179C,0.09893450886011124
60,YPR131C,YJL116C,0.07739989459514618
61,YPR131C,YDL006W,0.9952870607376099
62,YPR131C,YBR192W,0.0006484844489023089
63,YPR131C,YOR266W,0.9185180068016052
64,YPR131C,YNL066W,0.041292522102594376
65,YPR131C,YML091C,0.48181360960006714
66,YPR131C,YDL029W,0.0001475017925258726
67,YPR131C,YIL065C,6.635556201217696e-05
68,YPR131C,YPL098C,0.004937858786433935
69,YPR131C,YMR060C,0.9193007349967957
70,YPR131C,YDR219C,0.9994627833366394
71,YPR131C,YDL217C,0.001127125695347786
72,YPR131C,YJR144W,0.14546994864940643
73,YPR131C,YGL219C,0.0028378262650221586
74,YPR131C,YJR118C,0.17666837573051453
75,YPR131C,YMR275C,0.006016995757818222
76,YPR131C,YLL013C,0.9903538227081299
77,YPR131C,YER154W,0.009361951611936092
78,YPR131C,YFL029C,3.354506134201074e-06
79,YPR131C,YOL075C,0.000492811668664217
80,YPR131C,YLL045C,0.00023942488769534975
81,YPR131C,snR36,0.0531645230948925
82,YPR131C,YPR056W,0.0006005223840475082
83,YPR131C,YJL198W,0.0004563343827612698
84,YPR131C,YOR328W,1.741031519486569e-05
85,YPR131C,YBL091C,0.016318567097187042
86,YPR131C,YER055C,0.14284367859363556
87,YPR131C,YMR091C,0.005149590317159891
88,YPR131C,YOR184W,0.04525597766041756
89,YPR131C,YGR157W,0.0016766175394877791
90,YPR131C,YDL064W,0.7444536685943604
91,YPR131C,YER095W,0.0035651554353535175
92,YPR131C,YEL066W,0.0024877649266272783
93,YPR131C,YER115C,0.010498052462935448
94,YPR131C,YDR378C,0.07910104840993881
95,YPR131C,YGL256W,0.36400705575942993
96,YPR131C,YOR038C,0.028561992570757866
97,YPR131C,YDL126C,0.0002327556285308674
98,YPR131C,YFL045C,0.012856217101216316
99,YPR131C,YHR056C,0.000998375820927322
100,YPR131C,YNL292W,0.0007654056535102427
101,YPR131C,tV(UAC)D,0.0008378719794563949
102,YPR131C,YEL003W,0.9999996423721313
103,YPR131C,YER012W,0.0005406669806689024
104,YPR131C,YBR254C,2.211206947322353e-06
105,YPR131C,YML065W,0.006083925720304251
106,YPR131C,YKL085W,0.0007005555089563131
107,YPR131C,YNL216W,0.05444050207734108
108,YPR131C,tI(AAU)B,0.0008378719794563949
109,YPR131C,YPL151C,0.0005401135422289371
110,YPR131C,YHR166C,9.00290524441516e-06
111,YPR131C,YIR009W,1.8079393839798286e-06
112,YPR131C,YKR050W,4.827907105209306e-06
113,YPR131C,YDR292C,0.0397491417825222
114,YPR131C,YMR133W,0.004519296810030937
115,YPR131C,YHL009W-B,0.03904841095209122
116,YPR131C,YGR024C,0.015408042818307877
117,YPR131C,YDL002C,0.0035370385739952326
118,YPR131C,YPL153C,7.161180838011205e-05
119,YPR131C,YCR072C,0.00046470516826957464
120,YPR131C,YKL209C,0.0018398321699351072
121,YPR131C,YMR145C,0.9897768497467041
122,YPR131C,ANC4,0.0008378719794563949
123,YPR131C,tE(UUC)K,0.0010172509355470538
124,YPR131C,YPL124W,0.003327631624415517
125,YPR131C,YDR083W,0.011637522839009762
126,YPR131C,YLR410W-B,0.0017492948099970818
127,YPR131C,YBR076W,0.20354661345481873
