,Gene A,Gene B,Score
0,YDR296W,YCR028C-A,0.9799920916557312
1,YDR296W,YKR042W,0.05544613301753998
2,YDR296W,YNL026W,0.9731259942054749
3,YDR296W,YJL054W,0.9191364049911499
4,YDR296W,YDR150W,0.5517033934593201
5,YDR296W,YMR241W,0.49731147289276123
6,YDR296W,YDL142C,0.0026074948254972696
7,YDR296W,YKL053C-A,0.38754141330718994
8,YDR296W,YPR083W,0.7770911455154419
9,YDR296W,YOL027C,0.009488550014793873
10,YDR296W,YNL055C,0.9989145994186401
11,YDR296W,YLR368W,0.9994301199913025
12,YDR296W,YKR085C,0.9869095683097839
13,YDR296W,YMR012W,0.7765799164772034
14,YDR296W,YBR212W,0.9841880798339844
15,YDR296W,YPR125W,0.35228586196899414
16,YDR296W,YHR120W,0.00015065587649587542
17,YDR296W,YCL044C,0.23230773210525513
18,YDR296W,YGR101W,0.6927823424339294
19,YDR296W,YNL149C,0.9940093755722046
20,YDR296W,YHR083W,0.7506555914878845
21,YDR296W,YNL121C,0.9999979734420776
22,YDR296W,YNL310C,0.7873773574829102
23,YDR296W,YLR370C,0.9999998807907104
24,YDR296W,YGR181W,0.9993615746498108
25,YDR296W,YPR024W,0.9746183156967163
26,YDR296W,YMR072W,0.9999878406524658
27,YDR296W,YDL217C,0.3459623456001282
28,YDR296W,YOR266W,0.995845377445221
29,YDR296W,YML061C,0.963121235370636
30,YDR296W,YBR179C,0.9128047227859497
31,YDR296W,YFL036W,0.6496744751930237
32,YDR296W,YIL138C,0.774170994758606
33,YDR296W,YER154W,0.9923151135444641
34,YDR296W,YJL116C,0.12049858272075653
35,YDR296W,YMR060C,0.9377349019050598
36,YDR296W,YNL066W,0.9999557733535767
37,YDR296W,YDR219C,0.9842907190322876
38,YDR296W,YPL098C,0.5437929034233093
39,YDR296W,YGL219C,0.9429882168769836
40,YDR296W,YBR192W,0.001276474678888917
41,YDR296W,YIL065C,0.6662243604660034
42,YDR296W,YJR118C,0.9759268760681152
43,YDR296W,YOL076W,0.9099525809288025
44,YDR296W,YLL013C,0.7991496324539185
45,YDR296W,YNL070W,0.9999901056289673
46,YDR296W,YDL006W,0.9654280543327332
