,Gene A,Gene B,Score
0,YBR085W,YNL070W,8.003235416254029e-05
1,YBR085W,YJL116C,2.9273394819284704e-09
2,YBR085W,YMR072W,6.151762477202283e-07
3,YBR085W,YNL066W,0.0069024027325212955
4,YBR085W,YLL006W,0.2996636629104614
5,YBR085W,YCL044C,8.869357770890929e-06
6,YBR085W,YOR147W,8.550992788514122e-06
7,YBR085W,YDR150W,0.9806177020072937
8,YBR085W,YBR103W,1.359171477588461e-07
9,YBR085W,YDR353W,0.001201664563268423
10,YBR085W,YGR122W,2.557784171131061e-07
11,YBR085W,YNL180C,0.007420329377055168
12,YBR085W,YHL009C,0.035433329641819
13,YBR085W,YDR412W,3.6003584114041587e-07
14,YBR085W,YGL091C,0.00045282405335456133
15,YBR085W,YNL272C,5.627591235679574e-05
16,YBR085W,YML093W,0.005428843200206757
17,YBR085W,YHR002W,0.0024079300928860903
18,YBR085W,YOL146W,0.00045432260958477855
19,YBR085W,YGL011C,2.2131100649858126e-06
20,YBR085W,YGL187C,1.314357067627725e-08
21,YBR085W,YOR069W,2.5720103735693556e-07
22,YBR085W,YNL074C,0.013113906607031822
23,YBR085W,YLR277C,0.00043038741569034755
24,YBR085W,YBR085W,0.0
25,YBR085W,YJR021C,2.0252534795872634e-06
26,YBR085W,YLL028W,0.0010408206144347787
27,YBR085W,YDR465C,1.4072788871999364e-06
28,YBR085W,YML023C,0.0004293520760256797
29,YBR085W,YPL253C,8.9188660012951e-07
30,YBR085W,YAL016W,0.17329175770282745
31,YBR085W,YDR285W,1.282315770367859e-05
32,YJR021C,YNL070W,1.3912589338360704e-06
33,YJR021C,YJL116C,0.0480998158454895
34,YJR021C,YMR072W,0.03748377412557602
35,YJR021C,YNL066W,0.0002385483094258234
36,YJR021C,YLL006W,0.0017750146798789501
37,YJR021C,YCL044C,0.006113523617386818
38,YJR021C,YOR147W,8.717194577911869e-05
39,YJR021C,YDR150W,0.006013771519064903
40,YJR021C,YBR103W,0.4497641623020172
41,YJR021C,YDR353W,3.6377747392180027e-07
42,YJR021C,YGR122W,0.035310812294483185
43,YJR021C,YNL180C,5.449907803267706e-06
44,YJR021C,YHL009C,0.057826053351163864
45,YJR021C,YDR412W,0.003493637079373002
46,YJR021C,YGL091C,0.00349431112408638
47,YJR021C,YNL272C,0.05032375082373619
48,YJR021C,YML093W,0.0030322023667395115
49,YJR021C,YHR002W,0.0026945779100060463
50,YJR021C,YOL146W,0.25612184405326843
51,YJR021C,YGL011C,2.975210918521043e-05
52,YJR021C,YGL187C,0.0010451443959027529
53,YJR021C,YOR069W,0.0002830728190019727
54,YJR021C,YNL074C,0.001044530770741403
55,YJR021C,YLR277C,0.13536743819713593
56,YJR021C,YBR085W,2.0252534795872634e-06
57,YJR021C,YJR021C,0.7443506121635437
58,YJR021C,YLL028W,0.013729214668273926
59,YJR021C,YDR465C,2.5417380129511002e-06
60,YJR021C,YML023C,0.24435678124427795
61,YJR021C,YPL253C,0.001848689978942275
62,YJR021C,YAL016W,0.012899205088615417
63,YJR021C,YDR285W,8.589110933598931e-08
