,Gene A,Gene B,Score
0,YBR103W,YNL070W,0.00046147385728545487
1,YBR103W,YJL116C,0.6644135117530823
2,YBR103W,YMR072W,0.03928467258810997
3,YBR103W,YNL066W,0.0126897431910038
4,YBR103W,YLL006W,0.7786186337471008
5,YBR103W,YCL044C,0.0033627201337367296
6,YBR103W,YOR147W,0.007309493608772755
7,YBR103W,YDR150W,0.147218719124794
8,YBR103W,YBR085W,2.510499825802981e-06
9,YBR103W,YJR021C,0.004013721365481615
10,YBR103W,YNL180C,0.0035229797940701246
11,YBR103W,YHL009C,0.00020241874153725803
12,YBR103W,YLL028W,0.0002641650498844683
13,YBR103W,YDR465C,0.7047964334487915
14,YBR103W,YML023C,0.9633201360702515
15,YBR103W,YPL253C,0.09485261142253876
16,YBR103W,YAL016W,4.139385782764293e-05
17,YBR103W,YDR285W,0.005909351631999016
18,YBR103W,YOL146W,1.3035169104114175e-05
19,YBR103W,YGL011C,0.8031112551689148
20,YBR103W,YGL187C,0.008280294016003609
21,YBR103W,YOR069W,1.2639462511288002e-05
22,YBR103W,YNL074C,0.0011585121974349022
23,YBR103W,YLR277C,1.8435435777064413e-05
24,YBR103W,YBR103W,0.0
25,YBR103W,YDR353W,1.0655672610937472e-07
26,YBR103W,YGR122W,0.17960888147354126
27,YBR103W,YDR412W,5.77062110096449e-06
28,YBR103W,YGL091C,0.3322316110134125
29,YBR103W,YNL272C,0.004340454936027527
30,YBR103W,YML093W,0.8887239098548889
31,YBR103W,YHR002W,0.5648075938224792
32,YDR353W,YNL070W,0.0001560137461638078
33,YDR353W,YJL116C,0.005591645836830139
34,YDR353W,YMR072W,3.1333198421634734e-05
35,YDR353W,YNL066W,0.6979348659515381
36,YDR353W,YLL006W,8.540031558368355e-05
37,YDR353W,YCL044C,1.3709873201150913e-06
38,YDR353W,YOR147W,0.0004233155632391572
39,YDR353W,YDR150W,7.691875225646072e-08
40,YDR353W,YBR085W,0.0687730610370636
41,YDR353W,YJR021C,0.1360744684934616
42,YDR353W,YNL180C,1.8280810820670013e-07
43,YDR353W,YHL009C,0.012349085882306099
44,YDR353W,YLL028W,0.00048016218352131546
45,YDR353W,YDR465C,0.00010196998482570052
46,YDR353W,YML023C,0.8820272088050842
47,YDR353W,YPL253C,0.00040059408638626337
48,YDR353W,YAL016W,1.5943173892196683e-08
49,YDR353W,YDR285W,9.840643855341114e-09
50,YDR353W,YOL146W,0.0002480365801602602
51,YDR353W,YGL011C,0.05720219761133194
52,YDR353W,YGL187C,5.956029003328922e-09
53,YDR353W,YOR069W,4.2779376485668763e-07
54,YDR353W,YNL074C,0.2627052068710327
55,YDR353W,YLR277C,4.248525874572806e-05
56,YDR353W,YBR103W,1.0655672610937472e-07
57,YDR353W,YDR353W,0.0
58,YDR353W,YGR122W,0.03679477423429489
59,YDR353W,YDR412W,0.0011838593054562807
60,YDR353W,YGL091C,0.0033622379414737225
61,YDR353W,YNL272C,0.06009852513670921
62,YDR353W,YML093W,0.0003050137311220169
63,YDR353W,YHR002W,1.215064582282821e-08
64,YGR122W,YNL070W,5.467122537083924e-05
65,YGR122W,YJL116C,0.035291604697704315
66,YGR122W,YMR072W,0.10841837525367737
67,YGR122W,YNL066W,0.00998946838080883
68,YGR122W,YLL006W,0.006896937265992165
69,YGR122W,YCL044C,0.004387234803289175
70,YGR122W,YOR147W,0.00019881123444065452
71,YGR122W,YDR150W,5.3210791520541534e-05
72,YGR122W,YBR085W,0.01675407402217388
73,YGR122W,YJR021C,0.015717150643467903
74,YGR122W,YNL180C,0.003967949654906988
75,YGR122W,YHL009C,6.183357982081361e-06
76,YGR122W,YLL028W,6.466468676080694e-07
77,YGR122W,YDR465C,0.00012155812146374956
78,YGR122W,YML023C,0.8347917795181274
79,YGR122W,YPL253C,1.9345947293913923e-05
80,YGR122W,YAL016W,8.960471859609243e-06
81,YGR122W,YDR285W,1.03812271845527e-05
82,YGR122W,YOL146W,3.549821485648863e-05
83,YGR122W,YGL011C,2.3494537870760723e-08
84,YGR122W,YGL187C,0.008226311765611172
85,YGR122W,YOR069W,0.7159422636032104
86,YGR122W,YNL074C,0.002452421234920621
87,YGR122W,YLR277C,0.02771677076816559
88,YGR122W,YBR103W,0.17960888147354126
89,YGR122W,YDR353W,0.03679477423429489
90,YGR122W,YGR122W,1.0
91,YGR122W,YDR412W,0.03786677494645119
92,YGR122W,YGL091C,2.4197516879098657e-08
93,YGR122W,YNL272C,0.14715562760829926
94,YGR122W,YML093W,0.001622393960133195
95,YGR122W,YHR002W,0.5986343622207642
