"GO.Term","AUC","Average.Precision"
"GO:0000054",0.888482954545472,0.0413195468206468
"GO:0000278",0.780722172004134,0.229397757070186
"GO:0000747",0.778360020661158,0.0801232868226468
"GO:0000902",0.738230519480511,0.0229702337816833
"GO:0000910",0.772061608734424,0.063889052850132
"GO:0001403",0.72366832386364,0.0279272789032553
"GO:0003700",0.834578203914151,0.109631963622593
"GO:0004518",0.791302759740269,0.108842239690433
"GO:0005085",0.746622474747456,0.0322882503603706
"GO:0006260",0.781690894332951,0.103357222406698
"GO:0006281",0.756172166874236,0.169386438025754
"GO:0006310",0.796692026194147,0.165164701003406
"GO:0006325",0.769403509476402,0.167776692454284
"GO:0006352",0.790564839572212,0.0546513332231503
"GO:0006353",0.804126420454542,0.0252963933440584
"GO:0006360",0.83334725935829,0.0435142726928313
"GO:0006364",0.903918710127613,0.200907189468866
"GO:0006366",0.726603084415589,0.263345076665614
"GO:0006383",0.755669466403149,0.02773041458758
"GO:0006397",0.762274842843326,0.113326353829923
"GO:0006401",0.703138906547994,0.0723174519071481
"GO:0006413",0.8182897727273,0.0429318731707687
"GO:0006414",0.846478994490386,0.0283959961714202
"GO:0006418",0.870804924242444,0.0269197535570285
"GO:0006457",0.77253371628373,0.0678398381536696
"GO:0006468",0.726335865679263,0.0931184922174265
"GO:0006470",0.610113636363631,0.0180158911533404
"GO:0006486",0.882742477592815,0.0644810367994033
"GO:0006497",0.875045196281003,0.0383062287289048
"GO:0006605",0.725024424105317,0.115523457592377
"GO:0006629",0.777450032237248,0.185480265687482
"GO:0006766",0.729875792811844,0.0240575930587616
"GO:0006811",0.826661110067632,0.181311709828313
"GO:0006865",0.893729212860323,0.0409661699003637
"GO:0006869",0.686698457792203,0.0288536288401329
"GO:0006873",0.731998239436636,0.0834010681825086
"GO:0006887",0.717452830188694,0.0274246905113425
"GO:0006897",0.76716574529076,0.0688990377114692
"GO:0006970",0.752682010785819,0.0351075885130418
"GO:0006979",0.738797446110601,0.0608164135795786
"GO:0006997",0.73768643465908,0.0530349637078473
"GO:0007005",0.764560002195878,0.135930848361209
"GO:0007010",0.757206937799028,0.154026183880819
"GO:0007031",0.80912247474747,0.0333519512925779
"GO:0007033",0.683068767572633,0.045890806870641
"GO:0007059",0.817958202070206,0.144006074186696
"GO:0007114",0.758383089368248,0.0355083811683339
"GO:0007124",0.767124832887698,0.041293566944323
"GO:0008033",0.806667490118566,0.0787403277706831
"GO:0008135",0.870892518939402,0.0447355981956354
"GO:0008213",0.780931263858108,0.024401473796503
"GO:0008380",0.777793560606069,0.078518677360079
"GO:0008643",0.918289312039299,0.0363674205782517
"GO:0009408",0.744159090909103,0.0359376166326718
"GO:0009451",0.826261238761243,0.064855109251001
"GO:0015931",0.692828966415746,0.0804265304053309
"GO:0016050",0.778689878435513,0.0523057179100668
"GO:0016197",0.809888300619819,0.0627769146166397
"GO:0016570",0.747476473721591,0.0717145337930313
"GO:0018193",0.663520215971876,0.0802825938280576
"GO:0032196",0.904784564393947,0.132862259447663
"GO:0032200",0.718272900763364,0.0696986872550568
"GO:0032787",0.859288328197255,0.0954104206371684
"GO:0042221",0.672708191994574,0.186684960402145
"GO:0042255",0.949609375,0.0681306877576123
"GO:0042273",0.936632775119654,0.0931657822813625
"GO:0042274",0.936014979338849,0.107238447277004
"GO:0042594",0.747103968792392,0.0401287704147361
"GO:0043543",0.715737951807223,0.0429748912554478
"GO:0045333",0.864141824084986,0.0735642518988399
"GO:0048193",0.802882596343872,0.121297663157535
"GO:0048284",0.681229912764008,0.0476512575340022
"GO:0048308",0.695638368983976,0.0256551864513548
"GO:0051049",0.783777087737844,0.053753381828144
"GO:0051052",0.676794507575758,0.0614154310945257
"GO:0051321",0.74516611727967,0.164127829077326
"GO:0051603",0.803202872634987,0.142072451757342
"GO:0051726",0.753989154856542,0.153029952162437
