"GO.Term","AUC","Average.Precision"
"GO:0000054",0.892117550123585,0.0196509504065201
"GO:0000278",0.774894569907244,0.149401608404507
"GO:0000747",0.751502141786754,0.0824196430257399
"GO:0000902",0.702158705179852,0.128744534543135
"GO:0000910",0.76392552325972,0.0571804576439615
"GO:0001403",0.779424257327726,0.0267735184122998
"GO:0003700",0.76572827977662,0.0361197500949478
"GO:0004518",0.765817867932673,0.101062588562882
"GO:0005085",0.717855129446805,0.0215586056043605
"GO:0006260",0.83922931298308,0.0886126632157939
"GO:0006281",0.774274961586137,0.108788260797036
"GO:0006310",0.768707054468878,0.0675063888802337
"GO:0006325",0.764528695301251,0.138603244956515
"GO:0006352",0.822262329815204,0.0372243146709097
"GO:0006353",0.891417193078827,0.0175616201949198
"GO:0006360",0.866602581708314,0.0216492227470985
"GO:0006364",0.928950821620555,0.157743953663252
"GO:0006366",0.724372821049569,0.171277312482293
"GO:0006383",0.787068923020571,0.0248480586637545
"GO:0006397",0.807011496583467,0.100231124289308
"GO:0006401",0.768557770002668,0.0431808349962927
"GO:0006413",0.830259711550736,0.0361595036411829
"GO:0006414",0.912469101895078,0.0206601685260623
"GO:0006418",0.877169512097909,0.028562619516949
"GO:0006457",0.750905848055748,0.0625935806405457
"GO:0006468",0.745333813970517,0.0489231268383041
"GO:0006470",0.670636010515157,0.0134744908565158
"GO:0006486",0.891633714958629,0.0670150975488408
"GO:0006497",0.824970445290937,0.0367760152436827
"GO:0006605",0.687351700352546,0.114378293460758
"GO:0006629",0.773993844543472,0.149784448509515
"GO:0006766",0.80038009009778,0.0566115626949763
"GO:0006811",0.871982666544601,0.0881461249766318
"GO:0006865",0.866713183933735,0.0320567144437948
"GO:0006869",0.685986396755914,0.0172337279535847
"GO:0006873",0.698776559886149,0.0570337757918713
"GO:0006887",0.732570417162552,0.0256021319142814
"GO:0006897",0.777245916218731,0.0575900138374588
"GO:0006970",0.679397124830215,0.0368385168476944
"GO:0006979",0.78643311866922,0.0471819600593451
"GO:0006997",0.799098560050205,0.0416806995508469
"GO:0007005",0.706977141879948,0.0568539563693481
"GO:0007010",0.73881527924143,0.126855287080623
"GO:0007031",0.828254600384494,0.0271794489317473
"GO:0007033",0.750681649013444,0.0444379137945627
"GO:0007059",0.805097218994487,0.080886398769307
"GO:0007114",0.792076687589196,0.0543167713509144
"GO:0007124",0.699790843597505,0.0324997686989101
"GO:0008033",0.672466798380456,0.0148761687241145
"GO:0008135",0.857566602581687,0.0382381023598575
"GO:0008213",0.844423360215756,0.0184555224182125
"GO:0008380",0.796189403964502,0.0784194631396995
"GO:0008643",0.909931503999078,0.0326678354702079
"GO:0009408",0.798931362512828,0.0141482604516403
"GO:0009451",0.885344262987764,0.0522393162860424
"GO:0015931",0.766516082799031,0.0554375001273115
"GO:0016050",0.906216240959444,0.0125106734407223
"GO:0016197",0.811046893471685,0.0302406388243328
"GO:0016570",0.79390964020874,0.0562748460913863
"GO:0018193",0.729266481532351,0.014515690913528
"GO:0032196",0.928863176514161,0.124037493036912
"GO:0032200",0.631545236028448,0.118880393446682
"GO:0032787",0.808905741953213,0.0908105525355228
"GO:0042221",0.690747262200271,0.188923286914878
"GO:0042255",0.935244659832914,0.0590286804475619
"GO:0042273",0.953150748420764,0.0630216587411021
"GO:0042274",0.939664427854504,0.0243975736622914
"GO:0042594",0.809552031685932,0.0139623342861739
"GO:0043543",0.692237155691005,0.0319634409623624
"GO:0045333",0.892876270255415,0.0756586729395007
"GO:0048193",0.819696656948692,0.110447334349245
"GO:0048284",0.822264113255617,0.0152517113131993
"GO:0048308",0.726388488823112,0.0244314954320289
"GO:0051049",0.940236198846478,0.0147464033055186
"GO:0051052",0.709757156399768,0.0181171164171999
"GO:0051321",0.786373935731935,0.101790566514283
"GO:0051603",0.832368966054777,0.116998969691971
"GO:0051726",0.72538513395422,0.0822537683739608
