Gene,WT_A,WT_B,I59T_A,I59T_B,Fold Change,Log2 Fold Change
YDL159W-A,1.60292947,0,0,0,0,
YDL034W,3.20585894,3.747956264,0,0,0,
YDL011C,3.20585894,0,0,0,0,
tL(UAA)D,1.60292947,0,0,0,0,
YDR095C,0.801464735,0,0,0.792244296,0,
YDR149C,0.801464735,0,0,0,0,
YDR199W,4.007323675,2.810967198,0,0,0,
tV(CAC)D,1.60292947,6.558923462,0,3.168977185,0,
tM(CAU)D,1.60292947,0,0,0,0,
YDR354C-A,2.404394205,0,0,0,0,
YDR446W,26.44833625,14.05483599,0,10.29917585,0,
YDR509W,0.801464735,0,0,0,0,
YDR542W,2.404394205,1.873978132,0,0.792244296,0,
YOL163W,0.801464735,0,0,1.584488592,0,
YOR105W,25.64687152,8.432901594,0,18.22161881,0,
YOR135C,0.801464735,1.873978132,0,1.584488592,0,
YOR146W,2.404394205,1.873978132,0,0,0,
YOR161W-A,3.20585894,1.873978132,0,5.545710073,0,
YOR203W,6.41171788,2.810967198,0,6.337954369,0,
YOR263C,2.404394205,2.810967198,0,2.376732888,0,
YOR300W,6.41171788,1.873978132,0,3.168977185,0,
YOR394C-A,2.404394205,0.936989066,0,0.792244296,0,
YGL239C,2.404394205,0,0,0,0,
YGL214W,11.22050629,3.747956264,0,9.506931554,0,
tK(UUU)G1,0.801464735,0.936989066,0,0.792244296,0,
YGL149W,0.801464735,2.810967198,0,1.584488592,0,
tW(CCA)G1,3.20585894,2.810967198,0,1.584488592,0,
tH(GUG)G2,3.20585894,1.873978132,0,0.792244296,0,
YGL014C-A,0.801464735,0,0,0.792244296,0,
YGR114C,0.801464735,1.873978132,0,0,0,
tA(AGC)G,0.801464735,0,0,0.792244296,0,
tG(UCC)G,2.404394205,0,0,0,0,
YGR151C,3.20585894,1.873978132,0,0,0,
YGR164W,1.60292947,0.936989066,0,3.961221481,0,
tK(CUU)G3,3.20585894,0,0,0,0,
tG(GCC)G2,2.404394205,0,0,0,0,
YLL067C,8.01464735,5.621934396,0,8.714687258,0,
YLL066W-B,0.801464735,0,0,0,0,
tP(UGG)L,1.60292947,0,0,0,0,
YLL019W-A,0.801464735,0,0,0,0,
YLR149C-A,0.801464735,2.810967198,0,0.792244296,0,
RDN37-1,0.801464735,0,0,0,0,
YLR154W-F,0.801464735,3.747956264,0,3.168977185,0,
YLR162W-A,4.007323675,0,0,2.376732888,0,
YLR230W,0.801464735,0.936989066,0,2.376732888,0,
YLR282C,3.20585894,0,0,0,0,
YLR347W-A,0.801464735,0.936989066,0,3.168977185,0,
YLR462W,0.801464735,3.747956264,0,0.792244296,0,
YPL282C,0.801464735,0,0,0,0,
YPL135C-A,1.60292947,0,0,2.376732888,0,
YPL021W,0.801464735,2.810967198,0,0.792244296,0,
YPR016W-A,0.801464735,0.936989066,0,0.792244296,0,
YPR077C,4.80878841,5.621934396,0,2.376732888,0,
YPR108W-A,0.801464735,3.747956264,0,0,0,
YML099W-A,1.60292947,0,0,0.792244296,0,
ZOD1,0.801464735,0.936989066,0,1.584488592,0,
YML083C,13.62490049,2.810967198,0,2.376732888,0,
YML031C-A,0.801464735,0,0,0,0,
tS(AGA)M,9.617576819,6.558923462,0,4.753465777,0,
YMR172C-A,0.801464735,0,0,0,0,
tR(UCU)M1,0.801464735,0,0,1.584488592,0,
YBL108C-A,4.007323675,0,0,0.792244296,0,
YBL100C,2.404394205,0.936989066,0,0,0,
YBL044W,4.007323675,1.873978132,0,5.545710073,0,
YBR131C-A,0.801464735,0,0,0,0,
YBR266C,2.404394205,4.68494533,0,8.714687258,0,
tN(GUU)N2,0.801464735,0.936989066,0,7.922442962,0,
YNR003W-A,2.404394205,0,0,0,0,
YJL075C,0.801464735,0,0,0,0,
tD(GUC)J2,4.007323675,0.936989066,0,1.584488592,0,
tV(AAC)J,0.801464735,0,0,0,0,
tG(GCC)J1,0.801464735,0,0,0,0,
YJL020W-A,1.60292947,0.936989066,0,0.792244296,0,
tM(CAU)J3,1.60292947,2.810967198,0,0.792244296,0,
YJR151W-A,7.213182615,0.936989066,0,0,0,
tT(CGU)K,3.20585894,0,0,0,0,
YKL177W,2.404394205,0,0,0.792244296,0,
YKL123W,2.404394205,2.810967198,0,9.506931554,0,
YKL111C,1.60292947,2.810967198,0,0.792244296,0,
tW(CCA)K,0.801464735,1.873978132,0,3.168977185,0,
tH(GUG)K,0.801464735,0.936989066,0,0.792244296,0,
YKR035C,0.801464735,0.936989066,0,3.168977185,0,
tD(GUC)K,1.60292947,0.936989066,0,3.168977185,0,
tR(UCU)E,1.60292947,0,0,0,0,
YER068C-A,1.60292947,2.810967198,0,1.584488592,0,
YER090C-A,1.60292947,0,0,0,0,
YER133W-A,0.801464735,1.873978132,0,0.792244296,0,
YER165C-A,2.404394205,0.936989066,0,0.792244296,0,
YER188C-A,6.41171788,7.495912528,0,6.337954369,0,
YHR180C-B,1.60292947,0,0,0.792244296,0,
tI(AAU)I1,0.801464735,0,0,0.792244296,0,
tE(CUC)I,0.801464735,0,0,0,0,
YIL032C,3.20585894,2.810967198,0,1.584488592,0,
YIL021C-A,2.404394205,0,0,0,0,
tD(GUC)I2,0.801464735,0.936989066,0,1.584488592,0,
YIR020W-A,1.60292947,1.873978132,0,7.922442962,0,
YCL073C,4.007323675,1.873978132,0,0,0,
YCL046W,4.80878841,0.936989066,0,1.584488592,0,
YCR039C,1.60292947,6.558923462,0,1.584488592,0,
tA(AGC)F,0.801464735,0.936989066,0,0,0,
YAL026C-A,10.41904155,7.495912528,0,7.130198665,0,
YAL016C-B,1.60292947,1.873978132,0,0,0,
tP(UGG)A,0.801464735,0,0,0,0,
Q0032,0.801464735,0,0,0,0,
Q0143,0.801464735,0.936989066,0,0.792244296,0,
