Gene,Label,Annos,Score,Background Score,Precision,Recall,False Positive Rate
YDL297W,0,0/0,-1.2241847515106201,-1.2241847515106201,1.0,0.0,0.0
YPL039W,0,0/0,-1.2565280199050903,-72.01522892713547,1.0,0.0,0.0
YOL152W,0,0/0,-1.4256062507629395,-252.11907786130905,1.0,0.0,0.0
YMR209C,0,0/0,-1.8125628232955933,-585.2537717819214,1.0,0.0,0.0
YDL144C,0,0/0,-2.612180709838867,-490.6990929841995,1.0,0.0,0.0
YLR046C,0,0/0,-2.756258487701416,-385.1473138332367,1.0,0.0,0.0
YBR261C,0,0/0,-4.19382643699646,-71.74567294120789,1.0,0.0,0.0
YIL014C-A,0,0/0,-4.327463865280151,-348.90739220380783,1.0,0.0,0.0
YJL177W,0,0/0,-4.437006711959839,-148.4964632987976,1.0,0.0,0.0
YJL181W,0,0/0,-4.7251482009887695,-606.4215700626373,1.0,0.0,0.0
YGL154C,0,0/0,-5.476133108139038,-917.5296619534492,1.0,0.0,0.0
YGL228W,0,0/0,-5.856976509094238,-442.4839377403259,1.0,0.0,0.0
YMR030W-A,0,0/0,-6.219696998596191,-1494.282203912735,1.0,0.0,0.0
YMR261C,0,0/0,-7.218778371810913,-679.0355978012085,1.0,0.0,0.0
YNR073C,0,0/0,-7.590994715690613,-1787.9773439764977,1.0,0.0,0.0
YDL173W,0,0/0,-7.8521658182144165,-640.4094575643539,1.0,0.0,0.0
YMR094W,0,0/0,-8.103139162063599,-365.3240478038788,1.0,0.0,0.0
YOR152C,0,0/0,-8.483695268630981,-1014.3478901386261,1.0,0.0,0.0
YNL336W,0,0/0,-8.598632335662842,-1311.6360540390015,1.0,0.0,0.0
YHL030W,0,0/0,-9.757910430431366,-1244.0507170557976,1.0,0.0,0.0
YNL234W,0,0/0,-11.540615439414978,-574.3352690339088,1.0,0.0,0.0
YBR270C,0,0/0,-11.63162612915039,-933.5094749927521,1.0,0.0,0.0
