Gene A,Gene B,Label,Score,True Positive,False Negative,True Negative,False Positive,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YGR231C,YDR493W,1,6.331201,1.0,1023.0,9976.0,0.0,0.9070000052452087,1.0,0.0009765625,0.0,1.0
YOR330C,YKL053C-A,1,6.2135344,2.0,1022.0,9976.0,0.0,0.9070909023284912,1.0,0.001953125,0.0,1.0
YPR001W,YDL045W-A,0,6.192554,2.0,1022.0,9975.0,1.0,0.9070000052452087,0.6666666865348816,0.001953125,0.00010024057701230049,0.9998997449874878
YOR035C,YDR493W,0,6.1789126,2.0,1022.0,9974.0,2.0,0.9069091081619263,0.5,0.001953125,0.00020048115402460098,0.9997994899749756
YNR020C,YNL138W,1,6.1786666,3.0,1021.0,9974.0,2.0,0.9070000052452087,0.6000000238418579,0.0029296875,0.00020048115402460098,0.9997994899749756
YJL096W,YJL154C,0,6.177627,3.0,1021.0,9973.0,3.0,0.9069091081619263,0.5,0.0029296875,0.0003007217310369015,0.9996992945671082
YGR174C,YPL215W,1,6.082541,4.0,1020.0,9973.0,3.0,0.9070000052452087,0.5714285969734192,0.00390625,0.0003007217310369015,0.9996992945671082
YJR045C,YIR024C,1,6.0810256,5.0,1019.0,9973.0,3.0,0.9070909023284912,0.625,0.0048828125,0.0003007217310369015,0.9996992945671082
YFL016C,YLR038C,1,6.0517006,6.0,1018.0,9973.0,3.0,0.9071817994117737,0.6666666865348816,0.005859375,0.0003007217310369015,0.9996992945671082
YGR231C,YBR185C,1,5.8280306,7.0,1017.0,9973.0,3.0,0.9072727560997009,0.699999988079071,0.0068359375,0.0003007217310369015,0.9996992945671082
YER017C,YDR493W,1,5.7938123,8.0,1016.0,9973.0,3.0,0.9073636531829834,0.7272727489471436,0.0078125,0.0003007217310369015,0.9996992945671082
YFL016C,YLR067C,1,5.7648168,9.0,1015.0,9973.0,3.0,0.9074545502662659,0.75,0.0087890625,0.0003007217310369015,0.9996992945671082
YEL020W-A,YKR009C,0,5.7569785,9.0,1015.0,9972.0,4.0,0.9073636531829834,0.692307710647583,0.0087890625,0.00040096230804920197,0.999599039554596
YNL131W,YBR269C,1,5.708239,10.0,1014.0,9972.0,4.0,0.9074545502662659,0.7142857313156128,0.009765625,0.00040096230804920197,0.999599039554596
YDR231C,YOR020C,1,5.688679,11.0,1013.0,9972.0,4.0,0.9075454473495483,0.7333333492279053,0.0107421875,0.00040096230804920197,0.999599039554596
YHR147C,YER053C,0,5.679333,11.0,1013.0,9971.0,5.0,0.9074545502662659,0.6875,0.0107421875,0.0005012028850615025,0.9994987845420837
YMR072W,YDR322C-A,1,5.6683087,12.0,1012.0,9971.0,5.0,0.9075454473495483,0.7058823704719543,0.01171875,0.0005012028850615025,0.9994987845420837
YHR116W,YCR079W,1,5.6293273,13.0,1011.0,9971.0,5.0,0.9076363444328308,0.7222222089767456,0.0126953125,0.0005012028850615025,0.9994987845420837
YBR279W,YKL053C-A,1,5.6107063,14.0,1010.0,9971.0,5.0,0.9077273011207581,0.7368420958518982,0.013671875,0.0005012028850615025,0.9994987845420837
YOR042W,YBL090W,0,5.607112,14.0,1010.0,9970.0,6.0,0.9076363444328308,0.699999988079071,0.013671875,0.000601443462073803,0.9993985295295715
YAR019C,YMR158W,0,5.6045737,14.0,1010.0,9969.0,7.0,0.9075454473495483,0.6666666865348816,0.013671875,0.0007016840390861034,0.9992983341217041
YEL059C-A,YKL053C-A,1,5.591458,15.0,1009.0,9969.0,7.0,0.9076363444328308,0.6818181872367859,0.0146484375,0.0007016840390861034,0.9992983341217041
YBR262C,YBR179C,1,5.590953,16.0,1008.0,9969.0,7.0,0.9077273011207581,0.695652186870575,0.015625,0.0007016840390861034,0.9992983341217041
YER017C,YBR262C,1,5.587361,17.0,1007.0,9969.0,7.0,0.9078181982040405,0.7083333134651184,0.0166015625,0.0007016840390861034,0.9992983341217041
YPL173W,YOL122C,0,5.5853944,17.0,1007.0,9968.0,8.0,0.9077273011207581,0.6800000071525574,0.0166015625,0.0008019246160984039,0.9991980791091919
YKL003C,YPR193C,0,5.562028,17.0,1007.0,9967.0,9.0,0.9076363444328308,0.6538461446762085,0.0166015625,0.0009021651931107044,0.9990978240966797
YHR194W,YKL053C-A,1,5.5526423,18.0,1006.0,9967.0,9.0,0.9077273011207581,0.6666666865348816,0.017578125,0.0009021651931107044,0.9990978240966797
