Gene,Label,Score,Precision,Recall,False Positive Rate
YAL064W-B,0,4.835459972964596,1.0,0.0,0.0
YGR136W,0,4.786115259514186,1.0,0.0,0.0
YBR025C,0,4.780867504072372,1.0,0.0,0.0
YFL007W,0,4.7786175471264825,1.0,0.0,0.0
YHR053C,0,4.771389622590501,1.0,0.0,0.0
YMR120C,0,4.7415250943740785,1.0,0.0,0.0
YGR066C,0,4.740842366591092,1.0,0.0,0.0
YGL261C,0,4.728230350650843,1.0,0.0,0.0
YGR141W,0,4.721978414920155,1.0,0.0,0.0
YLL025W,0,4.721966247539963,1.0,0.0,0.0
YER043C,0,4.718680865131315,1.0,0.0,0.0
YJR074W,0,4.718044203938913,1.0,0.0,0.0
YJL223C,0,4.717311812215481,1.0,0.0,0.0
YEL049W,0,4.713261160766702,1.0,0.0,0.0
YPL041C,0,4.710938951000568,1.0,0.0,0.0
YPR129W,0,4.708649566397067,1.0,0.0,0.0
YBL032W,0,4.701851705089208,1.0,0.0,0.0
YOL161C,0,4.701344323810186,1.0,0.0,0.0
YHR162W,0,4.698760697618123,1.0,0.0,0.0
YLR461W,0,4.697590963216495,1.0,0.0,0.0
YOR394W,0,4.694512372137975,1.0,0.0,0.0
YFL042C,0,4.692343882983547,1.0,0.0,0.0
YMR095C,0,4.689903887920077,1.0,0.0,0.0
YPR157W,0,4.683459793683138,1.0,0.0,0.0
YGR043C,0,4.6701136168558115,1.0,0.0,0.0
YKR091W,0,4.667326680733819,1.0,0.0,0.0
YPR089W,0,4.659688663901758,1.0,0.0,0.0
YIL176C,0,4.653608698630702,1.0,0.0,0.0
YGR127W,0,4.645941190188747,1.0,0.0,0.0
YPR153W,0,4.645010006148365,1.0,0.0,0.0
YPL184C,0,4.6399538990808615,1.0,0.0,0.0
YHR177W,0,4.636882774764669,1.0,0.0,0.0
YOL047C,0,4.634658998693336,1.0,0.0,0.0
YGL075C,0,4.630590083776038,1.0,0.0,0.0
YPR015C,0,4.630431253230196,1.0,0.0,0.0
YPR193C,0,4.629148565465581,1.0,0.0,0.0
YER010C,0,4.629012221121226,1.0,0.0,0.0
YDR223W,0,4.627902704989533,1.0,0.0,0.0
YIL003W,0,4.627192138927054,1.0,0.0,0.0
YHL030W,0,4.62544154527131,1.0,0.0,0.0
YER092W,0,4.622476911754344,1.0,0.0,0.0
YIR041W,0,4.6213835814269215,1.0,0.0,0.0
YHR126C,0,4.6122736479155675,1.0,0.0,0.0
YNL033W,0,4.61121632007416,1.0,0.0,0.0
YFL028C,0,4.611118254135359,1.0,0.0,0.0
YOL143C,0,4.6084793017944286,1.0,0.0,0.0
YFL020C,0,4.608047908521254,1.0,0.0,0.0
YDL241W,0,4.603499308810566,1.0,0.0,0.0
YGR201C,0,4.601733130519275,1.0,0.0,0.0
YPL199C,0,4.597156633040864,1.0,0.0,0.0
YNR065C,0,4.596701978007327,1.0,0.0,0.0
YPR158W,0,4.595474316505712,1.0,0.0,0.0
YNR076W,0,4.589617474470283,1.0,0.0,0.0
YER132C,0,4.589457104098979,1.0,0.0,0.0
YER107C,0,4.588733682991002,1.0,0.0,0.0
YGL066W,0,4.584945104317736,1.0,0.0,0.0
YDR475C,0,4.583937062765468,1.0,0.0,0.0
YAR028W,0,4.581373865134079,1.0,0.0,0.0
YML003W,0,4.5804899192880795,1.0,0.0,0.0
