Scores,Label
0.6343,+
0.599,+
1.6455,+
0.3015,+
0.684,+
-0.6104,+
1.102,+
0.2588,+
-0.4539,+
0.923,+
-0.04123,+
1.553,+
1.39,+
0.718,+
1.27,+
0.534,+
1.819,+
0.479,+
0.7036,+
4.438,+
1.359,+
2.506,+
0.2888,+
1.202,+
0.66,+
0.922,+
1.072,+
1.02,+
1.14,+
-0.645,+
0.6914,+
0.842,+
-0.4863,+
1.808,+
0.2101,+
0.718,+
0.8696,+
0.856,+
0.424,+
1.585,+
0.12384,+
-0.6777,+
1.7295,+
0.559,+
1.01,+
0.3765,+
2.01,+
0.99,+
-0.5664,+
1.145,+
1.26,+
0.528,+
0.5254,+
0.33,+
0.782,+
0.3416,+
0.1602,+
1.146,+
2.385,+
-0.853,+
1.545,+
0.5815,+
1.385,+
1.17,+
0.02255,+
1.04,+
1.443,+
0.3728,+
0.894,+
1.761,+
0.1176,+
-1.04,+
-0.2025,+
0.7183,+
1.1,+
0.4878,+
0.535,+
1.002,+
2.01,+
1.102,+
0.628,+
0.534,+
0.929,+
1.883,+
-0.2512,+
0.832,+
1.362,+
-0.58,+
0.4053,+
1.146,+
1.0,+
0.579,+
0.4778,+
-0.4414,+
0.628,+
2.043,+
0.629,+
0.3977,+
1.431,+
-0.2664,+
1.588,+
0.9316,+
1.058,+
0.6416,+
1.279,+
1.778,+
1.077,+
0.6826,+
0.9287,+
0.6343,+
0.364,+
0.679,+
0.7314,+
-0.62,+
1.635,+
0.005043,+
1.416,+
2.521,+
1.902,+
-0.9277,+
0.907,+
2.64,+
2.168,+
0.7065,+
-0.6953,+
1.757,+
0.264,+
-0.95,+
0.06006,+
0.254,+
2.617,+
1.009,+
0.615,+
0.03632,+
0.3328,+
-0.05124,+
-1.348,+
0.6753,+
-0.419,+
-0.8604,+
0.5903,+
1.611,+
0.659,+
-0.2676,+
0.7607,+
-0.0725,+
1.033,+
0.6655,+
-0.3877,+
0.588,+
1.491,+
1.174,+
-0.511,+
0.2114,+
1.186,+
0.5815,+
-0.1663,+
0.6143,+
-0.5776,+
0.644,+
2.438,+
0.449,+
1.794,+
1.613,+
1.628,+
-0.718,+
0.8623,+
-0.1763,+
-0.6904,+
-0.489,+
0.664,+
1.925,+
-0.08624,+
-0.4338,+
1.013,+
-0.983,+
1.387,+
0.3513,+
0.8823,+
1.647,+
2.633,+
2.01,+
2.178,+
0.6914,+
0.2363,+
2.38,+
1.461,+
0.0538,+
0.369,+
2.078,+
0.03256,+
3.098,+
1.419,+
0.56,+
0.2413,+
-0.2551,+
1.968,+
1.617,+
0.4053,+
0.03757,+
2.258,+
0.4253,+
1.573,+
0.2339,+
1.775,+
-0.3137,+
1.915,+
-0.175,+
0.6353,+
1.619,+
0.7495,+
2.043,+
0.2964,+
0.58,+
-0.7075,+
-0.6304,+
0.434,+
0.849,+
0.6104,+
-0.2852,+
-1.641,+
0.8594,+
1.817,+
2.027,+
0.4402,+
0.6177,+
0.845,+
0.8594,+
0.4866,+
0.9946,+
1.541,+
0.7397,+
0.2239,+
0.7827,+
0.716,+
1.087,+
1.299,+
1.739,+
0.9717,+
1.417,+
-0.853,+
1.8,+
-1.193,+
2.13,+
1.396,+
0.5967,+
0.961,+
0.639,+
0.02756,+
1.6,+
1.18,+
1.882,+
0.923,+
3.451,+
0.7915,+
1.463,+
1.579,+
0.1764,+
0.05756,+
1.455,+
0.58,+
0.898,+
0.2076,+
0.7783,+
1.152,+
0.2727,+
0.11383,+
0.644,+
-0.29,+
1.583,+
1.461,+
0.429,+
1.322,+
-0.3213,+
2.27,+
1.878,+
-0.1025,+
-0.2952,+
1.968,+
-1.065,+
1.16,+
0.7925,+
0.6704,+
0.4978,+
1.035,+
0.721,+
-0.1562,+
0.002542,+
1.464,+
2.16,+
0.5254,+
2.223,+
1.833,+
0.3076,+
1.301,+
1.902,+
-2.791,+
0.3228,+
1.286,+
1.639,+
2.5,+
1.047,+
0.82,+
2.223,+
0.1338,+
-0.1438,+
1.258,+
2.107,+
0.3164,+
-0.66,+
0.8984,+
-0.3052,+
2.06,+
0.579,+
0.514,+
1.547,+
0.784,+
1.523,+
1.261,+
0.4653,+
-0.3013,+
0.2363,+
1.472,+
0.3853,+
0.835,+
1.109,+
-0.03372,+
-0.733,+
0.304,+
0.9316,+
1.173,+
1.555,+
1.616,+
0.788,+
1.037,+
0.399,+
0.374,+
1.043,+
1.553,+
0.2703,+
1.316,+
1.808,+
1.609,+
1.648,+
0.5117,+
0.7354,+
0.03757,+
0.3252,+
1.97,+
0.3228,+
-0.3525,+
0.862,+
0.4653,+
0.2051,+
