Scores,Label
0.363,+
0.636,+
0.1726,+
-0.2037,+
0.1276,+
0.9443,+
-0.6514,+
0.3267,+
-0.5557,+
0.1609,+
-0.10065,+
0.8496,+
-1.003,+
-0.997,+
0.11444,+
-0.2125,+
0.3804,+
0.828,+
1.162,+
-0.05994,+
-0.1486,+
-0.166,+
0.5854,+
0.943,+
0.1362,+
1.085,+
0.302,+
-0.5933,+
0.5444,+
-0.08026,+
0.2423,+
0.113,+
1.039,+
0.693,+
0.05777,+
-0.55,+
0.674,+
-0.4885,+
1.03,+
0.0796,+
-0.0003536,+
0.2554,+
-0.01924,+
-0.448,+
0.6055,+
0.0781,+
0.6636,+
-0.0643,+
0.4878,+
-0.5293,+
-0.06573,+
-0.974,+
-0.2212,+
1.934,+
0.72,+
0.392,+
-0.445,+
0.7812,+
0.4849,+
-0.2502,+
-0.4653,+
-0.1573,+
0.973,+
-0.326,+
0.0723,+
0.86,+
0.7466,+
0.706,+
0.03452,+
-0.2705,+
0.1827,+
0.1581,+
-0.6514,+
-2.172,+
0.347,+
0.799,+
0.2627,+
-1.059,+
-0.416,+
0.2322,+
-0.3403,+
-0.10065,+
-0.7705,+
-1.724,+
0.498,+
-0.0454,+
0.636,+
0.713,+
1.177,+
-2.297,+
0.5635,+
0.4763,+
0.732,+
-1.279,+
0.3848,+
0.806,+
-0.1254,+
0.2568,+
1.109,+
-0.1282,+
-0.02216,+
0.684,+
-1.503,+
0.9443,+
-0.3752,+
-0.5786,+
0.517,+
-0.82,+
0.534,+
0.648,+
0.777,+
0.2874,+
-0.4712,+
0.5996,+
1.438,+
0.4878,+
0.36,+
-0.1776,+
-0.448,+
-0.1805,+
-0.1602,+
0.01563,+
-0.0875,+
-0.91,+
-0.227,+
-0.6484,+
0.00836,+
0.363,+
-0.5176,+
0.0796,+
0.2932,+
0.979,+
-0.2067,+
-1.927,+
0.0258,+
0.437,+
0.373,+
0.3135,+
0.2524,+
0.05197,+
1.075,+
0.1682,+
0.00982,+
-0.2357,+
-0.166,+
-0.23,+
-0.4043,+
0.52,+
0.1276,+
-0.7617,+
1.093,+
-0.5557,+
0.4487,+
-0.98,+
-0.02505,+
-0.7124,+
-0.82,+
-0.01343,+
0.2059,+
-0.1486,+
-0.5557,+
0.1552,+
-0.4624,+
0.3237,+
-0.08606,+
0.3936,+
-0.6514,+
-0.6455,+
-0.4275,+
-0.4333,+
0.03452,+
0.5415,+
0.7437,+
-0.05994,+
0.3337,+
0.8525,+
-0.6367,+
0.1537,+
-0.8228,+
0.1072,+
0.3337,+
0.9644,+
-0.736,+
-0.3113,+
0.5215,+
0.1581,+
0.2103,+
0.1886,+
0.312,+
0.1159,+
0.2786,+
-0.007618,+
-0.00907,+
0.3076,+
0.601,+
0.10425,+
-0.2705,+
-1.572,+
-0.294,+
0.2496,+
-0.04974,+
0.411,+
0.1493,+
-0.811,+
0.2249,+
0.7656,+
0.2612,+
0.3281,+
-0.1805,+
-0.663,+
