Scores,Label
1.603,+
0.6934,+
1.091,+
1.026,+
0.8257,+
1.581,+
0.5986,+
1.154,+
-0.03032,+
1.806,+
1.282,+
0.397,+
0.877,+
0.8276,+
-0.0574,+
-0.3674,+
0.1307,+
-0.2471,+
1.623,+
0.382,+
-0.5146,+
0.403,+
1.3,+
1.199,+
0.934,+
-1.0625,+
-0.1824,+
-0.0905,+
1.727,+
0.1638,+
-0.1627,+
0.6304,+
1.174,+
0.224,+
1.621,+
1.011,+
0.754,+
0.88,+
0.01181,+
1.136,+
0.621,+
1.193,+
-0.4998,+
1.1,+
1.026,+
-0.3645,+
0.424,+
0.1848,+
1.575,+
-0.03333,+
0.734,+
-0.2229,+
1.044,+
-1.914,+
0.0419,+
0.6753,+
0.9585,+
0.0359,+
-0.2184,+
0.785,+
-0.0815,+
0.9824,+
-0.229,+
0.2029,+
1.138,+
0.2886,+
0.7734,+
1.433,+
0.82,+
-0.004745,+
0.1021,+
0.6875,+
1.184,+
-0.4546,+
0.5176,+
1.906,+
-0.1779,+
1.121,+
-0.602,+
0.3413,+
-0.2742,+
1.056,+
-0.4365,+
-0.7886,+
1.305,+
-0.4817,+
0.0419,+
0.778,+
0.585,+
0.7734,+
1.419,+
1.183,+
1.618,+
0.4797,+
0.4692,+
0.561,+
-0.6445,+
1.196,+
0.02986,+
1.171,+
-0.0002306,+
1.024,+
-0.2471,+
0.02686,+
-0.3162,+
-0.4578,+
0.1066,+
0.9717,+
-0.235,+
1.05,+
-0.2952,+
0.5537,+
1.463,+
0.82,+
0.5474,+
0.4468,+
0.1984,+
1.049,+
1.626,+
0.978,+
0.3518,+
-0.0213,+
-0.1808,+
-0.241,+
-0.551,+
-0.7676,+
0.9688,+
0.2903,+
0.597,+
-0.289,+
0.04642,+
2.385,+
1.053,+
-0.1733,+
-0.9995,+
0.9897,+
0.9326,+
-0.01377,+
-0.4998,+
0.6904,+
0.2903,+
-0.01678,+
0.895,+
1.595,+
1.197,+
0.1577,+
1.503,+
0.9146,+
0.4963,+
0.09454,+
0.74,+
0.03137,+
0.501,+
0.1848,+
1.19,+
-0.0559,+
1.144,+
-0.9604,+
0.865,+
0.09906,+
1.366,+
0.657,+
0.1984,+
-0.659,+
1.243,+
0.4436,+
0.847,+
0.1096,+
-0.0002306,+
0.245,+
0.215,+
-0.4036,+
1.211,+
-0.2003,+
1.374,+
-0.7676,+
0.4211,+
-0.0634,+
0.11115,+
0.799,+
-0.3433,+
0.1533,+
0.4316,+
2.213,+
1.105,+
-0.2952,+
0.9194,+
0.749,+
-0.6353,+
-0.0544,+
1.56,+
0.245,+
0.856,+
-0.4094,+
1.007,+
0.692,+
1.469,+
1.745,+
1.341,+
1.391,+
1.312,+
-0.00324,+
1.243,+
1.812,+
0.227,+
0.4526,+
1.056,+
0.5566,+
1.099,+
1.0,+
0.5913,+
0.0856,+
1.689,+
-0.226,+
-0.2832,+
2.023,+
0.74,+
-1.204,+
0.91,+
-0.5723,+
-0.2274,+
-1.809,+
1.32,+
-0.6353,+
0.4316,+
0.6665,+
1.527,+
1.053,+
1.107,+
1.016,+
0.4392,+
0.7446,+
0.793,+
0.4934,+
1.292,+
0.391,+
1.765,+
1.323,+
0.6406,+
1.205,+
1.082,+
0.7686,+
0.6123,+
0.91,+
0.4316,+
1.219,+
0.871,+
1.449,+
0.8438,+
0.1096,+
0.945,+
0.534,+
0.4346,+
-0.3945,+
0.346,+
-0.3103,+
0.3489,+
1.302,+
1.484,+
-0.1748,+
1.061,+
1.002,+
0.2903,+
0.379,+
1.462,+
0.892,+
1.328,+
1.283,+
-1.448,+
1.086,+
0.862,+
1.152,+
-0.0634,+
0.934,+
0.4421,+
1.102,+
0.626,+
0.001274,+
1.534,+
0.978,+
-0.873,+
0.718,+
-0.7886,+
0.582,+
1.798,+
0.6045,+
1.487,+
0.2,+
0.8125,+
0.907,+
0.996,+
1.437,+
0.7324,+
1.113,+
0.4436,+
1.361,+
0.653,+
-0.089,+
0.3308,+
1.565,+
1.614,+
0.978,+
-0.4397,+
1.197,+
-0.4878,+
0.221,+
0.9326,+
1.132,+
0.597,+
0.4722,+
-0.3884,+
1.731,+
1.155,+
1.414,+
0.6484,+
1.097,+
1.107,+
1.312,+
-1.132,+
-0.0634,+
-0.2109,+
-0.04837,+
0.895,+
1.256,+
0.2842,+
-0.289,+
-0.3855,+
0.7915,+
0.803,+
0.856,+
0.5503,+
1.542,+
0.796,+
0.5146,+
-0.7524,+
0.3518,+
0.5176,+
1.224,+
0.075,+
1.3125,+
-0.4004,+
0.585,+
0.4287,+
-0.5903,+
-0.226,+
0.7764,+
0.2119,+
0.08105,+
-0.10406,+
-0.87,+
0.5146,+
-1.785,+
0.856,+
1.598,+
1.669,+
0.3384,+
0.1066,+
0.2827,+
0.0856,+
-0.9966,+
0.8936,+
1.144,+
0.3083,+
0.7026,+
1.696,+
0.6016,+
0.5205,+
1.867,+
-0.4185,+
2.607,+
0.5474,+
0.373,+
1.326,+
-0.4668,+
0.5264,+
0.1412,+
-0.02582,+
1.319,+
1.055,+
1.116,+
1.061,+
0.1307,+
0.767,+
0.2737,+
0.1427,+
1.061,+
0.1713,+
-0.8276,+
0.71,+
-1.357,+
-0.9604,+
2.088,+
1.011,+
0.9946,+
-0.536,+
0.5415,+
-0.06042,+
-0.4216,+
0.3354,+
0.0901,+
1.45,+
0.2886,+
0.2345,+
0.898,+
0.8228,+
0.6377,+
0.4272,+
0.4001,+
0.5503,+
0.02686,+
0.1879,+
0.2045,+
0.6196,+
-0.563,+
1.071,+
0.2316,+
-0.4275,+
0.2375,+
0.9043,+
-0.4036,+
0.2,+
