Scores,Label
1.849,+
0.423,+
0.829,+
0.4998,+
0.2964,+
-1.247,+
-0.5103,+
0.3672,+
0.662,+
0.9634,+
0.752,+
0.4644,+
0.603,+
0.933,+
0.5884,+
1.129,+
-2.459,+
0.684,+
0.429,+
1.581,+
0.373,+
0.531,+
0.5337,+
1.624,+
0.4836,+
1.006,+
-1.0,+
0.6753,+
0.1179,+
-0.1018,+
0.7666,+
0.0692,+
0.6045,+
0.0604,+
0.7163,+
1.072,+
-0.32,+
0.74,+
-0.4985,+
0.649,+
0.2388,+
0.4216,+
0.7637,+
0.597,+
1.538,+
0.6943,+
1.165,+
-1.345,+
1.115,+
0.1356,+
0.0648,+
1.693,+
1.155,+
-0.292,+
1.328,+
0.02058,+
1.785,+
-0.2374,+
1.371,+
0.1282,+
1.613,+
-0.5337,+
0.9526,+
0.8203,+
0.6724,+
1.13,+
0.531,+
0.842,+
0.509,+
1.321,+
1.048,+
1.291,+
0.937,+
-1.77,+
0.709,+
0.8535,+
-0.385,+
-0.202,+
1.24,+
1.061,+
0.3242,+
1.029,+
0.7075,+
0.1827,+
0.2402,+
-0.3157,+
0.6914,+
0.59,+
0.010254,+
0.762,+
0.855,+
1.126,+
0.01321,+
-0.1195,+
2.732,+
0.706,+
2.0,+
0.5513,+
0.04858,+
0.07367,+
-0.4114,+
0.628,+
1.259,+
0.4807,+
-0.3008,+
1.433,+
0.4717,+
-2.254,+
-0.2876,+
1.97,+
0.3552,+
0.2358,+
-0.2006,+
0.476,+
0.4954,+
0.6797,+
1.399,+
0.7866,+
-0.1666,+
1.164,+
0.10754,+
0.641,+
-0.5337,+
-0.3716,+
0.8984,+
2.82,+
-0.5366,+
1.248,+
0.463,+
0.4954,+
0.4172,+
0.1238,+
0.2358,+
-0.07526,+
1.051,+
0.1931,+
1.156,+
0.3435,+
0.4482,+
-0.05463,+
1.638,+
0.7754,+
0.2285,+
0.646,+
0.2388,+
1.437,+
0.165,+
1.556,+
0.404,+
0.894,+
0.23,+
0.8247,+
-0.7607,+
-0.0989,+
1.506,+
0.286,+
0.1091,+
1.741,+
-1.711,+
1.001,+
-0.7124,+
0.9023,+
-0.326,+
0.535,+
1.472,+
-0.12244,+
0.5986,+
0.2225,+
1.506,+
-0.6973,+
0.4084,+
0.509,+
1.416,+
0.3657,+
1.016,+
0.03384,+
0.638,+
1.1875,+
1.619,+
0.824,+
-0.10034,+
-0.649,+
1.105,+
0.1061,+
-1.153,+
0.746,+
-0.2993,+
0.7563,+
0.8877,+
0.3848,+
1.112,+
1.035,+
0.3582,+
-0.87,+
1.046,+
0.793,+
0.4895,+
-0.3142,+
0.6636,+
0.646,+
-0.2065,+
0.8936,+
1.496,+
0.886,+
0.6475,+
0.563,+
0.6665,+
1.376,+
0.02205,+
-0.1976,+
0.1975,+
-0.2227,+
0.3464,+
1.571,+
0.6133,+
1.635,+
0.872,+
-0.2006,+
0.4363,+
0.28,+
1.22,+
0.5645,+
-0.1593,+
0.6826,+
0.1946,+
0.785,+
0.0869,+
-0.8643,+
0.571,+
0.7637,+
-0.4055,+
0.4614,+
0.603,+
-0.3083,+
0.01321,+
0.8545,+
0.4778,+
-2.088,+
-0.597,+
-0.535,+
1.451,+
0.4482,+
1.045,+
0.4688,+
-0.2095,+
0.5884,+
0.939,+
