Scores,Label
0.7017,+
-1.62,+
0.4426,+
1.133,+
1.762,+
1.605,+
2.02,+
1.793,+
0.708,+
1.051,+
1.623,+
-0.2026,+
0.993,+
0.2351,+
0.5796,+
1.369,+
0.4788,+
0.578,+
1.227,+
1.971,+
0.56,+
2.334,+
1.061,+
-0.7207,+
1.503,+
1.071,+
0.764,+
0.4788,+
0.9946,+
0.7764,+
1.156,+
-0.2026,+
2.537,+
1.546,+
-0.325,+
2.14,+
-0.4546,+
0.7295,+
0.4883,+
0.4846,+
1.498,+
0.56,+
1.604,+
1.292,+
1.084,+
-0.325,+
0.06125,+
0.06726,+
2.32,+
-1.477,+
1.243,+
1.28,+
3.082,+
0.6035,+
0.8804,+
1.072,+
0.8516,+
1.109,+
-0.289,+
-0.968,+
0.2844,+
1.0,+
-0.5,+
0.595,+
1.619,+
0.8623,+
-0.723,+
0.1572,+
2.33,+
1.425,+
2.842,+
-0.2937,+
1.43,+
-0.2554,+
0.902,+
2.57,+
-0.2722,+
1.524,+
1.887,+
0.15,+
1.049,+
0.2734,+
-1.733,+
2.174,+
1.665,+
1.038,+
1.044,+
0.415,+
0.944,+
1.033,+
-0.3225,+
1.475,+
0.2783,+
-1.028,+
0.3384,+
1.099,+
1.056,+
1.172,+
0.1776,+
0.06726,+
1.058,+
1.748,+
2.316,+
1.703,+
0.3228,+
1.944,+
1.369,+
-0.1919,+
0.8467,+
1.377,+
1.319,+
0.475,+
1.994,+
0.3767,+
0.1056,+
1.747,+
1.578,+
0.1572,+
1.457,+
1.374,+
1.923,+
-0.0827,+
1.226,+
1.069,+
1.117,+
1.336,+
-0.1187,+
-0.2722,+
1.016,+
1.244,+
-0.1979,+
1.286,+
-1.05,+
1.072,+
0.564,+
0.3586,+
1.8125,+
0.5063,+
1.296,+
-0.0647,+
0.433,+
1.381,+
2.113,+
0.3875,+
0.5156,+
1.087,+
1.0625,+
1.853,+
0.51,+
-0.673,+
0.1656,+
0.432,+
0.6094,+
0.2363,+
-0.217,+
0.06244,+
1.507,+
2.07,+
1.197,+
0.7056,+
0.615,+
-0.2314,+
0.9297,+
2.307,+
2.709,+
1.554,+
2.0,+
2.104,+
0.9634,+
1.352,+
2.22,+
1.872,+
0.774,+
1.5,+
0.5977,+
1.641,+
1.895,+
0.992,+
-0.1882,+
-0.1199,+
-0.4185,+
1.708,+
1.567,+
2.012,+
1.01,+
0.1644,+
0.589,+
-0.1738,+
1.799,+
1.354,+
2.014,+
1.4795,+
0.7344,+
1.152,+
1.821,+
1.76,+
0.06125,+
-0.217,+
1.703,+
-0.639,+
0.3132,+
2.268,+
0.8027,+
1.151,+
1.345,+
0.951,+
0.3286,+
0.2231,+
2.309,+
0.7915,+
2.586,+
1.122,+
-0.05872,+
2.254,+
-0.0755,+
0.741,+
0.8315,+
1.715,+
0.782,+
1.351,+
-0.2722,+
3.152,+
0.7476,+
2.416,+
-0.2842,+
0.551,+
0.3755,+
