Gene A,Gene B,Label,Score,True Positive,False Negative,True Negative,False Positive,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YBR046C,YJL096W,0,10.95602,0.0,1024.0,9975.0,1.0,0.9068182110786438,0.0,0.0,0.00010024057701230049,0.9998997449874878
YDR322C-A,YBR262C,1,10.360604,1.0,1023.0,9975.0,1.0,0.9069091081619263,0.5,0.0009765625,0.00010024057701230049,0.9998997449874878
YPR100W,YGR183C,1,10.258376,2.0,1022.0,9975.0,1.0,0.9070000052452087,0.6666666865348816,0.001953125,0.00010024057701230049,0.9998997449874878
YKL195W,YIL157C,1,10.246068,3.0,1021.0,9975.0,1.0,0.9070909023284912,0.75,0.0029296875,0.00010024057701230049,0.9998997449874878
YMR002W,YBR262C,1,10.055998,4.0,1020.0,9975.0,1.0,0.9071817994117737,0.800000011920929,0.00390625,0.00010024057701230049,0.9998997449874878
YBL078C,YIL098C,1,9.731953,5.0,1019.0,9975.0,1.0,0.9072727560997009,0.8333333134651184,0.0048828125,0.00010024057701230049,0.9998997449874878
YBR185C,YML129C,1,9.724065,6.0,1018.0,9975.0,1.0,0.9073636531829834,0.8571428656578064,0.005859375,0.00010024057701230049,0.9998997449874878
YER058W,YDR322W,1,9.525666,7.0,1017.0,9975.0,1.0,0.9074545502662659,0.875,0.0068359375,0.00010024057701230049,0.9998997449874878
YJL102W,YNL306W,0,9.455263,7.0,1017.0,9974.0,2.0,0.9073636531829834,0.7777777910232544,0.0068359375,0.00020048115402460098,0.9997994899749756
YER058W,YIL157C,1,9.432472,8.0,1016.0,9974.0,2.0,0.9074545502662659,0.800000011920929,0.0078125,0.00020048115402460098,0.9997994899749756
YOL060C,YKL137W,1,9.260863,9.0,1015.0,9974.0,2.0,0.9075454473495483,0.8181818127632141,0.0087890625,0.00020048115402460098,0.9997994899749756
YBR262C,YBR179C,1,9.206698,10.0,1014.0,9974.0,2.0,0.9076363444328308,0.8333333134651184,0.009765625,0.00020048115402460098,0.9997994899749756
YDR511W,YNR007C,1,9.0375,11.0,1013.0,9974.0,2.0,0.9077273011207581,0.8461538553237915,0.0107421875,0.00020048115402460098,0.9997994899749756
YBL022C,YGR183C,1,8.898398,12.0,1012.0,9974.0,2.0,0.9078181982040405,0.8571428656578064,0.01171875,0.00020048115402460098,0.9997994899749756
YDR393W,YML129C,1,8.880458,13.0,1011.0,9974.0,2.0,0.907909095287323,0.8666666746139526,0.0126953125,0.00020048115402460098,0.9997994899749756
YBR120C,YJL180C,1,8.74248,14.0,1010.0,9974.0,2.0,0.9079999923706055,0.875,0.013671875,0.00020048115402460098,0.9997994899749756
YPL099C,YCR079W,1,8.667557,15.0,1009.0,9974.0,2.0,0.9080908894538879,0.8823529481887817,0.0146484375,0.00020048115402460098,0.9997994899749756
YDR529C,YBR179C,1,8.586617,16.0,1008.0,9974.0,2.0,0.9081818461418152,0.8888888955116272,0.015625,0.00020048115402460098,0.9997994899749756
YBR269C,YIL157C,1,8.558133,17.0,1007.0,9974.0,2.0,0.9082727432250977,0.8947368264198303,0.0166015625,0.00020048115402460098,0.9997994899749756
YNL329C,YCR046C,0,8.524514,17.0,1007.0,9973.0,3.0,0.9081818461418152,0.8500000238418579,0.0166015625,0.0003007217310369015,0.9996992945671082
YOR020C,YKL137W,1,8.4173,18.0,1006.0,9973.0,3.0,0.9082727432250977,0.8571428656578064,0.017578125,0.0003007217310369015,0.9996992945671082
YMR203W,YBR262C,1,8.409602,19.0,1005.0,9973.0,3.0,0.9083636403083801,0.8636363744735718,0.0185546875,0.0003007217310369015,0.9996992945671082
YML025C,YOL071W,0,8.37136,19.0,1005.0,9972.0,4.0,0.9082727432250977,0.8260869383811951,0.0185546875,0.00040096230804920197,0.999599039554596
YHL021C,YNL315C,1,8.343324,20.0,1004.0,9972.0,4.0,0.9083636403083801,0.8333333134651184,0.01953125,0.00040096230804920197,0.999599039554596
YDL045W-A,YDR313C,0,8.305049,20.0,1004.0,9971.0,5.0,0.9082727432250977,0.800000011920929,0.01953125,0.0005012028850615025,0.9994987845420837
YPL040C,YGR028W,0,8.260237,20.0,1004.0,9970.0,6.0,0.9081818461418152,0.7692307829856873,0.01953125,0.000601443462073803,0.9993985295295715
YDR470C,YDR493W,1,8.233324,21.0,1003.0,9970.0,6.0,0.9082727432250977,0.7777777910232544,0.0205078125,0.000601443462073803,0.9993985295295715
YPR155C,YJL112W,0,8.172326,21.0,1003.0,9969.0,7.0,0.9081818461418152,0.75,0.0205078125,0.0007016840390861034,0.9992983341217041
