Scores,Label
-5.066,+
-7.676,+
-1.973,+
-3.133,+
-3.328,+
-4.457,+
-4.652,+
-4.848,+
-3.332,+
-4.844,+
-3.562,+
-7.11,+
-3.324,+
-8.32,+
-7.707,+
-3.408,+
0.251,+
-2.945,+
-5.617,+
-4.586,+
-1.979,+
-2.477,+
-2.941,+
-1.508,+
-0.6895,+
-3.416,+
-4.203,+
-2.393,+
-1.094,+
-3.32,+
-4.723,+
-6.594,+
-7.348,+
-5.93,+
-8.53,+
-3.92,+
-2.135,+
-3.352,+
-5.19,+
-4.29,+
-7.438,+
-0.01866,+
-4.453,+
-3.75,+
-5.023,+
-7.652,+
-0.2651,+
-7.21,+
-2.316,+
-2.064,+
-3.777,+
-2.549,+
-6.426,+
-4.742,+
-6.074,+
-3.662,+
-2.418,+
-5.15,+
-2.686,+
-3.676,+
-2.986,+
-2.713,+
-5.133,+
-4.363,+
-5.42,+
-1.314,+
-1.663,+
-9.945,+
-4.277,+
-8.16,+
-5.37,+
-6.348,+
-3.69,+
-4.64,+
-2.598,+
-3.793,+
-5.816,+
-8.97,+
-2.393,+
-1.41,+
-4.59,+
-1.775,+
-2.488,+
-6.004,+
-5.27,+
-3.56,+
-6.9,+
-1.917,+
-5.258,+
-3.2,+
-7.836,+
-5.598,+
-4.547,+
-5.0,+
-2.217,+
-5.547,+
-4.836,+
-0.8193,+
-7.465,+
-2.037,+
-4.01,+
-3.477,+
-1.681,+
-2.477,+
-7.48,+
-6.46,+
-5.01,+
-4.113,+
-7.543,+
-5.207,+
-4.984,+
-4.332,+
-1.43,+
-4.74,+
-1.106,+
-6.97,+
-2.908,+
-5.324,+
-5.67,+
-7.36,+
-8.8,+
-5.656,+
-3.56,+
-6.543,+
-2.28,+
-2.998,+
-1.139,+
-4.727,+
-8.51,+
-0.739,+
-3.797,+
-4.688,+
-0.3328,+
-4.75,+
-6.87,+
-4.676,+
-5.105,+
-5.47,+
-4.254,+
-5.28,+
-6.195,+
-3.355,+
-6.18,+
-3.977,+
-1.6875,+
-2.924,+
-7.973,+
-8.89,+
-2.584,+
-4.664,+
-3.62,+
-5.926,+
-0.6187,+
-3.707,+
-1.955,+
-3.719,+
-5.668,+
-8.95,+
-1.523,+
-2.098,+
-8.97,+
-4.152,+
-5.336,+
-2.03,+
-4.91,+
-1.808,+
-4.574,+
-2.7,+
-6.23,+
-2.979,+
-6.0,+
-1.41,+
-3.451,+
-1.422,+
-2.188,+
-4.797,+
-6.887,+
-4.273,+
-5.01,+
-4.41,+
-3.625,+
-6.688,+
-3.344,+
-4.152,+
0.2189,+
-2.09,+
-2.195,+
-9.28,+
-8.73,+
-3.11,+
-5.41,+
-3.398,+
-2.598,+
-5.594,+
-6.04,+
-5.887,+
-2.62,+
-5.34,+
-0.8086,+
-5.7,+
-2.555,+
-2.342,+
-5.402,+
-1.947,+
-6.72,+
-4.586,+
-1.113,+
-3.805,+
-2.73,+
-1.587,+
-5.516,+
-4.848,+
-0.671,+
-3.053,+
-4.004,+
-6.527,+
-4.152,+
-4.05,+
-3.701,+
-4.965,+
-3.455,+
-1.85,+
-2.674,+
-3.057,+
-1.589,+
-9.55,+
-0.7847,+
-3.885,+
-6.332,+
-2.756,+
-2.162,+
-1.894,+
-1.695,+
-6.76,+
-1.567,+
-2.059,+
-2.213,+
-2.945,+
-0.8086,+
-4.33,+
-4.85,+
-5.64,+
-2.441,+
-7.457,+
-2.098,+
-3.26,+
-1.812,+
-7.797,+
-1.43,+
-2.326,+
-3.785,+
-7.99,+
-3.617,+
-3.104,+
-2.533,+
-10.08,+
-2.707,+
-3.287,+
-8.55,+
-0.5205,+
-8.99,+
-4.996,+
-3.408,+
-5.53,+
-5.188,+
-2.172,+
-2.932,+
-1.407,+
-3.25,+
-6.29,+
-4.94,+
-3.916,+
-5.414,+
-1.494,+
-8.35,+
-3.434,+
-5.414,+
-3.145,+
-7.223,+
-3.947,+
-7.133,+
-4.48,+
-6.547,+
-7.348,+
-3.115,+
-3.287,+
-4.133,+
-4.004,+
-3.502,+
-1.193,+
-4.33,+
-5.402,+
-3.467,+
-0.8125,+
-5.223,+
-1.587,+
-5.67,+
-8.39,+
-1.979,+
-7.438,+
-0.0912,+
-2.16,+
-2.77,+
0.251,+
-7.758,+
-0.8467,+
-4.14,+
-2.693,+
-2.732,+
-2.25,+
-5.27,+
-2.416,+
-4.293,+
-3.66,+
-5.28,+
-2.807,+
-6.438,+
-0.8193,+
-3.715,+
-4.43,+
-8.695,+
-7.11,+
-6.45,+
-4.86,+
-2.568,+
-2.047,+
-1.973,+
-4.465,+
-3.91,+
-6.43,+
-3.742,+
-3.172,+
-2.451,+
-4.047,+
-6.06,+
-1.854,+
-3.463,+
-5.992,+
-4.816,+
-1.111,+
-3.125,+
-4.297,+
-1.601,+
-1.875,+
-7.305,+
-1.894,+
-3.186,+
-4.074,+
-2.982,+
-5.285,+
-2.834,+
-0.1946,+
-0.4214,+
-3.348,+
-5.418,+
-2.031,+
-5.117,+
-3.523,+
-5.93,+
-4.105,+
-4.402,+
-1.161,+
-1.405,+
-8.16,+
-4.668,+
