Scores,Label
-7.246,+
-3.438,+
0.08246,+
-3.883,+
-4.156,+
-2.936,+
-2.002,+
-6.39,+
-2.877,+
-4.27,+
0.7773,+
-1.98,+
-4.816,+
-1.663,+
-4.26,+
-2.49,+
-3.197,+
-2.742,+
-2.89,+
-4.805,+
-4.39,+
1.005,+
-3.303,+
-7.27,+
-1.985,+
-6.35,+
-5.773,+
-2.738,+
-3.287,+
-2.598,+
-7.04,+
-2.012,+
-3.613,+
-8.57,+
-3.357,+
-5.992,+
-2.299,+
-4.258,+
-6.734,+
-5.55,+
-1.643,+
-2.236,+
-2.57,+
-3.51,+
-4.914,+
-3.37,+
-2.738,+
-0.287,+
-3.045,+
-6.03,+
-2.867,+
-3.236,+
-5.516,+
-4.34,+
-3.963,+
-5.72,+
-3.533,+
-3.621,+
-2.447,+
-2.027,+
-5.055,+
-3.473,+
-3.045,+
-4.33,+
-3.678,+
-4.293,+
-5.33,+
-2.719,+
-5.08,+
-5.68,+
-2.096,+
-0.849,+
-3.648,+
-3.469,+
-2.422,+
-3.088,+
-4.41,+
-6.473,+
0.602,+
-3.113,+
-1.239,+
-4.11,+
-6.04,+
-7.2,+
-5.918,+
-2.904,+
0.0554,+
1.7705,+
-5.47,+
-8.77,+
-7.566,+
-4.383,+
-4.117,+
-6.375,+
-4.227,+
-3.854,+
-0.89,+
-5.066,+
-3.918,+
-2.97,+
-4.016,+
-3.36,+
-3.186,+
-5.832,+
-6.01,+
-6.0,+
-5.52,+
-0.2206,+
-4.56,+
-0.3064,+
0.09955,+
-3.943,+
-3.164,+
-4.27,+
-5.695,+
-5.293,+
-3.514,+
-2.105,+
-4.25,+
-4.574,+
-1.757,+
-3.832,+
-4.418,+
-3.303,+
-0.1969,+
-5.023,+
-4.812,+
-6.53,+
-6.336,+
0.1578,+
-2.07,+
-4.02,+
-4.883,+
-3.74,+
0.151,+
-1.284,+
-2.96,+
-3.094,+
-4.582,+
-4.246,+
-1.803,+
-3.916,+
-4.07,+
-3.592,+
-3.746,+
-2.586,+
-4.074,+
-1.679,+
-4.59,+
-6.02,+
-1.818,+
-3.902,+
-5.55,+
-4.453,+
0.4219,+
-4.785,+
-3.775,+
-5.816,+
-3.516,+
-5.51,+
-4.57,+
-6.633,+
-5.793,+
-4.652,+
-2.37,+
-3.67,+
-1.71,+
-3.404,+
-5.598,+
-5.56,+
0.6973,+
-2.8,+
-5.254,+
-0.08374,+
-4.395,+
-1.693,+
-3.135,+
-4.285,+
-5.598,+
-4.26,+
-6.67,+
-1.282,+
-4.95,+
0.01701,+
-5.535,+
-2.83,+
-3.727,+
-2.96,+
-5.555,+
-4.14,+
-7.473,+
1.254,+
-2.951,+
-3.135,+
-6.094,+
0.02011,+
-3.357,+
-4.477,+
-5.23,+
-4.15,+
0.464,+
-1.066,+
-2.387,+
-3.271,+
-6.28,+
-2.7,+
-4.59,+
-5.254,+
-3.273,+
-6.46,+
-1.988,+
-5.93,+
-0.5986,+
-2.809,+
-4.04,+
-5.656,+
-4.56,+
-1.442,+
-7.113,+
