Scores,Label
-1.251,+
-0.4734,+
-7.297,+
-4.242,+
-3.174,+
-1.454,+
-1.723,+
-3.559,+
-4.38,+
-2.01,+
-5.16,+
-1.487,+
-3.818,+
-3.031,+
-3.91,+
-2.762,+
-5.684,+
-4.715,+
-3.984,+
-4.24,+
-4.78,+
-3.777,+
-1.885,+
-5.58,+
-4.227,+
-4.707,+
-1.574,+
-4.324,+
-5.152,+
-4.18,+
-3.246,+
-4.9,+
-3.814,+
-4.074,+
-4.117,+
-2.066,+
-5.25,+
-0.2161,+
-1.761,+
-3.682,+
-2.998,+
-4.586,+
-3.992,+
-4.277,+
-4.53,+
-2.963,+
-5.184,+
-1.994,+
-5.383,+
-5.74,+
-3.988,+
-4.258,+
-3.623,+
-3.518,+
-1.54,+
-3.668,+
-3.924,+
-2.717,+
-2.336,+
-3.49,+
-2.234,+
-3.727,+
-4.777,+
-1.8545,+
-6.047,+
-4.25,+
-3.098,+
-2.512,+
-3.172,+
-4.453,+
-4.758,+
-4.848,+
-2.34,+
-6.95,+
-3.268,+
-6.445,+
-3.89,+
-4.473,+
-3.223,+
-1.828,+
-4.273,+
-2.723,+
-4.49,+
-2.693,+
-4.22,+
-4.355,+
-2.996,+
-0.4028,+
-7.812,+
-4.223,+
-4.953,+
-4.21,+
-5.73,+
-5.457,+
-4.34,+
-6.684,+
-2.363,+
-4.29,+
-4.867,+
-4.773,+
-1.168,+
-4.965,+
1.189,+
-1.799,+
-4.07,+
-5.332,+
-6.938,+
-0.6357,+
-0.984,+
-2.19,+
-1.554,+
-5.164,+
-1.918,+
-3.14,+
-2.076,+
-4.83,+
-2.71,+
-3.14,+
-4.676,+
-1.883,+
-3.697,+
-1.988,+
-2.42,+
-3.883,+
-3.143,+
-0.1763,+
-4.344,+
-1.422,+
-2.945,+
-3.201,+
-0.6377,+
-3.066,+
-3.24,+
-1.227,+
-3.922,+
-5.035,+
-1.163,+
-1.829,+
-3.045,+
-3.553,+
-8.71,+
-5.344,+
-3.262,+
0.4326,+
-3.477,+
-1.946,+
-5.21,+
-1.889,+
-3.75,+
-1.697,+
-3.137,+
-3.031,+
-3.395,+
-2.096,+
-4.38,+
-1.687,+
-1.194,+
-4.32,+
-3.389,+
-7.76,+
-3.9,+
0.0967,+
-1.958,+
-1.434,+
-3.912,+
-0.389,+
-3.416,+
-2.723,+
-4.332,+
-1.575,+
-3.139,+
-0.9478,+
-4.652,+
-4.273,+
-1.993,+
-3.305,+
-3.922,+
-4.76,+
-1.937,+
-4.133,+
-1.895,+
-3.812,+
-4.48,+
-1.592,+
-4.86,+
-2.467,+
-5.15,+
-1.817,+
-3.385,+
-4.41,+
-2.732,+
-7.17,+
-4.715,+
-3.389,+
-2.025,+
-4.84,+
-4.133,+
-3.643,+
-2.94,+
-3.434,+
-1.833,+
-0.943,+
-3.88,+
-5.22,+
-2.178,+
-1.586,+
-3.814,+
-3.238,+
-4.72,+
0.5835,+
-3.854,+
-5.742,+
-1.92,+
-2.533,+
-1.791,+
-3.268,+
-1.462,+
-1.281,+
-4.348,+
-4.33,+
-4.805,+
-2.271,+
-4.766,+
-5.55,+
-5.855,+
-0.917,+
-2.764,+
-2.566,+
-5.844,+
-2.848,+
-3.969,+
-1.328,+
-3.844,+
-5.73,+
-6.17,+
-3.916,+
-4.69,+
-1.381,+
-3.115,+
-3.24,+
-2.402,+
-3.89,+
-3.012,+
-2.992,+
-1.157,+
-2.557,+
-2.521,+
-5.703,+
-4.297,+
-2.96,+
-4.824,+
-3.08,+
-1.76,+
-3.275,+
-2.031,+
-5.977,+
0.1068,+
-4.164,+
-4.023,+
-2.05,+
-3.143,+
-3.27,+
-3.305,+
-4.2,+
-3.8,+
-4.32,+
-4.336,+
-2.756,+
-2.611,+
-5.11,+
-5.438,+
-3.697,+
-3.87,+
-4.766,+
-2.861,+
-1.283,+
-3.248,+
-2.541,+
-4.707,+
-2.41,+
-2.133,+
-2.58,+
-3.969,+
-2.266,+
-4.883,+
-4.246,+
-3.824,+
-4.668,+
-1.97,+
-4.45,+
-3.066,+
-3.432,+
-3.027,+
-3.42,+
-5.73,+
-5.53,+
-5.59,+
-3.332,+
-4.383,+
-2.945,+
-2.637,+
-3.53,+
-2.691,+
-2.957,+
-4.65,+
-3.156,+
-1.71,+
-2.17,+
-4.504,+
-3.777,+
-3.281,+
-4.4,+
-2.621,+
-2.945,+
-4.086,+
-2.68,+
-2.586,+
-1.409,+
-3.818,+
-3.125,+
-2.18,+
0.3005,+
-2.223,+
-3.979,+
-3.537,+
-11.945,+
-1.759,+
-4.72,+
-3.662,+
-1.359,+
-4.67,+
-1.804,+
-4.066,+
-0.8843,+
-4.45,+
-1.008,+
-1.102,+
-4.316,+
-3.525,+
-2.543,+
-3.488,+
-5.934,+
-2.96,+
-3.389,+
-2.918,+
-4.312,+
-1.403,+
-1.872,+
-1.161,+
-2.197,+
-2.334,+
-6.11,+
-1.695,+
-1.164,+
-1.397,+
-4.066,+
0.1753,+
-3.896,+
-4.77,+
-1.838,+
-1.275,+
-5.164,+
-5.34,+
-1.974,+
-6.08,+
-2.754,+
-1.565,+
-3.652,+
-3.691,+
-2.812,+
-5.46,+
-2.71,+
-3.486,+
-3.582,+
-5.234,+
-2.639,+
-4.203,+
0.3066,+
-0.7896,+
-3.396,+
-3.564,+
-0.9272,+
-4.305,+
-2.424,+
-4.78,+
-5.016,+
-3.672,+
-3.682,+
-2.564,+
-5.867,+
-1.841,+
-3.81,+
-3.885,+
-4.75,+
-3.463,+
-2.408,+
-3.959,+
-4.305,+
-3.285,+
-0.828,+
-3.402,+
-4.996,+
-4.055,+
-4.184,+
-2.906,+
-4.594,+
-2.068,+
-3.617,+
-2.592,+
0.4373,+
-2.611,+
-2.764,+
-2.057,+
-0.7656,+
-4.945,+
-0.2957,+
-5.312,+
-2.035,+
-1.651,+
-1.918,+
-4.203,+
-2.168,+
-2.89,+
-3.053,+
-2.031,+
-5.773,+
-6.062,+
-2.943,+
-3.861,+
-2.545,+
-3.316,+
-2.816,+
-3.57,+
-1.868,+
-2.463,+
-2.855,+
-1.264,+
-2.291,+
-3.531,+
-1.642,+
-1.465,+
-2.824,+
-3.748,+
-6.164,+
-6.188,+
-2.697,+
-3.85,+
-4.688,+
-3.34,+
-3.82,+
-3.44,+
-0.2162,+
-1.976,+
-4.453,+
-4.586,+
-3.54,+
-5.668,+
-5.51,+
-2.873,+
-2.129,+
-0.7144,+
-3.553,+
-1.357,+
-1.846,+
-6.426,+
-2.643,+
-5.074,+
-3.25,+
-2.857,+
-1.223,+
-2.76,+
-3.016,+
-2.873,+
-3.258,+
-2.24,+
-2.355,+
-3.412,+
-1.257,+
-3.111,+
-2.688,+
-1.41,+
-1.624,+
-4.105,+
-2.424,+
-3.535,+
-2.297,+
-2.852,+
-5.08,+
-3.57,+
-3.873,+
-2.97,+
-1.267,+
-7.01,+
-1.742,+
-3.049,+
-5.023,+
-3.357,+
-6.82,+
-4.375,+
-2.154,+
-5.004,+
-2.979,+
-0.11975,+
-5.81,+
-1.364,+
-4.562,+
-3.19,+
-1.28,+
-4.15,+
-2.33,+
-4.758,+
-6.418,+
-4.883,+
-3.621,+
-2.19,+
-2.334,+
-4.293,+
-4.56,+
-4.48,+
-0.3425,+
-4.45,+
-4.18,+
-2.03,+
-5.703,+
-1.748,+
-2.22,+
-2.795,+
-3.717,+
0.05856,+
-1.673,+
-3.662,+
-3.982,+
-1.713,+
-1.976,+
-3.338,+
-5.113,+
-4.953,+
-3.957,+
-3.854,+
-5.285,+
-2.066,+
-4.65,+
-3.607,+
-4.445,+
