Scores,Label
-2.652,+
-11.08,+
-7.203,+
-5.41,+
-2.555,+
-4.023,+
-5.99,+
-4.273,+
-2.314,+
-2.871,+
-4.156,+
-5.062,+
-6.043,+
-5.37,+
-1.319,+
-2.623,+
-4.89,+
0.3015,+
0.558,+
-5.73,+
-1.189,+
-3.7,+
-5.023,+
-0.7476,+
-6.17,+
-10.64,+
-2.627,+
-4.426,+
-3.486,+
-3.799,+
-1.777,+
-8.125,+
-1.192,+
-4.242,+
-0.411,+
-3.701,+
-7.117,+
-8.664,+
-4.04,+
-2.75,+
-1.036,+
-3.107,+
-8.36,+
-1.037,+
-1.177,+
-0.5586,+
-2.025,+
-7.74,+
-4.945,+
-5.777,+
-1.492,+
-3.332,+
-7.766,+
-0.9624,+
-1.127,+
-2.174,+
-4.52,+
-6.58,+
-5.414,+
-8.74,+
-3.645,+
-2.582,+
-6.293,+
-4.098,+
-8.03,+
-4.938,+
-3.615,+
-3.982,+
-1.833,+
-4.65,+
-3.102,+
-4.438,+
-3.977,+
-4.043,+
-5.023,+
-3.979,+
-3.225,+
-3.52,+
-2.855,+
-6.9,+
-3.682,+
-0.5444,+
-3.412,+
1.271,+
-7.312,+
-0.4783,+
-1.613,+
-4.29,+
-2.88,+
-1.193,+
-6.125,+
-5.66,+
-1.402,+
-6.887,+
-6.59,+
-4.246,+
-2.455,+
-3.13,+
-6.13,+
-1.858,+
-6.207,+
-4.383,+
-1.313,+
-9.07,+
-5.38,+
-5.83,+
-4.508,+
-6.723,+
-2.459,+
-4.33,+
-3.879,+
-4.785,+
-3.162,+
-0.6494,+
-4.793,+
-2.53,+
-1.843,+
-6.5,+
-7.973,+
-8.25,+
-4.63,+
-2.73,+
-7.645,+
-7.91,+
-4.55,+
-3.332,+
-6.695,+
-4.117,+
-6.41,+
-2.889,+
-7.242,+
-3.004,+
-4.89,+
-3.059,+
-1.475,+
-3.348,+
-7.05,+
-2.65,+
-4.68,+
-2.875,+
-5.297,+
-4.676,+
-3.447,+
-3.682,+
-2.74,+
-7.992,+
-3.898,+
-7.45,+
-4.85,+
-6.223,+
-8.336,+
-2.793,+
-3.225,+
-8.664,+
-6.33,+
-0.6836,+
-5.53,+
-1.273,+
-7.453,+
-3.762,+
-6.707,+
-4.934,+
-5.402,+
-5.99,+
-2.31,+
-2.502,+
-4.023,+
-2.244,+
-5.3,+
-5.156,+
-3.068,+
-3.688,+
-6.17,+
-6.164,+
-2.594,+
-7.324,+
-7.066,+
-4.457,+
-0.733,+
-4.42,+
-4.113,+
-4.086,+
-3.58,+
-0.793,+
-2.582,+
-5.098,+
-3.426,+
-3.553,+
1.345,+
-2.46,+
-4.61,+
-5.887,+
-4.574,+
-2.375,+
-1.888,+
-4.348,+
-0.678,+
-2.963,+
-5.137,+
-2.672,+
-5.023,+
-0.6963,+
-4.11,+
-3.582,+
-3.031,+
-3.254,+
-0.683,+
-6.375,+
-5.938,+
-6.12,+
-4.69,+
-7.86,+
-4.445,+
-2.328,+
-4.45,+
-6.52,+
-0.771,+
-5.02,+
-5.996,+
-6.297,+
-2.979,+
-1.711,+
-5.227,+
-8.11,+
-6.36,+
-4.93,+
-5.156,+
-1.385,+
-5.953,+
2.25,+
-7.332,+
-1.715,+
-8.5,+
-2.973,+
-8.03,+
-7.99,+
-4.42,+
-2.771,+
