Scores,Label
-6.414,+
-7.47,+
-9.35,+
-6.28,+
-5.08,+
-7.51,+
-7.58,+
-5.723,+
-5.684,+
-6.06,+
-7.016,+
-2.469,+
-7.46,+
-1.818,+
-2.826,+
-4.836,+
-7.69,+
-3.793,+
-5.12,+
-7.445,+
-3.672,+
-3.91,+
-5.188,+
-0.6504,+
-7.445,+
-6.3,+
-3.508,+
-6.7,+
-4.68,+
-5.89,+
-6.12,+
-6.332,+
-2.91,+
-1.245,+
-2.926,+
-1.93,+
-7.355,+
-1.436,+
-5.17,+
-6.926,+
-3.861,+
-7.234,+
-5.953,+
-4.844,+
-2.871,+
-7.89,+
-7.227,+
-8.14,+
-9.484,+
-5.977,+
-7.82,+
-5.484,+
-7.71,+
-7.016,+
-4.43,+
-3.557,+
-0.9116,+
-6.133,+
-3.65,+
-2.188,+
-4.812,+
-6.9,+
-2.96,+
-6.375,+
-4.906,+
-6.625,+
-5.375,+
-5.15,+
-7.117,+
-3.283,+
-4.508,+
-4.797,+
-5.543,+
-1.502,+
-6.88,+
-6.164,+
-4.78,+
-9.71,+
-3.541,+
-5.94,+
-2.754,+
-6.004,+
-0.08154,+
-3.133,+
-3.607,+
-4.215,+
-7.89,+
-6.215,+
-8.75,+
-3.541,+
-2.55,+
-6.62,+
-8.58,+
-2.146,+
-7.04,+
-6.113,+
-4.973,+
-7.34,+
-2.658,+
-7.504,+
-2.826,+
-4.027,+
0.3923,+
-0.9116,+
-7.605,+
-6.74,+
-4.36,+
-4.54,+
-5.4,+
-7.008,+
-4.293,+
-5.05,+
-3.148,+
-6.15,+
-3.549,+
-5.918,+
-5.62,+
-5.24,+
-6.21,+
-6.43,+
-6.8,+
-8.32,+
-4.53,+
-3.375,+
-5.715,+
-3.807,+
-5.945,+
-6.71,+
-6.863,+
-6.594,+
-5.992,+
-6.28,+
-5.035,+
-6.965,+
-6.273,+
-7.04,+
-5.4,+
-3.107,+
-5.977,+
-6.67,+
-6.492,+
-5.59,+
-2.293,+
-3.01,+
-7.375,+
-3.541,+
-5.688,+
-4.28,+
-3.541,+
-7.227,+
-5.44,+
-4.78,+
-6.625,+
-3.605,+
-7.586,+
-4.13,+
-5.926,+
-6.562,+
-7.25,+
-2.785,+
-9.2,+
-5.57,+
-6.105,+
-4.63,+
-4.69,+
-4.023,+
-5.957,+
-2.826,+
-3.002,+
-8.41,+
-5.54,+
-4.613,+
-8.99,+
-3.176,+
-6.793,+
-2.715,+
-4.88,+
-3.635,+
-2.771,+
-4.1,+
-4.715,+
-5.574,+
-5.973,+
-7.58,+
-6.066,+
-7.59,+
-2.602,+
-4.84,+
-5.258,+
-6.37,+
-10.5,+
-4.355,+
-5.504,+
-6.17,+
-4.82,+
-5.438,+
-5.63,+
-3.982,+
-8.336,+
-3.035,+
-7.074,+
-6.496,+
-2.766,+
0.2566,+
-8.86,+
-2.861,+
-3.006,+
-6.23,+
-6.715,+
-9.67,+
-5.348,+
-5.008,+
-7.242,+
-4.312,+
-6.85,+
-6.324,+
-4.652,+
-6.45,+
-5.08,+
-5.18,+
-5.32,+
-5.836,+
-4.312,+
-5.305,+
-7.777,+
-8.445,+
-5.03,+
-5.887,+
-7.055,+
-8.33,+
-6.684,+
-6.7,+
-5.332,+
-2.621,+
-5.836,+
-4.76,+
-5.477,+
-5.246,+
-2.266,+
-3.312,+
-2.863,+
-3.293,+
-2.088,+
-5.11,+
-1.039,+
-5.21,+
-7.375,+
-4.285,+
-5.117,+
-4.812,+
-7.44,+
-7.47,+
-4.34,+
-3.012,+
-6.664,+
-8.234,+
-4.46,+
-5.36,+
-6.195,+
-5.324,+
-6.92,+
-5.457,+
-4.137,+
-5.09,+
-3.643,+
-5.45,+
-5.652,+
-7.49,+
-10.234,+
-3.709,+
-5.71,+
-5.523,+
-4.45,+
-3.77,+
-5.55,+
-2.016,+
-4.758,+
-5.004,+
-5.387,+
-5.016,+
-6.926,+
-4.832,+
-3.508,+
-5.227,+
-7.06,+
-7.605,+
-6.04,+
-6.63,+
-5.86,+
-4.09,+
-4.406,+
-7.08,+
-5.004,+
-6.58,+
-6.535,+
-5.887,+
-8.07,+
-5.56,+
-3.854,+
-4.137,+
-6.0,+
-4.285,+
-4.355,+
-6.113,+
-6.92,+
-5.38,+
-5.273,+
-5.785,+
-5.855,+
-5.445,+
-3.246,+
-7.71,+
-6.477,+
-7.902,+
-5.273,+
-7.12,+
-5.836,+
-2.754,+
-3.3,+
-5.17,+
-5.555,+
-5.48,+
-7.38,+
-6.57,+
-6.457,+
-2.617,+
-5.17,+
-4.04,+
-6.83,+
-4.27,+
-5.664,+
-4.645,+
-3.97,+
-6.125,+
-5.82,+
-4.46,+
-10.45,+
-5.71,+
-5.707,+
-2.533,+
-7.58,+
-6.883,+
-1.595,+
-6.133,+
-4.51,+
-3.299,+
-3.635,+
-8.23,+
-3.893,+
-4.87,+
-5.676,+
-3.771,+
-7.47,+
-5.89,+
-4.996,+
-6.12,+
-5.355,+
-0.5327,+
-4.1,+
-3.936,+
-7.355,+
-6.473,+
-8.63,+
-6.434,+
-4.83,+
-5.875,+
-6.125,+
-3.494,+
-8.195,+
-5.63,+
-5.617,+
-4.715,+
-5.375,+
-6.945,+
-7.508,+
-6.305,+
-4.168,+
-4.96,+
-6.0,+
-6.207,+
-2.545,+
-6.88,+
-7.723,+
-6.883,+
-8.336,+
-6.59,+
-5.66,+
-5.53,+
-5.297,+
-5.09,+
-2.46,+
-6.945,+
-4.43,+
-4.51,+
-5.12,+
-5.28,+
-3.61,+
-6.055,+
-6.207,+
-4.758,+
-5.645,+
-6.797,+
-3.21,+
0.558,+
-6.26,+
-5.32,+
-5.38,+
-5.133,+
-4.605,+
-5.613,+
-7.242,+
-6.098,+
-6.043,+
-4.24,+
-2.924,+
-6.76,+
-4.25,+
-3.117,+
-6.684,+
-5.293,+
-5.406,+
-4.8,+
-7.67,+
-5.645,+
-5.945,+
-2.633,+
-5.438,+
-6.86,+
-7.016,+
-7.06,+
-2.99,+
-4.895,+
-5.906,+
-4.676,+
-4.562,+
-3.121,+
-4.613,+
-2.8,+
-6.29,+
-5.973,+
-5.977,+
-6.05,+
-4.965,+
-6.793,+
-5.375,+
-5.496,+
-5.258,+
-6.574,+
-5.504,+
-6.47,+
-5.875,+
-3.408,+
-3.021,+
-4.004,+
-8.99,+
-8.98,+
-4.305,+
-3.549,+
-6.652,+
-2.193,+
-2.928,+
-5.074,+
-8.28,+
-9.266,+
-4.414,+
-1.039,+
-9.266,+
-6.934,+
-6.76,+
-4.695,+
-5.94,+
-2.504,+
-4.676,+
-5.34,+
-7.19,+
-2.861,+
-6.188,+
-4.156,+
-6.234,+
-3.959,+
-4.75,+
-5.25,+
-6.01,+
-5.586,+
-5.645,+
-3.717,+
-7.61,+
2.32,+
-2.389,+
-7.508,+
-5.785,+
-5.945,+
-7.703,+
-6.082,+
-3.902,+
-5.887,+
-4.098,+
-6.06,+
-7.438,+
-4.625,+
-5.99,+
-2.99,+
-7.723,+
-3.027,+
-3.426,+
-4.137,+
-3.713,+
-5.27,+
-4.734,+
-6.348,+
-4.266,+
-7.582,+
-5.953,+
-5.01,+
-5.477,+
-9.43,+
-5.08,+
-3.996,+
-5.227,+
-7.363,+
-5.45,+
-3.682,+
-5.945,+
-4.69,+
-5.703,+
-6.562,+
-7.215,+
-4.223,+
-7.555,+
-1.562,+
-4.176,+
-4.1,+
-8.81,+
-5.645,+
-4.64,+
-5.54,+
-2.436,+
-6.562,+
-4.098,+
-3.547,+
-3.215,+
-0.0485,+
-3.521,+
-7.332,+
-5.99,+
-4.1,+
-5.17,+
-6.76,+
-3.25,+
-4.82,+
-9.71,+
-4.824,+
-6.305,+
-5.344,+
-7.695,+
-4.773,+
-4.355,+
-8.586,+
-5.566,+
-4.87,+
-7.836,+
-6.008,+
-7.52,+
-5.105,+
-4.76,+
-8.336,+
-5.85,+
-8.58,+
-8.14,+
-8.36,+
-8.75,+
-6.703,+
-4.54,+
-3.602,+
-4.062,+
-4.97,+
-0.4753,+
-6.11,+
-4.83,+
-4.86,+
-2.893,+
-7.69,+
-9.05,+
-6.207,+
-7.72,+
-2.947,+
-4.523,+
-6.223,+
-2.22,+
-4.566,+
-5.133,+
-5.34,+
-8.57,+
-7.18,+
-5.457,+
-2.514,+
-5.543,+
-4.812,+
-3.352,+
-5.234,+
-4.63,+
-8.234,+
-5.027,+
-4.508,+
-7.953,+
-3.453,+
-3.232,+
-4.63,+
-3.068,+
-5.133,+
-3.758,+
-6.17,+
-5.105,+
-0.937,+
-5.883,+
-4.957,+
-3.328,+
-8.17,+
-7.594,+
-4.203,+
-4.89,+
-6.504,+
-7.03,+
-2.459,+
-5.34,+
-6.43,+
-4.51,+
-5.22,+
-2.617,+
-4.062,+
-6.38,+
-4.742,+
-6.2,+
-6.49,+
-5.137,+
-4.25,+
-4.312,+
-7.15,+
-3.13,+
-6.48,+
-4.688,+
-6.574,+
-6.043,+
-5.19,+
-6.49,+
-6.273,+
-2.486,+
-4.492,+
-5.523,+
-3.473,+
-7.77,+
-2.076,+
-5.31,+
-2.812,+
-6.12,+
-5.668,+
-5.72,+
-5.473,+
-4.812,+
-7.49,+
-6.742,+
-3.99,+
-5.902,+
-4.07,+
-4.312,+
-6.51,+
-6.934,+
-3.744,+
-3.758,+
-7.19,+
-7.965,+
-6.297,+
-7.13,+
-6.273,+
-4.45,+
-9.125,+
-9.17,+
-2.463,+
-11.13,+
-4.86,+
-6.79,+
-6.324,+
-7.71,+
-7.02,+
-6.152,+
-7.445,+
-4.18,+
-5.04,+
-3.3,+
-2.818,+
-5.223,+
-3.898,+
-6.633,+
-5.266,+
-3.24,+
-7.66,+
-3.818,+
-7.258,+
-2.77,+
-7.945,+
-6.355,+
-8.445,+
-4.99,+
-6.51,+
-5.348,+
-5.977,+
-8.61,+
-2.951,+
-5.54,+
-1.265,+
-4.63,+
-2.752,+
-4.867,+
-8.81,+
-2.584,+
-4.266,+
-2.188,+
-9.555,+
-5.02,+
-2.518,+
-1.887,+
-6.45,+
-4.832,+
-4.117,+
-5.805,+
-4.258,+
-6.793,+
-7.598,+
-5.9,+
-4.746,+
-3.635,+
-2.893,+
-2.633,+
-4.406,+
-7.48,+
-5.88,+
-4.83,+
-6.637,+
-0.4753,+
-4.01,+
-7.25,+
-7.25,+
-5.996,+
-7.652,+
-4.707,+
-6.035,+
-7.06,+
-5.016,+
-4.92,+
-0.746,+
-6.957,+
-5.027,+
-2.969,+
-5.824,+
-5.54,+
-6.887,+
-4.785,+
-2.926,+
-2.62,+
-4.97,+
-4.598,+
-5.996,+
-4.773,+
-6.28,+
-4.18,+
-5.586,+
-5.887,+
-7.418,+
-7.59,+
-5.605,+
-5.703,+
-1.265,+
-6.887,+
-4.133,+
-8.28,+
-6.793,+
-6.65,+
-4.492,+
-3.41,+
-6.5,+
-8.875,+
-4.605,+
-5.344,+
-3.709,+
-6.504,+
-5.1,+
-8.586,+
-5.434,+
-8.22,+
-4.242,+
-5.48,+
-7.69,+
-3.04,+
-5.348,+
-6.312,+
0.9424,+
-4.816,+
-5.707,+
-5.137,+
-6.184,+
-2.895,+
-4.348,+
-8.66,+
-8.78,+
-6.477,+
-4.707,+
-5.0,+
-1.562,+
-2.36,+
-4.223,+
-5.887,+
-4.164,+
-6.53,+
-9.64,+
-2.188,+
-4.49,+
-6.887,+
-6.08,+
-6.793,+
-7.246,+
-7.977,+
-4.445,+
-4.465,+
-5.914,+
-4.527,+
-2.895,+
-3.42,+
-4.477,+
-2.91,+
-6.6,+
-3.562,+
-4.387,+
-3.56,+
-4.535,+
-5.88,+
-6.996,+
-3.97,+
-6.59,+
-3.6,+
-7.58,+
-6.402,+
-3.635,+
-7.0,+
-4.957,+
-1.055,+
-8.78,+
-6.73,+
-4.5,+
-4.76,+
-5.63,+
-4.445,+
-2.63,+
-2.867,+
-7.562,+
-5.83,+
-6.062,+
-1.851,+
-3.264,+
-5.926,+
-7.793,+
-5.29,+
-5.742,+
-7.742,+
-6.715,+
-8.54,+
-0.698,+
-3.77,+
-4.45,+
-4.445,+
-7.05,+
-8.35,+
-6.66,+
-1.495,+
-5.9,+
-4.676,+
-6.168,+
-4.95,+
-5.72,+
-1.838,+
-3.977,+
-9.516,+
-3.627,+
-4.64,+
-3.617,+
-7.96,+
-4.54,+
-7.863,+
-7.49,+
-4.754,+
-5.496,+
-5.793,+
-4.758,+
-5.156,+
-3.709,+
-3.602,+
-6.742,+
-3.846,+
-4.97,+
-6.65,+
-9.02,+
-6.61,+
-5.57,+
-6.05,+
-3.717,+
-5.027,+
-7.406,+
-5.08,+
-5.684,+
-6.46,+
-1.319,+
-5.246,+
-5.883,+
-5.492,+
-7.242,+
-5.4,+
-3.635,+
-9.42,+
-6.754,+
-1.319,+
-4.633,+
