Gene,Correlation
YLL027W,0.48445326
YKL192C,0.48134392
YPL097W,0.47892556
YNL037C,0.47875282
YOR136W,0.4758162
YDL178W,0.47460702
YLR382C,0.47097945
YNR001C,0.47046122
YNL073W,0.46216962
YFL018C,0.46061495
YKL194C,0.46044222
YKL029C,0.45923302
YOL033W,0.45767835
YDR148C,0.45491448
YPL061W,0.45474175
YEL071W,0.45439628
YCR005C,0.45180514
YPR002W,0.45094144
YGL062W,0.44904128
YPL262W,0.44178614
YDR268W,0.4378131
YOR040W,0.43764034
YOR221C,0.43176714
YPR006C,0.43142167
YBR084W,0.42917603
YHR011W,0.42883053
YPL040C,0.42468473
YBR221C,0.4236483
YGR171C,0.4169114
YDR036C,0.414493
YDL174C,0.41414753
YMR293C,0.4139748
YPR067W,0.41138366
YGR193C,0.40965626
YLR153C,0.40343755
YPL028W,0.40309206
YIL125W,0.40257385
YKL085W,0.40084642
YBL015W,0.39721885
YNL239W,0.38961825
YBR026C,0.38564518
YOR130C,0.38478148
YER073W,0.3814994
YER178W,0.37769908
YNL071W,0.37718087
YBR159W,0.36422527
YLR372W,0.3540335
YOL126C,0.34781483
YHR067W,0.34470546
YBR041W,0.33710486
YOL002C,0.3263949
YBL098W,0.31913975
YBR121C,0.3148212
YMR207C,0.30825704
YNL256W,0.30635688
YJL060W,0.30618414
YGR286C,0.30583867
YKL055C,0.303593
YBR006W,0.29633787
YJR019C,0.28200033
YMR246W,0.27699083
YJL052W,0.26939023
YGR254W,0.268872
YGL253W,0.2591985
YMR095C,0.25470722
YLR134W,0.25436172
YBR196C,0.25315252
YCR034W,0.25263432
YNL202W,0.25107962
YAL044C,0.24693383
YKL152C,0.24658836
YJR009C,0.24624288
YDL106C,0.24537916
YCR012W,0.24313353
YHR174W,0.23950596
YKL060C,0.23916048
YGR192C,0.23864225
YPR128C,0.23622388
YMR272C,0.23484194
