Gene,Correlation
YMR267W,0.4841078
YNL037C,0.47875282
YOR136W,0.4758162
YNR001C,0.47046122
YPR155C,0.46320608
YOR142W,0.45560545
YDR148C,0.45491448
YPL061W,0.45474175
YCR005C,0.45180514
YLR139C,0.44610468
YOR356W,0.44506824
YGL018C,0.44213164
YPL262W,0.44178614
YIL070C,0.4383313
YCR073W-A,0.4353947
YPL271W,0.434531
YJR121W,0.42416653
YBR221C,0.4236483
YMR056C,0.41829333
YEL024W,0.4177751
YJL209W,0.41501123
YBR136W,0.4094835
YIL125W,0.40257385
YKL085W,0.40084642
YML120C,0.4006737
YLL041C,0.39825532
YKR046C,0.3965279
YDR178W,0.39065468
YGR244C,0.38581795
YBR026C,0.38564518
YNL111C,0.38547245
YER178W,0.37769908
YKL148C,0.37666264
YPR021C,0.369062
YML110C,0.34954223
YBR243C,0.34919676
YOL126C,0.34781483
YOR002W,0.34453273
YHR001W-A,0.3355502
YIL066C,0.32328555
YPR191W,0.32294005
YDR298C,0.32069442
YGL187C,0.3181033
YKL055C,0.303593
YBR085W,0.3006564
YJL166W,0.298929
YBL058W,0.2856279
YKL093W,0.28234583
YJL052W,0.26939023
YGR254W,0.268872
YOL008W,0.2612714
YGL253W,0.2591985
YLR134W,0.25436172
YBR196C,0.25315252
YKL152C,0.24658836
YJR009C,0.24624288
YBL030C,0.24434271
YCR012W,0.24313353
YHR174W,0.23950596
YKL060C,0.23916048
