Gene,Correlation
YBL050W,0.4659396
YFL038C,0.46191275
YFL005W,0.46157718
YKL002W,0.46006712
YKL196C,0.44026846
YHL031C,0.4374161
YOR036W,0.43590605
YAL030W,0.4354027
YDR177W,0.43422818
YGR241C,0.41342282
YKL006C-A,0.4114094
YDL195W,0.41124162
YKR014C,0.41107383
YDR456W,0.40855706
YCR067C,0.40704697
YLR268W,0.40033558
YPL084W,0.39530203
YPR181C,0.39010066
YEL013W,0.37969798
YLR208W,0.3748322
YBR080C,0.37432885
YJL100W,0.3716443
YOR327C,0.35855705
YDL077C,0.35234898
YGL200C,0.347651
YIL109C,0.34597316
YJL178C,0.34580538
YDR080W,0.3397651
YIL004C,0.32869127
YGR009C,0.32701343
YGR172C,0.32667786
YLR078C,0.3169463
YOR089C,0.3011745
YPL085W,0.29479867
YDR164C,0.28573826
YGL095C,0.27885905
YLR025W,0.27416107
YDR189W,0.26744968
YDR486C,0.26694632
YLR148W,0.25536913
YHR098C,0.25184563
YMR183C,0.24916108
YIL076W,0.23842283
YMR197C,0.23624161
