Gene,Correlation
YML080W,-0.4875839
YHR062C,-0.47802013
YKR079C,-0.4763423
YNL282W,-0.47298658
YOL093W,-0.47231543
YML014W,-0.4681208
YNL119W,-0.46778524
YJL125C,-0.4624161
YDR120C,-0.45184565
YOR243C,-0.44916108
YOL115W,-0.44580537
YOL066C,-0.44278523
YNL292W,-0.4137584
YLR316C,-0.4124161
YJL098W,-0.39328858
YDR463W,-0.3830537
YDL036C,-0.3828859
YDL201W,-0.38271812
YGR200C,-0.38204697
YOL124C,-0.3763423
YKL110C,-0.37533557
YJL035C,-0.3713087
YOR226C,-0.36895972
YKR056W,-0.35872483
YNL251C,-0.35604027
YNR015W,-0.35503355
YPL212C,-0.3464765
YAL033W,-0.34614095
YDR045C,-0.3456376
YDR165W,-0.3441275
YLR401C,-0.33909395
YPL086C,-0.3384228
YGL169W,-0.33808726
YNL221C,-0.33791947
YLR384C,-0.3285235
YBL024W,-0.32567114
YKL186C,-0.3239933
YER168C,-0.31912753
YOL125W,-0.31862417
YPL169C,-0.31308725
YLR405W,-0.31191275
YNR046W,-0.30369127
YLR430W,-0.29731545
YBL013W,-0.29479867
YAR008W,-0.2850671
YBR061C,-0.28422818
YGR024C,-0.28003356
YIL008W,-0.26040268
YAL043C,-0.25822148
YPL101W,-0.25151005
YNL062C,-0.24496645
YGL210W-A,-0.2374161
YMR312W,-0.23489933
YKR038C,-0.23439597
YOR240W,-0.2342282
YPL157W,-0.22667785
YML005W,-0.22080536
YOR274W,-0.20419464
YHR187W,-0.1989933
YDL051W,-0.18959731
YGL243W,-0.1875839
YBR257W,-0.18624161
