Gene,Correlation
YMR067C,0.4879081
YJL048C,0.40723786
YAL023C,0.39756435
YMR276W,0.38789082
YJL034W,0.37096217
YGL252C,0.3681983
YBR170C,0.36785284
YBR273C,0.36370704
YDR057W,0.35783383
YJL073W,0.35455173
YFR029W,0.3476421
YMR214W,0.34073243
YCL043C,0.32950422
YOR007C,0.30117464
YGR163W,0.2877008
YBL058W,0.2856279
YMR184W,0.28320953
YDL095W,0.27871826
YBR201W,0.27750906
YNL159C,0.26075315
YML029W,0.25643462
YDR411C,0.25401625
YAL058W,0.24710658
YHR186C,0.23536016
YCL052C,0.23190534
YML013W,0.22154085
YDR207C,0.2196407
YNL008C,0.21739505
YOL013C,0.208758
YMR119W,0.20841251
YOL082W,0.20530316
YML121W,0.19234756
YFL025C,0.18820176
YIL030C,0.1863016
