GO Term,Term Name,SG AUC,Test AUC,Train AUC,Test Average Precision,Train Average Precision
GO:0000054,ribosome export from nucleus,0.909486405,0.902412403,0.928575307,0.269103067,0.288097801
GO:0000278,mitotic cell cycle,0.741637577,0.704575022,0.844759727,0.167030005,0.236860181
GO:0000747,conjugation with cellular fusion,0.693649807,0.638220741,0.825709863,0.149881126,0.231340648
GO:0000902,cell morphogenesis,0.656613493,0.613623568,0.808671409,0.129420226,0.215652683
GO:0000910,cytokinesis,0.740316003,0.65884194,0.844540909,0.146006579,0.235605343
GO:0001403,invasive growth (sensu Saccharomyces),0.695662449,0.618209634,0.814884508,0.132629992,0.219061971
GO:0003700,transcription factor activity,0.797830266,0.739823073,0.83498083,0.174900881,0.228759234
GO:0004518,nuclease activity,0.793839997,0.811593508,0.877272386,0.231669573,0.258122304
GO:0005085,guanyl-nucleotide exchange factor activity,0.703248096,0.69383001,0.78488221,0.163580942,0.197351435
GO:0006260,DNA replication,0.815685447,0.778647635,0.877923613,0.212666231,0.259889514
GO:0006281,DNA repair,0.739147992,0.712405079,0.844760682,0.164578964,0.233804874
GO:0006310,DNA recombination,0.722553286,0.684157932,0.821552591,0.16112675,0.227326892
GO:0006325,establishment and/or maintenance of chromatin architecture,0.7546839,0.72628084,0.860448751,0.172179495,0.242977101
GO:0006352,transcription initiation,0.80456213,0.784044308,0.894029113,0.197743602,0.263453418
GO:0006353,transcription termination,0.738656962,0.69592855,0.778129153,0.164814624,0.191387209
GO:0006360,transcription from RNA polymerase I promoter,0.864808203,0.824866996,0.899528098,0.226246224,0.266727896
GO:0006364,rRNA processing,0.931849903,0.917276634,0.951432069,0.288796609,0.306826765
GO:0006366,transcription from RNA polymerase II promoter,0.700387561,0.663183455,0.8276975,0.146206628,0.225864677
GO:0006383,transcription from RNA polymerase III promoter,0.783026641,0.747676604,0.828520724,0.192906771,0.231421333
GO:0006397,mRNA processing,0.794615389,0.752156104,0.863826319,0.189713687,0.248600839
GO:0006401,RNA catabolic process,0.761990057,0.710936613,0.842927023,0.181081352,0.239351183
GO:0006413,translational initiation,0.877579866,0.861654925,0.900842997,0.256620284,0.279656342
GO:0006414,translational elongation,0.921299094,0.846111111,0.919701652,0.249363116,0.288807496
GO:0006418,tRNA aminoacylation for protein translation,0.912120917,0.891733037,0.905817963,0.269220049,0.280486201
GO:0006457,protein folding,0.734721363,0.701330469,0.810241409,0.181732412,0.232485535
GO:0006468,protein amino acid phosphorylation,0.685259887,0.656436824,0.793289842,0.145061351,0.205044122
GO:0006470,protein amino acid dephosphorylation,0.738111586,0.584780518,0.701852108,0.151439815,0.172697028
GO:0006486,protein amino acid glycosylation,0.863009936,0.797945749,0.874126864,0.229418867,0.264524937
GO:0006497,protein amino acid lipidation,0.759514228,0.695548589,0.835385748,0.17650682,0.232916383
GO:0006605,protein targeting,0.673428981,0.635849386,0.843357909,0.13872242,0.238091151
GO:0006629,lipid metabolic process,0.761137168,0.700313272,0.852237365,0.172557179,0.243616507
GO:0006766,vitamin metabolic process,0.805721556,0.735965682,0.83932166,0.182386446,0.238812294
GO:0006811,ion transport,0.853764228,0.780361932,0.865525091,0.206660289,0.251345595
GO:0006865,amino acid transport,0.793849329,0.700218681,0.786140312,0.166842373,0.211732434
GO:0006869,lipid transport,0.721214275,0.639345174,0.741540096,0.139197946,0.185693616
GO:0006873,cell ion homeostasis,0.684499763,0.678751757,0.781753636,0.15401517,0.204801981
GO:0006887,exocytosis,0.745924502,0.709215296,0.82618351,0.169064944,0.22935515
GO:0006897,endocytosis,0.753593335,0.711292297,0.871527886,0.176798494,0.25686336
GO:0006970,response to osmotic stress,0.720357571,0.646482509,0.800155068,0.145112951,0.213330463
GO:0006979,response to oxidative stress,0.80038287,0.759319577,0.890100795,0.199095284,0.268330339
GO:0006997,nuclear organization and biogenesis,0.773654216,0.744801169,0.840656199,0.189034103,0.23979785
GO:0007005,mitochondrion organization and biogenesis,0.735250527,0.658444381,0.764273501,0.15842675,0.20315568
GO:0007010,cytoskeleton organization and biogenesis,0.719097358,0.667975386,0.834239818,0.145854175,0.227862529
GO:0007031,peroxisome organization and biogenesis,0.779119747,0.802336654,0.849614033,0.213378154,0.238063396
GO:0007033,vacuole organization and biogenesis,0.748468529,0.741443871,0.806042296,0.181429694,0.220949173
GO:0007059,chromosome segregation,0.786533708,0.77011214,0.860762388,0.193979302,0.245276428
GO:0007114,cell budding,0.748420764,0.686185466,0.8623575,0.15249253,0.246386031
GO:0007124,pseudohyphal growth,0.600785921,0.592101002,0.810055523,0.12173219,0.213589859
GO:0008033,tRNA processing,0.761258428,0.65758617,0.792628465,0.157302109,0.221562356
GO:0008135,"translation factor activity, nucleic acid binding",0.896926974,0.870500636,0.918371402,0.268168463,0.289985428
GO:0008213,protein amino acid alkylation,0.870877132,0.812420126,0.85549516,0.221269786,0.245537877
GO:0008380,RNA splicing,0.796296086,0.758358736,0.869877479,0.190800049,0.253239507
GO:0008643,carbohydrate transport,0.898263048,0.828822026,0.869572977,0.231932413,0.258086749
GO:0009408,response to heat,0.843824124,0.784986609,0.830055628,0.209910788,0.225843696
GO:0009451,RNA modification,0.882073817,0.863499436,0.915149302,0.252594577,0.285569098
GO:0010324,membrane invagination,0.755051595,0.717599496,0.870392682,0.177601236,0.257474007
GO:0015931,"nucleobase, nucleoside, nucleotide and nucleic acid transport",0.750008681,0.714933449,0.81874525,0.174632083,0.232016926
