,Gene A,Gene B,Score
0,YMR302C,YMR211W,0.8376662135124207
1,YMR302C,YBR185C,0.9995352029800415
2,YMR302C,YCR020C,0.9825806021690369
3,YMR302C,YDR296W,0.9944871068000793
4,YMR302C,YBR091C,0.999180018901825
5,YMR302C,YHR005C-A,0.7974039912223816
6,YMR302C,YOR037W,0.9995434880256653
7,YMR302C,YLL001W,0.08638124167919159
8,YMR302C,YNL304W,0.9996494054794312
9,YMR302C,YJR065C,0.9353064298629761
10,YMR302C,YJL112W,0.9936337471008301
11,YMR302C,YLL006W,0.9998894929885864
12,YMR302C,YNL213C,0.0578056238591671
13,YMR302C,YDR470C,0.015591848641633987
14,YMR302C,YMR134W,0.9159166812896729
15,YMR302C,YOL095C,0.290780246257782
16,YMR302C,YDL198C,0.9703288078308105
17,YMR302C,YGL055W,0.9830295443534851
18,YMR302C,YDR393W,0.9907054305076599
19,YMR302C,YJR135W-A,0.9871475100517273
20,YMR302C,YKL013C,0.996475875377655
21,YMR302C,YNL079C,0.8115777969360352
22,YMR302C,YGL020C,0.1372656375169754
23,YMR302C,YBL080C,0.9999946355819702
24,YMR302C,YNR035C,0.02310800366103649
25,YMR302C,YIL051C,0.6927438378334045
26,YMR302C,YCR028C-A,0.9873550534248352
27,YMR302C,YGR101W,0.999688982963562
28,YMR302C,YKR042W,0.999998927116394
29,YMR302C,YHR120W,0.20150038599967957
30,YMR302C,YNL310C,0.005098560359328985
31,YMR302C,YBR212W,0.9983153343200684
32,YMR302C,YJL054W,0.858944296836853
33,YMR302C,YLR370C,0.956216037273407
34,YMR302C,YPR024W,0.9939384460449219
35,YMR302C,YKL053C-A,0.9999972581863403
36,YMR302C,YMR012W,0.05483108013868332
37,YMR302C,YHR083W,0.8541427850723267
38,YMR302C,YNL149C,0.9512145519256592
39,YMR302C,YDL142C,4.709067434305325e-05
40,YMR302C,YNL121C,0.03789898380637169
41,YMR302C,YMR241W,2.997015136063652e-10
42,YMR302C,YPR125W,0.8800252079963684
43,YMR302C,YNL026W,0.989575982093811
44,YMR302C,YKR085C,0.9999892711639404
45,YMR302C,YCL044C,0.9886394739151001
46,YMR302C,YPR083W,0.9998931884765625
47,YMR302C,YOL027C,0.9977788329124451
48,YMR302C,YNL055C,7.212994387373328e-05
49,YMR302C,YGR181W,0.9761667847633362
50,YMR302C,YDR150W,0.9893819093704224
