Used Modern Datasets
Initialized Expression Datasets
Initialized Localization Data
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/Modern_OnlyPos_nonRandom/Original_glpx_b_466x25000x53_lr0.01_batch50_Train_/
./Yeast Resources/Pairwise/Spell/Modern_OnlyPos_nonRandom/Original_glpx_b_466x25000x53_lr0.01_batch50_Test_/
100 Batch Cumulative Loss: 474.76701736450195
Time for 100 Batches: 0.012476229667663574
100 Batch Cumulative Loss: 598.6910395622253
Time for 100 Batches: 1.331447414557139
100 Batch Cumulative Loss: 453.4129042625427
Time for 100 Batches: 1.328359313805898
100 Batch Cumulative Loss: 376.879620552063
Time for 100 Batches: 1.339945642153422
100 Batch Cumulative Loss: 342.6466805934906
Time for 100 Batches: 1.3409844835599263
100 Batch Cumulative Loss: 324.805540561676
Time for 100 Batches: 1.3409393350283305
100 Batch Cumulative Loss: 300.442409992218
Time for 100 Batches: 1.3369470238685608
100 Batch Cumulative Loss: 286.60109877586365
Time for 100 Batches: 1.361272966861725
100 Batch Cumulative Loss: 279.07827520370483
Time for 100 Batches: 1.3510564843813577
100 Batch Cumulative Loss: 268.65410470962524
Time for 100 Batches: 1.3356434106826782
100 Batch Cumulative Loss: 261.92721927165985
Time for 100 Batches: 1.3276756445566813
100 Batch Cumulative Loss: 256.92343175411224
Time for 100 Batches: 1.344757040341695
100 Batch Cumulative Loss: 243.8473880290985
Time for 100 Batches: 1.34005499680837
100 Batch Cumulative Loss: 249.80362975597382
Time for 100 Batches: 1.3245431621869406
100 Batch Cumulative Loss: 230.89110207557678
Time for 100 Batches: 1.350089422861735
100 Batch Cumulative Loss: 220.3312405347824
Time for 100 Batches: 1.3230782945950825
100 Batch Cumulative Loss: 224.06828355789185
Time for 100 Batches: 1.3284870743751527
100 Batch Cumulative Loss: 230.07040584087372
Time for 100 Batches: 1.3397879521052043
100 Batch Cumulative Loss: 232.45198476314545
Time for 100 Batches: 1.3230541110038758
100 Batch Cumulative Loss: 215.41591501235962
Time for 100 Batches: 1.332917833328247
100 Batch Cumulative Loss: 218.7517387866974
Time for 100 Batches: 1.3366183797518412
100 Batch Cumulative Loss: 220.5238859653473
Time for 100 Batches: 1.3283589243888856
100 Batch Cumulative Loss: 213.3078578710556
Time for 100 Batches: 1.3355581879615783
100 Batch Cumulative Loss: 225.06946849822998
Time for 100 Batches: 1.3544215480486552
100 Batch Cumulative Loss: 208.78650069236755
Time for 100 Batches: 1.3332279165585836
100 Batch Cumulative Loss: 189.40459620952606
Time for 100 Batches: 1.3466344436009725
100 Batch Cumulative Loss: 202.64119863510132
Time for 100 Batches: 1.3365821441014607
100 Batch Cumulative Loss: 197.15534496307373
Time for 100 Batches: 1.3334376374880472
100 Batch Cumulative Loss: 200.29192006587982
Time for 100 Batches: 1.3559355854988098
100 Batch Cumulative Loss: 202.42478823661804
Time for 100 Batches: 1.3193748633066813
100 Batch Cumulative Loss: 180.9026700258255
Time for 100 Batches: 1.3508124351501465
100 Batch Cumulative Loss: 194.3894865512848
Time for 100 Batches: 1.3312650799751282
100 Batch Cumulative Loss: 174.08284413814545
Time for 100 Batches: 1.3292410929997762
100 Batch Cumulative Loss: 172.3552761077881
Time for 100 Batches: 1.336853595574697
100 Batch Cumulative Loss: 172.32669579982758
Time for 100 Batches: 1.3418904662132263
100 Batch Cumulative Loss: 165.59046745300293
Time for 100 Batches: 1.3341513315836588
100 Batch Cumulative Loss: 161.23308408260345
Time for 100 Batches: 1.348298724492391
100 Batch Cumulative Loss: 164.59131145477295
Time for 100 Batches: 1.3375468373298645
100 Batch Cumulative Loss: 163.50502264499664
Time for 100 Batches: 1.3545045653978984
100 Batch Cumulative Loss: 163.65669584274292
Time for 100 Batches: 1.3348599870999653
100 Batch Cumulative Loss: 169.5558581352234
Time for 100 Batches: 1.3428922533988952
100 Batch Cumulative Loss: 166.52925860881805
Time for 100 Batches: 1.3474133054415385
100 Batch Cumulative Loss: 167.60795319080353
Time for 100 Batches: 1.3484507044156393
100 Batch Cumulative Loss: 194.0333645939827
Time for 100 Batches: 1.3311650315920511
100 Batch Cumulative Loss: 155.69396209716797
Time for 100 Batches: 1.3500927090644836
100 Batch Cumulative Loss: 154.61112105846405
Time for 100 Batches: 1.3375082969665528
100 Batch Cumulative Loss: 185.20214879512787
Time for 100 Batches: 1.3485159198443095
100 Batch Cumulative Loss: 169.63856154680252
Time for 100 Batches: 1.331909183661143
100 Batch Cumulative Loss: 152.9734230041504
Time for 100 Batches: 1.3444317022959391
100 Batch Cumulative Loss: 157.25213313102722
Time for 100 Batches: 1.3440556128819783
100 Batch Cumulative Loss: 147.45039820671082
Time for 100 Batches: 1.3255711317062377
100 Batch Cumulative Loss: 150.419859290123
Time for 100 Batches: 1.3385785619417827
100 Batch Cumulative Loss: 399.0976052284241
Time for 100 Batches: 1.3335593144098918
100 Batch Cumulative Loss: 195.2960854768753
Time for 100 Batches: 1.346242606639862
100 Batch Cumulative Loss: 195.41773164272308
Time for 100 Batches: 1.3480353077252707
100 Batch Cumulative Loss: 211.07223200798035
Time for 100 Batches: 1.3532549063364665
100 Batch Cumulative Loss: 165.83032882213593
Time for 100 Batches: 1.3496533989906312
100 Batch Cumulative Loss: 154.47974866628647
Time for 100 Batches: 1.3490050633748372
100 Batch Cumulative Loss: 153.81985104084015
Time for 100 Batches: 1.335644253094991
100 Batch Cumulative Loss: 162.41265851259232
Time for 100 Batches: 1.3310983896255493
100 Batch Cumulative Loss: 161.8073610663414
Time for 100 Batches: 1.3515928109486899
100 Batch Cumulative Loss: 154.5496168732643
Time for 100 Batches: 1.331598174571991
100 Batch Cumulative Loss: 159.70452117919922
Time for 100 Batches: 1.3426165103912353
100 Batch Cumulative Loss: 160.20762366056442
Time for 100 Batches: 1.3329500635464986
100 Batch Cumulative Loss: 142.69099080562592
Time for 100 Batches: 1.3450763424237568
100 Batch Cumulative Loss: 139.98096525669098
Time for 100 Batches: 1.33002560933431
100 Batch Cumulative Loss: 140.9658179283142
Time for 100 Batches: 1.3413317759831747
100 Batch Cumulative Loss: 132.4758632183075
Time for 100 Batches: 1.3394507964452107
100 Batch Cumulative Loss: 129.09260338544846
Time for 100 Batches: 1.3254171013832092
100 Batch Cumulative Loss: 130.63482135534286
Time for 100 Batches: 1.3361046632130942
100 Batch Cumulative Loss: 169.90878599882126
Time for 100 Batches: 1.3506738702456156
100 Batch Cumulative Loss: 233.7317914366722
Time for 100 Batches: 1.336794674396515
100 Batch Cumulative Loss: 162.62026458978653
Time for 100 Batches: 1.3472346464792888
100 Batch Cumulative Loss: 171.8331562280655
Time for 100 Batches: 1.3282797614733377
100 Batch Cumulative Loss: 142.80018937587738
Time for 100 Batches: 1.3438897093137105
100 Batch Cumulative Loss: 145.90251410007477
Time for 100 Batches: 1.3382039348284402
100 Batch Cumulative Loss: 163.7350972890854
Time for 100 Batches: 1.345230758190155
100 Batch Cumulative Loss: 131.88153809309006
Time for 100 Batches: 1.3175634821256001
100 Batch Cumulative Loss: 128.8112030029297
Time for 100 Batches: 1.3247351010640462
100 Batch Cumulative Loss: 146.74954891204834
Time for 100 Batches: 1.3280521194140116
100 Batch Cumulative Loss: 177.72518342733383
Time for 100 Batches: 1.330694607893626
100 Batch Cumulative Loss: 127.58082866668701
Time for 100 Batches: 1.3146671374638876
100 Batch Cumulative Loss: 130.53823405504227
Time for 100 Batches: 1.329235549767812
100 Batch Cumulative Loss: 119.78744274377823
Time for 100 Batches: 1.3567564129829406
