Loss,Perceptron,430x20x1,420x200x1,430x100x50x1,430x50x20x10x1
0,0.784891188,0.666826844,0.679218829,0.68920517,0.688941717
1,53.23128596,54.24759747,52.44198829,57.13075757,59.35896125
2,49.71716334,42.61873206,40.30378377,42.70013139,43.18411948
3,45.96580024,37.8520522,34.79600072,37.11929518,37.77527393
4,47.87103476,33.7820524,29.85958952,32.0231759,31.9800404
5,45.28812869,30.26199277,25.96601027,27.56158694,31.0846403
6,43.49529397,28.25039356,24.79909432,26.61507189,24.17055365
7,48.4497894,26.84413067,21.61046383,22.29358095,24.13965144
8,46.62121201,24.26080854,16.99870807,21.38654171,20.8656567
9,45.46216539,23.0246816,17.13925169,20.23216214,21.99492794
10,43.9743488,21.68421749,17.11981452,17.0552993,17.49940472
11,45.80562403,20.36428726,15.16391312,18.04873094,19.68920781
12,45.52827107,19.88669451,12.46691985,13.95569809,16.63244192
13,47.07394136,18.88198682,11.6795706,12.77556652,16.03421883
14,49.07123291,17.20113797,12.21977155,13.55365191,14.00725517
15,48.43867046,19.56668967,11.59987717,11.09394324,16.59067614
16,43.97151772,18.38508082,10.51996464,12.03427768,15.64235733
17,45.64052484,15.66604031,9.827937793,12.83854892,14.17061153
18,51.17250514,16.91404173,9.903899691,11.61486709,14.05730943
19,45.47474964,13.42449965,7.412317158,10.15154431,11.66585048
20,44.49565293,14.60695861,7.610648542,10.19258943,12.48607928
21,46.06523281,13.88142283,7.945047401,9.947769867,10.83019623
22,46.99966552,13.39194521,7.944454525,8.074601249,8.109801289
23,48.9304029,14.14941486,6.365342635,9.730994437,11.19028492
24,43.84639098,12.43159237,12.93422553,8.064552311,10.16818673
25,46.78879233,11.51312702,8.68068743,6.642469169,10.18720416
26,44.63696266,11.74617767,9.971591632,6.795699354,7.839045532
27,46.17369808,11.15855612,9.744756589,8.85308611,8.990409457
28,47.48273833,11.26339673,6.02023324,7.416812996,8.605633228
29,45.1095821,9.955903301,18.04460259,7.149574651,8.81732751
30,46.91772353,11.46831935,23.1776315,8.479135116,7.541209241
31,45.2137188,9.980878482,6.474550788,7.576631992,7.036431663
32,42.21070889,9.607957857,4.333636193,4.930550827,7.9964198
33,42.42911352,9.783905874,17.94261759,5.276737262,7.043160463
34,45.31704941,7.81592403,5.680811886,5.746499596,7.610068654
35,43.67638195,10.06266329,9.371717874,5.432075561,5.419235772
36,48.04382262,9.069145549,10.4163471,4.728909232,6.540831031
37,43.77395351,11.21134822,9.534289778,5.660591699,7.587204127
38,45.76382101,10.06607531,9.35992132,4.893461426,6.856180363
39,41.88694847,8.455746374,3.658883736,4.736233856,6.550425169
40,47.233281,8.383602703,9.142286868,4.726896194,6.457207789
41,43.31625088,9.13481226,12.67918257,2.908250946,5.967217091
42,43.94655061,10.78482611,2.494635854,3.95411617,5.260861479
43,40.67118926,7.572768652,2.26960148,4.887421052,6.340533869
44,48.41780222,8.006336188,4.03232796,4.556523023,4.772438703
45,45.78041866,7.767724819,11.59408139,5.211341387,3.736678766
46,48.61807422,6.281645822,1.980528567,3.178048837,6.866040381
47,45.53067938,8.450334583,5.705722884,2.860296992,4.321412298
48,42.0957483,6.03993035,12.21875788,4.452351067,5.898383419
49,48.17264681,7.854370753,3.263745282,2.807834882,5.264322436
