Epoch,Perceptron,20x1,100x50x1,200x1,50x20x10x1
0,0.767020762,0.729916215,0.701609552,0.730896592,0.701693177
1,58.23293217,56.15075585,60.9016467,53.02148539,59.54062435
2,53.36866952,44.17686132,45.16294482,38.8814097,44.99305247
3,44.56329375,37.43336889,35.14402449,32.92304843,36.17064877
4,45.52590328,34.70307805,33.71121492,30.35102974,31.65244514
5,46.49362782,32.69212651,29.83212675,25.32889505,29.17343554
6,45.75149671,29.75043117,26.61397326,23.34918913,28.0344166
7,45.71785127,27.18540971,26.71908471,23.78574343,23.92491994
8,43.44146525,27.18726069,24.80050797,18.22593048,20.71296354
9,40.29071448,24.81139435,20.01102466,18.75587284,20.16450934
10,45.055429,24.7238384,20.17579303,16.45986538,19.3471322
11,43.96855536,22.87615278,17.20690458,15.9618714,21.63543419
12,45.12206735,22.2410076,17.28043422,12.15984642,15.9269018
13,47.84970339,18.02097467,16.57399804,12.7185181,15.8130068
14,46.5807027,18.37153887,14.16518415,12.8831565,16.20350995
15,46.11433157,18.80327573,17.12677297,11.05582255,16.48754034
16,47.58731464,15.59918907,14.71043277,9.830333646,14.36139451
17,45.7621561,17.49528113,13.64208896,7.77063188,13.65565998
18,43.68849848,14.76524716,13.57779737,7.482811154,11.29225623
19,46.35511602,13.4634604,9.400059401,6.765931808,12.80339394
20,43.86994845,14.58384234,10.79242407,7.176580909,12.37052886
21,44.43466549,14.94237754,11.69198743,7.13007859,10.94637567
22,48.74686262,14.56184167,10.34234884,6.470405258,10.62681727
23,47.34584923,12.3567953,8.733849416,5.420856376,8.363684558
24,47.44452329,13.25940762,9.067165619,7.134822944,10.07079257
25,48.28140544,12.3766602,11.5127657,6.768533694,8.775011586
26,46.29000939,11.6427389,8.079387799,4.121124454,9.631829241
27,46.42711819,11.53505303,7.888534329,4.756851218,7.717439677
28,46.60966076,11.27210944,6.930876998,5.76207062,9.88235519
29,41.65949233,10.99225612,9.545469542,4.85471327,7.523588412
30,40.53080571,10.42383054,6.870042708,3.80524761,7.28051139
31,42.79757753,10.48066682,6.674341345,4.346361158,6.670455612
32,47.80445614,10.54503808,6.043335671,4.33806582,10.18442847
33,44.42645784,9.031728728,7.353746608,4.162620635,7.70750172
34,49.9467658,9.476416526,7.490915914,4.295765436,8.970805952
35,44.64807899,10.53079951,8.267360087,4.401837524,6.512874561
36,44.45387447,8.952479829,6.117924216,3.367309781,5.877165853
37,47.48115101,8.064614378,5.665096833,3.08993786,5.808465547
38,43.54668842,8.885473801,5.386614739,2.787234465,6.152001989
39,49.74748186,7.543978776,4.727778261,2.757352374,5.530537087
40,48.24549597,8.169686906,6.42701381,3.083186983,7.762969979
41,44.68232121,9.772355954,5.004703683,3.783960821,5.547782717
42,44.21290139,6.755270866,5.969410283,2.711267628,6.064616165
43,47.01554614,8.333855762,7.10855307,3.369806398,4.886690649
44,46.35888845,10.27081862,5.094271134,2.841185346,6.300099095
45,46.82615056,7.179537164,5.498993799,2.32367836,6.312767318
46,45.31570876,8.117976313,4.79468033,2.698853714,5.569487466
47,46.05165055,6.249639274,5.288255045,3.715835278,3.122085124
48,46.76690275,8.185255143,5.243299637,3.075052411,5.901029649
49,42.97428194,6.656603021,4.266459731,4.009622799,5.005862117
50,46.6153409,7.403446757,2.746262184,2.355761242,5.945274348
51,46.35425451,6.680244648,4.068264115,3.456898933,2.855584709
52,49.77798704,7.538767124,3.391075567,2.130242641,4.488324185
53,44.24174856,7.964162549,4.195371167,3.047799526,5.75185695
54,47.2521423,6.122099801,6.4456968,4.405937096,5.21279123
55,45.48010839,6.805198834,5.315816006,3.193597497,3.377909706
56,44.85908876,7.492304461,4.812483498,2.07534548,4.707981867
57,47.45544328,7.367147176,4.073890589,1.713925043,2.829879066
