Began Loading Data
Finished Loading Data
Batch 0 Loss:	0.6759580373764038
Batch 0 Time:	0.16783835093180338 minutes
Batch 100 Loss:	55.38244938850403
Batch 100 Time:	2.0815962751706443 minutes
Batch 200 Loss:	39.70671106874943
Batch 200 Time:	2.1126482089360556 minutes
Batch 300 Loss:	33.995711117982864
Batch 300 Time:	2.0583527247111 minutes
Batch 400 Loss:	30.995399370789528
Batch 400 Time:	2.0900216579437254 minutes
Batch 500 Loss:	27.93983433395624
Batch 500 Time:	2.064442789554596 minutes
Batch 600 Loss:	22.642226113006473
Batch 600 Time:	2.1109822909037272 minutes
Batch 700 Loss:	22.93516567721963
Batch 700 Time:	2.0794276118278505 minutes
Batch 800 Loss:	20.400162935256958
Batch 800 Time:	2.09066534837087 minutes
Batch 900 Loss:	17.974367152899504
Batch 900 Time:	2.086994707584381 minutes
Batch 1000 Loss:	17.70806673169136
Batch 1000 Time:	2.092940072218577 minutes
Batch 1100 Loss:	13.199175135232508
Batch 1100 Time:	2.0931584358215334 minutes
Batch 1200 Loss:	14.108317155390978
Batch 1200 Time:	2.079492747783661 minutes
Batch 1300 Loss:	11.56222880538553
Batch 1300 Time:	2.0762601653734842 minutes
Batch 1400 Loss:	15.359554418362677
Batch 1400 Time:	2.134013533592224 minutes
Batch 1500 Loss:	11.579669890925288
Batch 1500 Time:	2.081407630443573 minutes
Batch 1600 Loss:	10.124210169538856
Batch 1600 Time:	2.0664185563723247 minutes
Batch 1700 Loss:	10.291003480087966
Batch 1700 Time:	2.081442892551422 minutes
Batch 1800 Loss:	9.98599887616001
Batch 1800 Time:	2.082126434644063 minutes
Batch 1900 Loss:	10.051730531966314
Batch 1900 Time:	2.0827916622161866 minutes
Batch 2000 Loss:	9.532028774730861
Batch 2000 Time:	2.1069391051928203 minutes
Batch 2100 Loss:	6.8380306179169565
Batch 2100 Time:	2.0681758840878803 minutes
Batch 2200 Loss:	6.575985721428879
Batch 2200 Time:	2.11324729124705 minutes
Batch 2300 Loss:	7.2506624383386225
Batch 2300 Time:	2.0856050729751585 minutes
Batch 2400 Loss:	6.122952074394561
Batch 2400 Time:	2.0967645208040873 minutes
Batch 2500 Loss:	8.056535994866863
Batch 2500 Time:	2.093535375595093 minutes
Batch 2600 Loss:	6.3504658928141
Batch 2600 Time:	2.0709730267524717 minutes
Batch 2700 Loss:	5.378858449868858
Batch 2700 Time:	2.0916987379391987 minutes
Batch 2800 Loss:	6.444963287212886
Batch 2800 Time:	2.086751401424408 minutes
Batch 2900 Loss:	5.9598669175757095
Batch 2900 Time:	2.0789703528086343 minutes
Batch 3000 Loss:	8.287396355066448
Batch 3000 Time:	2.0971128821372984 minutes
Batch 3100 Loss:	5.903257048339583
Batch 3100 Time:	2.108637634913127 minutes
Batch 3200 Loss:	5.384502235567197
Batch 3200 Time:	2.078805351257324 minutes
Batch 3300 Loss:	3.810892879264429
Batch 3300 Time:	2.0827300349871316 minutes
Batch 3400 Loss:	6.01795448269695
Batch 3400 Time:	2.101919921239217 minutes
Batch 3500 Loss:	5.260085884830914
Batch 3500 Time:	2.10869140625 minutes
Batch 3600 Loss:	4.762950953911059
Batch 3600 Time:	2.10081520875295 minutes
Batch 3700 Loss:	3.6430256203748286
Batch 3700 Time:	2.092900037765503 minutes
Batch 3800 Loss:	3.713265487749595
Batch 3800 Time:	2.112267625331879 minutes
Batch 3900 Loss:	4.296000741131138
Batch 3900 Time:	2.0911924600601197 minutes
Batch 4000 Loss:	4.472284390532877
Batch 4000 Time:	2.1108524799346924 minutes
Batch 4100 Loss:	3.5133138216333464
Batch 4100 Time:	2.114202340443929 minutes
Batch 4200 Loss:	4.500808326760307
Batch 4200 Time:	2.101866630713145 minutes
Batch 4300 Loss:	4.725952970708022
Batch 4300 Time:	2.1088713010152182 minutes
