Began Loading Data
Finished Loading Data
Batch 0 Loss:	0.6874632835388184
Batch 0 Time:	0.14898257255554198 minutes
Batch 100 Loss:	62.81834349036217
Batch 100 Time:	1.9902066469192505 minutes
Batch 200 Loss:	46.54492896795273
Batch 200 Time:	2.012726279099782 minutes
Batch 300 Loss:	39.16035869717598
Batch 300 Time:	1.9828617731730143 minutes
Batch 400 Loss:	34.06793726235628
Batch 400 Time:	1.969086758295695 minutes
Batch 500 Loss:	28.684123411774635
Batch 500 Time:	1.9791907906532287 minutes
Batch 600 Loss:	26.820873010903597
Batch 600 Time:	1.9922842939694723 minutes
Batch 700 Loss:	23.277024380862713
Batch 700 Time:	2.0308502276738483 minutes
Batch 800 Loss:	23.40820538625121
Batch 800 Time:	2.004882045586904 minutes
Batch 900 Loss:	22.173137098550797
Batch 900 Time:	1.9996499260266622 minutes
Batch 1000 Loss:	21.384432513266802
Batch 1000 Time:	2.01463391383489 minutes
Batch 1100 Loss:	18.977606505155563
Batch 1100 Time:	2.014599418640137 minutes
Batch 1200 Loss:	17.94948219601065
Batch 1200 Time:	1.9864226977030437 minutes
Batch 1300 Loss:	16.57056436315179
Batch 1300 Time:	2.002217968304952 minutes
Batch 1400 Loss:	17.339396564289927
Batch 1400 Time:	1.9869081258773804 minutes
Batch 1500 Loss:	14.777342004701495
Batch 1500 Time:	1.9730041106541951 minutes
Batch 1600 Loss:	16.586124699562788
Batch 1600 Time:	2.011682120958964 minutes
Batch 1700 Loss:	14.177789529785514
Batch 1700 Time:	1.9603511730829875 minutes
Batch 1800 Loss:	12.917363685555756
Batch 1800 Time:	1.9940719167391459 minutes
Batch 1900 Loss:	12.569083200767636
Batch 1900 Time:	1.9674447337786356 minutes
Batch 2000 Loss:	10.669579604640603
Batch 2000 Time:	1.9834298849105836 minutes
Batch 2100 Loss:	9.428902361076325
Batch 2100 Time:	1.9618718345959982 minutes
Batch 2200 Loss:	8.318554377066903
Batch 2200 Time:	1.9845289826393127 minutes
Batch 2300 Loss:	8.630293048685417
Batch 2300 Time:	1.9885148326555888 minutes
Batch 2400 Loss:	12.27704203594476
Batch 2400 Time:	2.002199105421702 minutes
Batch 2500 Loss:	10.245232478249818
Batch 2500 Time:	2.009331174691518 minutes
Batch 2600 Loss:	9.790947131346911
Batch 2600 Time:	1.997138746579488 minutes
Batch 2700 Loss:	11.192303229123354
Batch 2700 Time:	1.988431449731191 minutes
Batch 2800 Loss:	7.951083544874564
Batch 2800 Time:	2.005130644639333 minutes
Batch 2900 Loss:	7.418517085490748
Batch 2900 Time:	2.00635621547699 minutes
Batch 3000 Loss:	9.916596942115575
Batch 3000 Time:	2.003847106297811 minutes
Batch 3100 Loss:	8.791842562146485
Batch 3100 Time:	2.0023629585901896 minutes
Batch 3200 Loss:	9.73052166053094
Batch 3200 Time:	2.002415684858958 minutes
Batch 3300 Loss:	6.045831542694941
Batch 3300 Time:	1.9904873728752137 minutes
Batch 3400 Loss:	6.936099359882064
Batch 3400 Time:	2.0008543968200683 minutes
Batch 3500 Loss:	7.758839544607326
Batch 3500 Time:	1.9514708042144775 minutes
Batch 3600 Loss:	7.155960589530878
Batch 3600 Time:	1.9973627964655558 minutes
Batch 3700 Loss:	7.348686174140312
Batch 3700 Time:	1.9612529039382935 minutes
Batch 3800 Loss:	6.097043260582723
Batch 3800 Time:	2.0028691132863363 minutes
Batch 3900 Loss:	7.132567688182462
Batch 3900 Time:	2.019693370660146 minutes
Batch 4000 Loss:	5.648483115655836
Batch 4000 Time:	1.990326968828837 minutes
Batch 4100 Loss:	5.856649624067359
Batch 4100 Time:	1.9778690417607625 minutes
Batch 4200 Loss:	6.660402979119681
Batch 4200 Time:	2.003276499112447 minutes
Batch 4300 Loss:	7.1958537003956735
Batch 4300 Time:	1.9797502636909485 minutes
Batch 4400 Loss:	4.9804021110758185
Batch 4400 Time:	1.9708223819732666 minutes
Batch 4500 Loss:	5.5400102828862146
Batch 4500 Time:	1.9570371150970458 minutes
Batch 4600 Loss:	6.193208237644285
Batch 4600 Time:	1.9638949910799661 minutes
Batch 4700 Loss:	4.705338799743913
Batch 4700 Time:	2.014026439189911 minutes
Batch 4800 Loss:	6.008391367853619
Batch 4800 Time:	2.0107464671134947 minutes
Batch 4900 Loss:	6.150954534794437
Batch 4900 Time:	1.9799737175305685 minutes
Training Time: 100.23866817553838 minutes
Test Time: 5.759372282028198 minutes
Total Time: 105.99804128408432 minutes
