GO Term,AUC,Average Precision
GO:0000054,0.4755492502875293,0.09597629161223775
GO:0000278,0.5563497500653506,0.11723766274750233
GO:0000747,0.5392665827518794,0.11458756999468261
GO:0001403,0.5367739995745201,0.10881118884411725
GO:0002181,0.6018181791359728,0.1383866541764953
GO:0006260,0.5519539585224861,0.1061512610431422
GO:0006281,0.5400869725029492,0.10574430893632498
GO:0006310,0.5050121808496134,0.09743594887310808
GO:0006325,0.5283307083027692,0.10308121638609605
GO:0006352,0.5147888454110785,0.09987489696863022
GO:0006353,0.5337708341932699,0.10655077772023687
GO:0006360,0.5432337661320238,0.10972930040278218
GO:0006364,0.5298553308975164,0.10581735197590156
GO:0006366,0.5384434308829527,0.11223497651923786
GO:0006383,0.5137709564250492,0.09983839528736743
GO:0006397,0.5268722038393078,0.10637098081680861
GO:0006401,0.5122015771194446,0.09766117839379744
GO:0006413,0.4939114548351552,0.09542581508444115
GO:0006414,0.5409618078568181,0.10751512982628562
GO:0006418,0.5242575871420102,0.10470019613888722
GO:0006457,0.5720985223529437,0.12323726151544939
GO:0006468,0.5375844030624616,0.10754248048568314
GO:0006470,0.586928638616447,0.1185309403956324
GO:0006486,0.5169190706251592,0.10357486200942234
GO:0006629,0.5581446833466391,0.11609086395935579
GO:0006811,0.5626154261040078,0.11424684490805323
GO:0006865,0.5298345461903161,0.11167467670481314
GO:0006869,0.48999357595795995,0.09627497589091309
GO:0006873,0.5563653553902616,0.11623752288655802
GO:0006887,0.5266802734329302,0.10695213073627516
GO:0006897,0.5069349222109991,0.10135869764672084
GO:0006970,0.5511446564760144,0.111954444848001
GO:0006979,0.5425502637583043,0.10490882830186324
GO:0007005,0.5455145837989192,0.11310400354184888
GO:0007010,0.5320724101823924,0.10928421649607745
GO:0007031,0.5822155852200158,0.12639260460977797
GO:0007033,0.5105577928350434,0.10221026277474382
GO:0007059,0.542903695938241,0.104924650055441
GO:0007124,0.5559594547523038,0.12257057366587899
GO:0008033,0.5237497292743488,0.1045238838466731
GO:0008380,0.5344479680315549,0.10707029841230674
GO:0008643,0.5446960345013008,0.10654534343478184
GO:0009408,0.5166828283635109,0.1021450281165766
GO:0009451,0.5394827364743052,0.10798381805961782
GO:0016197,0.5060486360444171,0.0950966043254895
GO:0032196,0.5548089198729933,0.11431623038243163
GO:0032543,0.5206822263295233,0.10150200279260224
GO:0042273,0.5293460528889078,0.1054046694798903
GO:0042274,0.48776773662864104,0.09501583936200901
GO:0045333,0.5336514847525607,0.10722142701189627
GO:0051321,0.5415936721464704,0.1101665346195752
GO:0051603,0.5444209306965667,0.11544600728289647
GO:0051726,0.5390335870012852,0.10542762000249191
