Gene,Correlation
HSK3,-2.445119
IPL1,-2.366737
SPC29,-2.3375905
NUM1,-2.1326375
DAD3,-2.0451622
SHE1,-1.9727538
BBP1,-1.9676409
SPC42,-1.9576567
PAC10,-1.9498507
DAD2,-1.8641363
NDL1,-1.8244187
CDC37,-1.7563367
CIK1,-1.6848125
KIP1,-1.5791452
KAR3,-1.5751829
CIN8,-1.5572485
MIF2,-1.5302355
GPA1,-1.5165676
SLK19,-1.4114149
DYN3,-1.3946993
POM34,-1.3661973
FIN1,-1.3506862
MPS3,-1.3457832
CBF2,-1.3321435
CDC5,-1.328372
DUO1,-1.2957703
DAD4,-1.2931963
MLP2,-1.2931963
MIH1,-1.2342181
NBP1,-1.2083075
SMY1,-1.1986573
SNF1,-1.1657864
SPC72,-1.119524
KAR9,-1.091739
NUD1,-1.0812508
SWE1,-1.0291201
VIK1,-0.99059707
KAR1,-0.956861
BER1,-0.93354905
JNM1,-0.92839926
BUD6,-0.88090426
BIR1,-0.8720632
CLB3,-0.8448378
TEM1,-0.8019089
BIM1,-0.7926626
KIP2,-0.774504
CLB4,-0.72374326
LIA1,-0.7211568
SPO1,-0.71429485
