Gene,Correlation
ADH1,2.0536728
GLY1,1.9653202
CAR2,1.739736
ASP1,1.7316138
ADH5,1.6554815
BNA5,1.5523926
PFK2,1.5402267
ILV1,1.4843168
PDC1,1.4399251
TES1,1.4119333
GAL10,1.4072783
ERG10,1.4060488
IRC7,1.3879731
TPI1,1.3717451
AIM45,1.3592598
CDD1,1.3308023
GND1,1.318607
BNA6,1.2952781
GUP1,1.2891463
SPS19,1.2453847
YJL068C,1.2368107
ADH3,1.199146
FDH2,1.1879935
SAH1,1.1709672
ANT1,1.107246
GAL1,1.1008049
DFG10,1.0983974
PNP1,1.0938444
URH1,1.0929725
EHT1,1.068001
AAT2,1.0630542
DAK2,1.0181828
MPO1,0.9862472
ARO8,0.9726243
ADH2,0.93070775
ARO9,0.91088444
UGA2,0.8615202
PAD1,0.85914296
DAK1,0.85057324
PGM1,0.8406629
EEB1,0.81356233
UGA3,0.8002394
PFK1,0.7963965
PDC5,0.79169255
DUR12,0.7852538
SFA1,0.75791806
RBK1,0.75001585
BNA2,0.74145657
AAT1,0.7266833
GND2,0.70415074
BNA4,0.6940293
PCS60,0.6833409
YPL276W,0.66240954
ADH4,0.6422815
YNR071C,0.6302291
MGL2,0.61188275
ALT2,0.5880273
ADR1,0.5821539
SHM1,0.5819233
