Gene,Correlation
YCL001W-B,-3.074556
POP6,-2.7807791
MED7,-2.765452
YCL001W-A,-2.752628
PBI2,-2.6818066
SUS1,-2.624418
MET32,-2.6176984
IGO1,-2.5853772
REF2,-2.4635983
RFM1,-2.4147584
CSE2,-2.398132
MED11,-2.3962183
RCO1,-2.3900578
LSM4,-2.2448332
ASH1,-2.1969411
DIG2,-2.177934
LSM7,-2.1725311
MOT2,-2.061566
ACE2,-2.0607502
REG1,-2.0350277
SDC1,-1.9941827
SWT1,-1.9934821
DCP1,-1.9668384
MIG2,-1.9527676
SRB7,-1.870836
HED1,-1.8658386
DAL80,-1.8648111
NRM1,-1.8608809
PIN4,-1.8556254
FYV10,-1.8539772
SAS4,-1.8391075
RXT2,-1.825877
FKH2,-1.8237721
PHO92,-1.7949388
ZDS2,-1.787289
MRT4,-1.7541444
YPL199C,-1.7414442
RPN4,-1.7320178
UPS2,-1.724657
ASF2,-1.7205667
SIR4,-1.7200601
AFT1,-1.7195371
HRP1,-1.7141539
IES3,-1.7060854
SCM3,-1.7060854
MOT3,-1.6958216
UME6,-1.675666
YAP6,-1.6746255
JSN1,-1.6615711
NRG2,-1.650145
PAF1,-1.6405817
PAP2,-1.6375514
CUP9,-1.5945003
BMH2,-1.5821825
EDC1,-1.5619444
COX14,-1.557457
GCR1,-1.5500907
SPT10,-1.527404
SKP1,-1.5266848
MIG1,-1.5225295
ACM1,-1.5129576
LRS4,-1.5047004
LSM1,-1.495873
EAP1,-1.4954702
ROX1,-1.4954702
NRG1,-1.4895936
KNS1,-1.4799726
PKH2,-1.4764359
NUT2,-1.4607707
SKI7,-1.4601394
YAF9,-1.4343112
SYC1,-1.4136599
NUP60,-1.4061452
GZF3,-1.3969691
ROX3,-1.3962182
PAI3,-1.373834
MRC1,-1.3670998
CTH1,-1.3513689
PUB1,-1.3504308
SPT21,-1.3473715
MPS3,-1.3457832
UPF3,-1.3405744
IPA1,-1.3393509
CBP1,-1.3392383
ZIP1,-1.3348398
MED1,-1.3153605
SKI6,-1.30928
MTR3,-1.3079833
MKS1,-1.3071675
VPS25,-1.3028251
NUP2,-1.2804067
HRD3,-1.2762842
SPT6,-1.2547681
DUN1,-1.2539754
IRC25,-1.2478359
SAC3,-1.2464426
POP7,-1.2398938
RME1,-1.2394319
ESC1,-1.2235742
SPP41,-1.2192763
YCR087C-A,-1.2167647
PCL8,-1.2134299
ESC8,-1.2124002
ITC1,-1.2114307
CIP1,-1.209868
HEL2,-1.1914098
SWC4,-1.188855
HDA2,-1.18406
RNT1,-1.1728457
MGA2,-1.1700472
SNF1,-1.1657864
MED8,-1.160139
NOT5,-1.1574937
GIS1,-1.1445438
LOC1,-1.1374333
CAF20,-1.1366869
SAS3,-1.1315141
NSI1,-1.1279653
TPK3,-1.1141361
NOT3,-1.105939
ADA2,-1.0918082
BUR6,-1.0878122
