,Name,+/-,Score,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
0,YHR199C,0.0,0.5,60,0,1,59,0.5083333333333333,1.0,0.5042016806722689,0.0,1.0
1,YCL044C,1.0,0.5,59,1,1,59,0.5,0.9833333333333333,0.5,0.5,0.5
2,YKL129C,0.0,0.5,59,1,2,58,0.5083333333333333,0.9833333333333333,0.5042735042735043,0.3333333333333333,0.6666666666666666
3,YPL233W,0.0,0.5,59,1,3,57,0.5166666666666667,0.9833333333333333,0.5086206896551724,0.25,0.75
4,YJR127C,0.0,0.5,59,1,4,56,0.525,0.9833333333333333,0.5130434782608696,0.2,0.8
5,YOL060C,1.0,0.5,58,2,4,56,0.5166666666666667,0.9666666666666667,0.5087719298245614,0.3333333333333333,0.6666666666666666
6,YKR036C,1.0,0.5,57,3,4,56,0.5083333333333333,0.95,0.504424778761062,0.42857142857142855,0.5714285714285714
7,YHR214W-A,0.0,0.5,57,3,5,55,0.5166666666666667,0.95,0.5089285714285714,0.375,0.625
8,YPR004C,0.0,0.5,57,3,6,54,0.525,0.95,0.5135135135135135,0.3333333333333333,0.6666666666666666
9,YMR213W,0.0,0.5,57,3,7,53,0.5333333333333333,0.95,0.5181818181818182,0.3,0.7
10,YLL006W,1.0,0.5,56,4,7,53,0.525,0.9333333333333333,0.5137614678899083,0.36363636363636365,0.6363636363636364
11,YHR194W,1.0,0.5,55,5,7,53,0.5166666666666667,0.9166666666666666,0.5092592592592593,0.4166666666666667,0.5833333333333334
12,YLR337C,0.0,0.5,55,5,8,52,0.525,0.9166666666666666,0.514018691588785,0.38461538461538464,0.6153846153846154
13,YDR204W,0.0,0.5,55,5,9,51,0.5333333333333333,0.9166666666666666,0.5188679245283019,0.35714285714285715,0.6428571428571429
14,YPL194W,0.0,0.5,55,5,10,50,0.5416666666666666,0.9166666666666666,0.5238095238095238,0.3333333333333333,0.6666666666666666
15,YBR234C,1.0,0.5,54,6,10,50,0.5333333333333333,0.9,0.5192307692307693,0.375,0.625
16,YKL127W,0.0,0.5,54,6,11,49,0.5416666666666666,0.9,0.5242718446601942,0.35294117647058826,0.6470588235294118
17,YKR042W,1.0,0.5,53,7,11,49,0.5333333333333333,0.8833333333333333,0.5196078431372549,0.3888888888888889,0.6111111111111112
18,YLR370C,1.0,0.5,52,8,11,49,0.525,0.8666666666666667,0.5148514851485149,0.42105263157894735,0.5789473684210527
19,YOL027C,1.0,0.5,51,9,11,49,0.5166666666666667,0.85,0.51,0.45,0.55
20,YGR026W,0.0,0.5,51,9,12,48,0.525,0.85,0.5151515151515151,0.42857142857142855,0.5714285714285714
