Gene A,Gene B,Score
YIL051C,YOL027C,0.01856358
YIL051C,YDR150W,0.06884978
YIL051C,YMR241W,0.213110685
YIL051C,YHR120W,0.141705573
YIL051C,YPR024W,0.227022439
YIL051C,YKL053C-A,0.997879624
YIL051C,YPR125W,0.929558277
YIL051C,YNL149C,0.809108913
YIL051C,YBR212W,7.76E-05
YIL051C,YKR085C,0.999952674
YIL051C,YNL121C,0.991987467
YIL051C,YJL054W,0.022062389
YIL051C,YGR101W,0.220205903
YIL051C,YKR042W,0.085852131
YIL051C,YCR028C-A,0.939941466
YIL051C,YDL142C,0.866868079
YIL051C,YMR012W,0.990224659
YIL051C,YGR181W,0.967384398
YIL051C,YPR083W,0.882494509
YIL051C,YLR370C,0.004293354
YIL051C,YNL026W,0.189201578
YIL051C,YNL310C,0.996576846
YIL051C,YNL055C,0.208235294
YIL051C,YHR083W,0.19040212
YIL051C,YCL044C,0.048924696
YIL051C,YLR368W,0.999771535
YIL051C,YJR144W,0.095694512
YIL051C,YDR219C,0.383373827
YIL051C,YOR060C,0.764956474
YIL051C,YJR118C,0.938857794
YIL051C,YNL066W,0.009016086
YIL051C,YOL076W,0.973353565
YIL051C,YDL029W,0.841557324
YIL051C,YNL070W,0.838970125
YIL051C,YML061C,0.425795704
YIL051C,YIL138C,0.994514465
YIL051C,YER154W,0.427977532
YIL051C,YFL036W,0.763817251
YIL051C,YBR192W,0.858720362
YIL051C,YMR072W,0.783818245
YIL051C,YOR266W,0.004389479
YIL051C,YLL013C,0.858135045
YIL051C,YMR060C,0.999692917
YIL051C,YJL116C,0.000855917
YIL051C,YDL217C,0.005361757
YIL051C,YIL065C,0.000457257
YIL051C,YPL098C,0.613471746
YIL051C,YDL006W,0.126487121
YIL051C,YGL219C,0.957561553
YIL051C,YMR275C,0.00163857
YIL051C,YBR179C,0.165986001
YIL051C,YML091C,0.992715418
YIL051C,YLR304C,0.989444315
YIL051C,YGR144W,0.001546779
YIL051C,YPR140W,0.409157991
YIL051C,YPR131C,0.941256702
YIL051C,YLR190W,0.323126942
YIL051C,YBR234C,0.999649405
YIL051C,YFL039C,0.953616977
YIL051C,YKR036C,0.872396708
YIL051C,YDR258C,0.704216897
YIL051C,YHR194W,0.716289937
YIL051C,YJR120W,0.874163628
YIL051C,YOR326W,0.017107088
YIL051C,YOR211C,0.983956754
YIL051C,YIL062C,0.029532824
YIL051C,YOR330C,0.000994243
YIL051C,YOL060C,0.050629791
YIL051C,YEL020W-A,0.997494698
YIL051C,YJL063C,0.793840587
YIL051C,YHR031C,0.30409354
YIL051C,YML104C,0.89147985
YIL051C,YDR339C,0.141269729
YIL051C,YLR355C,0.000726877
YIL051C,YML058W,0.584770024
YIL051C,YOR147W,0.995681882
YIL051C,YDR077W,0.053778265
YIL051C,YOL009C,0.124793783
YIL051C,YMR302C,0.002385434
YIL051C,YDR395W,0.024046423
YIL051C,YOR322C,0.970235765
YIL051C,YFR055W,0.011136413
YIL051C,YIL154C,0.003912567
YIL051C,YGL208W,0.986198902
YIL051C,YPL125W,0.013964139
YIL051C,YOR007C,0.116408564
YIL051C,YOR370C,0.008040163
YIL051C,YOR303W,0.013776848
YIL051C,YDR260C,0.000185815
YIL051C,YOR178C,6.35E-06
YIL051C,YDR210W-A,0.003408916
YIL051C,YER038C,0.025164468
YIL051C,YER035W,0.057369895
YIL051C,Q0160,0.001441418
YIL051C,YJL137C,0.008669673
YIL051C,YIL046W,0.00031164
YIL051C,YKR025W,0.065159597
YIL051C,YGR129W,0.134402737
YIL051C,YDR516C,0.006039934
YIL051C,YIL037C,0.000500124
YIL051C,tI(AAU)P1,0.000957758
YIL051C,tL(CAA)G3,0.000957758
YIL051C,YLL058W,0.918979526
YIL051C,YLR139C,0.003109829
YIL051C,YJL100W,0.003599149
YIL051C,tP(UGG)O3,0.000957758
YIL051C,YGR121C,2.00E-05
YIL051C,YPR088C,0.759711087
YIL051C,YOR294W,0.990134895
YIL051C,YHL028W,0.796867728
YIL051C,tW(UCA)Q,0.000957758
YIL051C,YJL083W,0.026018402
YIL051C,YGL104C,0.326679826
YIL051C,YDL111C,0.00353443
YIL051C,YPL233W,0.014033522
YIL051C,YJR016C,0.062709324
YIL051C,YLR216C,0.811279178
YIL051C,YDR264C,0.151551098
YIL051C,YBR041W,0.999825776
YIL051C,YMR304W,0.296275616
YIL051C,YHR193C,0.047047425
YIL051C,YMR172W,0.004644944
YIL051C,YJR103W,0.004377791
YIL051C,YBR252W,0.229678795
YIL051C,YHR189W,0.114441678
YIL051C,YMR290C,0.004425816
YIL051C,tS(UGA)I,0.000957758
YIL051C,YEL064C,0.011063146
YIL051C,YMR142C,0.000110703
YIL051C,MEL4,0.000957758
YIL051C,tG(GCC)F2,0.000957758
YIL051C,YOR321W,0.07176128
YIL051C,YPR062W,0.016444242
YIL051C,YOL101C,0.000935051
YIL051C,YDR064W,0.000435886
YIL051C,YLR130C,0.219506547
YIL051C,YPR180W,0.241206437
YIL051C,YPL055C,0.001106214
YIL051C,HIR4,0.000957758
YIL051C,YDR167W,0.056015301
YIL051C,YCR032W,0.894798338
YIL051C,YBR109C,0.931696415
YIL051C,YNR047W,0.336505115
YIL051C,YFL058W,0.00065885
YIL051C,YDR039C,1.36E-05
YIL051C,YGL224C,0.573017418
YIL051C,YGL181W,0.000219397
YIL051C,YGR023W,0.003912664
YIL051C,YHR171W,0.858359039
YIL051C,YOR343W-B,0.004699632
YIL051C,YOR357C,0.237901211
YIL051C,YMR190C,0.040523957
YIL051C,YHR005C,0.001900698
YIL051C,tH(GUG)G1,0.000957758
YIL051C,YIL079C,0.002074099
YIL051C,YCR073C,0.088381752
YIL051C,YPR021C,0.025814874
YIL051C,YMR146C,0.018359285
YIL051C,YDR004W,0.987117827
YIL051C,YDR229W,0.980063081
YIL051C,YFR040W,0.000127441
YIL051C,MEL6,0.000957758
YIL051C,YBR195C,0.987792671
YIL051C,YJR109C,0.263816088
YIL051C,YJR013W,0.42607525
YIL051C,YDL015C,0.013223593
YIL051C,YOR106W,0.109047428
YIL051C,snR19,0.002213371
YIL051C,YGL247W,0.30109483
YIL051C,YNL302C,2.14E-05
YIL051C,YKL096W-A,0.000340673
YIL051C,YGL155W,0.182190627
YIL051C,YDR091C,0.95588994
YIL051C,YPL161C,0.000208981
YIL051C,YFR030W,7.09E-05
YIL051C,YOR299W,0.000244748
YIL051C,YLR466W,0.031576373
YIL051C,YOR003W,0.04936146
YIL051C,YKL217W,6.09E-07
YIL051C,YNL032W,0.000129221
YIL051C,YDR392W,0.000369809
YIL051C,YER155C,0.538367927
YIL051C,YDR160W,0.01001637
YIL051C,YJR083C,0.079320855
YIL051C,YMR068W,0.15973492
YIL051C,YIL021W,0.010904699
YIL051C,YOR127W,0.08237578
YIL051C,YOL002C,0.007982986
YIL051C,YBR180W,0.001017059
YIL051C,YOL127W,0.01091851
YIL051C,YLR421C,7.93E-05
YIL051C,YJR064W,0.713350296
YIL051C,YDL127W,0.000677461
YIL051C,YDL185W,0.16398555
YIL051C,YLR068W,0.003481696
YIL051C,YLR394W,0.951726735
YIL051C,YJR137C,0.005162694
YIL051C,YPR119W,0.001218149
YIL051C,YOL146W,0.536000252
YIL051C,YNL159C,0.001580153
YIL051C,YOR362C,0.137555137
YIL051C,YLR157C-A,0.002141541
YIL051C,YBR069C,0.021616912
YIL051C,YER109C,0.060915086
YIL051C,tT(AGU)D,0.000957758
YIL051C,YNL197C,0.962210178
YIL051C,tK(CUU)G2,0.000957758
YIL051C,YMR230W,0.033071846
