Gene A,Gene B,Type,Correlation
YBR091C,YBR179C,P-P,0.3253370479634412
YBR091C,YBR234C,P-P,0.4462830500848599
YBR091C,YDL006W,P-P,0.39579679106454163
YBR091C,YDL198C,P-P,0.08246242201887376
YBR091C,YDR150W,P-P,0.337035950950393
YBR091C,YDR219C,P-P,0.6187394056788439
YBR091C,YFL036W,P-P,0.3318674633277311
YBR091C,YGR101W,P-P,-0.07150964134603983
YBR091C,YGR144W,P-P,0.19884655454299516
YBR091C,YHR120W,P-P,0.43779359394918516
YBR091C,YIL065C,P-P,-0.03325806290460714
YBR091C,YJL063C,P-P,0.4723428006907137
YBR091C,YJL116C,P-P,0.322912255139935
YBR091C,YJR144W,P-P,0.3840882681257354
YBR091C,YKR085C,P-P,0.4225947398345385
YBR091C,YLL013C,P-P,0.3270374862810706
YBR091C,YLR190W,P-P,0.35428640417770957
YBR091C,YLR304C,P-P,-0.10736887324641342
YBR091C,YML061C,P-P,0.08869162352218572
YBR091C,YML091C,P-P,0.5464596733585761
YBR091C,YML104C,P-P,0.14508286368060852
YBR091C,YMR060C,P-P,0.2185044858514852
YBR091C,YMR072W,P-P,0.4823067777235744
YBR091C,YMR134W,P-P,0.1448448169517547
YBR091C,YNL026W,P-P,0.12244255282582767
YBR091C,YNL055C,P-P,0.39284011758506143
YBR091C,YNL066W,P-P,0.5459821439179662
YBR091C,YNL070W,P-P,0.5047523080913074
YBR091C,YOL076W,P-P,0.5211797135490809
YBR091C,YOR037W,P-P,0.4478618182311395
YBR091C,YOR147W,P-P,0.5152980382546071
YBR091C,YOR211C,P-P,0.20556149152341655
YBR091C,YPL098C,P-P,0.41882676762596044
YBR091C,YPR083W,P-P,0.22832535482751898
YBR091C,YPR140W,P-P,0.4503154024717262
YBR179C,YBR234C,P-P,0.4589525566709952
YBR179C,YDL006W,P-P,0.4647077551804482
YBR179C,YDL198C,P-P,0.18335642441875236
YBR179C,YDR150W,P-P,0.6740705621475167
YBR179C,YDR219C,P-P,0.6346930259136826
YBR179C,YFL036W,P-P,0.5194363409136273
YBR179C,YGR101W,P-P,0.39367223317058564
YBR179C,YGR144W,P-P,0.2548645716951143
YBR179C,YHR120W,P-P,0.5533011927750157
YBR179C,YIL065C,P-P,0.19224044898108925
YBR179C,YJL063C,P-P,0.6306914117278656
YBR179C,YJL116C,P-P,0.47822883146846623
YBR179C,YJR144W,P-P,0.4423202585036567
YBR179C,YKR085C,P-P,0.5016346093555546
YBR179C,YLL013C,P-P,0.731545583890344
YBR179C,YLR190W,P-P,0.6588574228562367
YBR179C,YLR304C,P-P,0.15053023569470758
YBR179C,YML061C,P-P,0.39905133703042384
YBR179C,YML091C,P-P,0.4456064365037451
YBR179C,YML104C,P-P,0.1749168553133681
YBR179C,YMR060C,P-P,0.7253499956745276
YBR179C,YMR072W,P-P,0.47260177469551573
YBR179C,YMR134W,P-P,0.47439726404591853
YBR179C,YNL026W,P-P,0.23517420202407768
YBR179C,YNL055C,P-P,0.3754167934821789
YBR179C,YNL066W,P-P,0.5868963709238727
YBR179C,YNL070W,P-P,0.5407559095909886
YBR179C,YOL076W,P-P,0.6195177141920192
YBR179C,YOR037W,P-P,0.5264210235307009
YBR179C,YOR147W,P-P,0.6098528480559995
YBR179C,YOR211C,P-P,0.5035696156505771
YBR179C,YPL098C,P-P,0.6055469600420685
YBR179C,YPR083W,P-P,0.6340368852729619
YBR179C,YPR140W,P-P,0.49214164705113567
YBR234C,YDL006W,P-P,0.045624102116301406
YBR234C,YDL198C,P-P,-0.09581438802031565
YBR234C,YDR150W,P-P,0.3957389999529507
YBR234C,YDR219C,P-P,0.47423728457535735
YBR234C,YFL036W,P-P,0.3752770589683664
YBR234C,YGR101W,P-P,0.021032767232381618
YBR234C,YGR144W,P-P,0.33352661492252983
YBR234C,YHR120W,P-P,0.4012074745313245
YBR234C,YIL065C,P-P,0.21823229120467494
YBR234C,YJL063C,P-P,0.3021494771696119
YBR234C,YJL116C,P-P,0.4940360037367689
YBR234C,YJR144W,P-P,0.11809016601121013
YBR234C,YKR085C,P-P,0.4073167829574141
YBR234C,YLL013C,P-P,0.3791365079792294
YBR234C,YLR190W,P-P,0.3328674032113143
YBR234C,YLR304C,P-P,0.13577956881162026
YBR234C,YML061C,P-P,0.11821930903683595
YBR234C,YML091C,P-P,0.09103026737321006
YBR234C,YML104C,P-P,0.1320782287099923
YBR234C,YMR060C,P-P,0.4977890272529326
YBR234C,YMR072W,P-P,0.2733881746092761
YBR234C,YMR134W,P-P,0.013291292066232925
YBR234C,YNL026W,P-P,0.041944563276272426
YBR234C,YNL055C,P-P,0.2795648799999588
YBR234C,YNL066W,P-P,0.5606020022759518
YBR234C,YNL070W,P-P,0.609019594656851
YBR234C,YOL076W,P-P,0.3687408087752001
YBR234C,YOR037W,P-P,0.3687830191073741
YBR234C,YOR147W,P-P,0.6400576896890633
YBR234C,YOR211C,P-P,0.24021716955442304
YBR234C,YPL098C,P-P,0.2911042721388594
YBR234C,YPR083W,P-P,0.21346398356773294
YBR234C,YPR140W,P-P,0.05762877659774627
YDL006W,YDL198C,P-P,0.240320553213159
YDL006W,YDR150W,P-P,0.47293061724488633
YDL006W,YDR219C,P-P,0.4877579166514191
YDL006W,YFL036W,P-P,0.43261282473017204
YDL006W,YGR101W,P-P,-0.08595802173662966
YDL006W,YGR144W,P-P,0.05619353067532764
YDL006W,YHR120W,P-P,0.541204344518863
YDL006W,YIL065C,P-P,0.2434548776174434
YDL006W,YJL063C,P-P,0.390225868692316
YDL006W,YJL116C,P-P,0.33449980234537513
YDL006W,YJR144W,P-P,0.4299356220299914
YDL006W,YKR085C,P-P,0.4913375669979476
YDL006W,YLL013C,P-P,0.6115443006439523
YDL006W,YLR190W,P-P,0.5179152676697605
YDL006W,YLR304C,P-P,-0.1420653454669945
YDL006W,YML061C,P-P,0.428003079708258
YDL006W,YML091C,P-P,0.38652887401446007
YDL006W,YML104C,P-P,0.3775632145498442
YDL006W,YMR060C,P-P,0.21659883753391143
YDL006W,YMR072W,P-P,0.5761921796037407
YDL006W,YMR134W,P-P,0.5346371162732219
YDL006W,YNL026W,P-P,0.6635332684521722
YDL006W,YNL055C,P-P,0.2304247258611788
YDL006W,YNL066W,P-P,0.2340816629761394
YDL006W,YNL070W,P-P,0.4950370126189393
YDL006W,YOL076W,P-P,0.6496812900076042
YDL006W,YOR037W,P-P,0.5130113157007122
YDL006W,YOR147W,P-P,0.29144686662514563
YDL006W,YOR211C,P-P,0.22720337549239447
YDL006W,YPL098C,P-P,0.0646238442520731
YDL006W,YPR083W,P-P,0.3674298563865511
YDL006W,YPR140W,P-P,0.4921029276538918
YDL198C,YDR150W,P-P,0.39765281003013125
YDL198C,YDR219C,P-P,0.450937301448098
YDL198C,YFL036W,P-P,0.14472722601251453
YDL198C,YGR101W,P-P,0.02913842373371534
YDL198C,YGR144W,P-P,0.22982799845788418
YDL198C,YHR120W,P-P,0.2748271649131908
YDL198C,YIL065C,P-P,0.04967111630928169
YDL198C,YJL063C,P-P,0.2500382599505239
YDL198C,YJL116C,P-P,0.06829318365459801
YDL198C,YJR144W,P-P,0.1779249920410238
