Gene A,Gene B,Type,Correlation
YBR091C,YBR179C,P-P,0.42172748794669457
YBR091C,YBR234C,P-P,0.13558163467986625
YBR091C,YDL006W,P-P,0.2644163054340334
YBR091C,YDL198C,P-P,0.4051886370792259
YBR091C,YDR150W,P-P,0.3569518942424334
YBR091C,YDR219C,P-P,0.18790143277774024
YBR091C,YFL036W,P-P,0.3602594560826239
YBR091C,YGR101W,P-P,0.44693004730188696
YBR091C,YGR144W,P-P,0.15916198512853225
YBR091C,YHR120W,P-P,0.29952416524195447
YBR091C,YIL065C,P-P,0.2150579939561282
YBR091C,YJL063C,P-P,0.2815538898340398
YBR091C,YJL116C,P-P,0.24876826965921164
YBR091C,YJR144W,P-P,0.5333042407768999
YBR091C,YKR085C,P-P,0.37176598811523526
YBR091C,YLL013C,P-P,0.5856847518355587
YBR091C,YLR190W,P-P,0.31131913033596403
YBR091C,YLR304C,P-P,0.5698343065050608
YBR091C,YML061C,P-P,0.41583160287282267
YBR091C,YML091C,P-P,0.14017792615296554
YBR091C,YML104C,P-P,0.5892266216880239
YBR091C,YMR060C,P-P,0.3816108524854006
YBR091C,YMR072W,P-P,0.30630999058067615
YBR091C,YMR134W,P-P,0.292056232997464
YBR091C,YNL026W,P-P,0.5208443611107489
YBR091C,YNL055C,P-P,0.2239504518869922
YBR091C,YNL066W,P-P,0.32498092206147866
YBR091C,YNL070W,P-P,0.48459975786449505
YBR091C,YOL076W,P-P,0.5969395366282715
YBR091C,YOR037W,P-P,0.33753871882961317
YBR091C,YOR147W,P-P,0.3073066574617642
YBR091C,YOR211C,P-P,0.09619893574057369
YBR091C,YPL098C,P-P,0.2932236499567951
YBR091C,YPR083W,P-P,0.27877771620578534
YBR091C,YPR140W,P-P,0.13365268987602832
YBR179C,YBR234C,P-P,0.2855770928370999
YBR179C,YDL006W,P-P,0.6262618157107142
YBR179C,YDL198C,P-P,-0.08447249253844637
YBR179C,YDR150W,P-P,0.3745977412921516
YBR179C,YDR219C,P-P,0.6170102544408598
YBR179C,YFL036W,P-P,0.43677987981073346
YBR179C,YGR101W,P-P,0.6473107658185878
YBR179C,YGR144W,P-P,0.2708179100742006
YBR179C,YHR120W,P-P,0.35523110524159807
YBR179C,YIL065C,P-P,0.4987045603786419
YBR179C,YJL063C,P-P,0.6526742479661581
YBR179C,YJL116C,P-P,0.4080964612326733
YBR179C,YJR144W,P-P,0.4501581732497361
YBR179C,YKR085C,P-P,0.4725456746324498
YBR179C,YLL013C,P-P,0.525816757956719
YBR179C,YLR190W,P-P,0.5115769903284707
YBR179C,YLR304C,P-P,0.6217931423845341
YBR179C,YML061C,P-P,0.36501833750223595
YBR179C,YML091C,P-P,0.5831457276961821
YBR179C,YML104C,P-P,0.48571579294042483
YBR179C,YMR060C,P-P,0.47305981674442177
YBR179C,YMR072W,P-P,0.2721877420633614
YBR179C,YMR134W,P-P,0.21880086967366694
YBR179C,YNL026W,P-P,0.520916850015412
YBR179C,YNL055C,P-P,0.3460938362788285
YBR179C,YNL066W,P-P,0.2763436672705965
YBR179C,YNL070W,P-P,0.3054438253412938
YBR179C,YOL076W,P-P,0.4157503717414754
YBR179C,YOR037W,P-P,0.4586408739473015
YBR179C,YOR147W,P-P,0.6426860342704903
YBR179C,YOR211C,P-P,0.24709409545817548
YBR179C,YPL098C,P-P,0.6366548145464698
YBR179C,YPR083W,P-P,0.5349684231325479
YBR179C,YPR140W,P-P,0.5435577112715573
YBR234C,YDL006W,P-P,0.495985718943387
YBR234C,YDL198C,P-P,-0.22351416139707736
YBR234C,YDR150W,P-P,0.3802640017578231
YBR234C,YDR219C,P-P,0.5082621911915522
YBR234C,YFL036W,P-P,0.4293254637939053
YBR234C,YGR101W,P-P,0.37426409401236294
YBR234C,YGR144W,P-P,0.3648003243140691
YBR234C,YHR120W,P-P,0.3284616846130432
YBR234C,YIL065C,P-P,0.47662119685767096
YBR234C,YJL063C,P-P,0.42731147205128844
YBR234C,YJL116C,P-P,0.19582458196512884
YBR234C,YJR144W,P-P,0.38567810202119446
YBR234C,YKR085C,P-P,0.3535901285919014
YBR234C,YLL013C,P-P,0.1169889350642796
YBR234C,YLR190W,P-P,0.2797905863412822
YBR234C,YLR304C,P-P,0.1795801387127098
YBR234C,YML061C,P-P,0.3376007930830295
YBR234C,YML091C,P-P,0.28018931090117527
YBR234C,YML104C,P-P,0.2725434590975788
YBR234C,YMR060C,P-P,0.10902262950926196
YBR234C,YMR072W,P-P,0.2912829689804866
YBR234C,YMR134W,P-P,0.04992070578882495
YBR234C,YNL026W,P-P,0.06322133565777208
YBR234C,YNL055C,P-P,0.25667245984047143
YBR234C,YNL066W,P-P,-0.2354267418690833
YBR234C,YNL070W,P-P,0.5953861571752491
YBR234C,YOL076W,P-P,0.4837796171917738
YBR234C,YOR037W,P-P,0.24409982051494408
YBR234C,YOR147W,P-P,0.4476408803467877
YBR234C,YOR211C,P-P,0.34467994704813737
YBR234C,YPL098C,P-P,0.47144357020295946
YBR234C,YPR083W,P-P,0.28638565497990154
YBR234C,YPR140W,P-P,0.4418685446597625
YDL006W,YDL198C,P-P,0.11224834503352847
YDL006W,YDR150W,P-P,0.5088194417904489
YDL006W,YDR219C,P-P,0.5368529047711925
YDL006W,YFL036W,P-P,0.48952108594606286
YDL006W,YGR101W,P-P,0.6179800685662392
YDL006W,YGR144W,P-P,0.3499626524825683
YDL006W,YHR120W,P-P,0.5054150150392123
YDL006W,YIL065C,P-P,0.5136385503702569
YDL006W,YJL063C,P-P,0.36942479438115616
YDL006W,YJL116C,P-P,0.4873303064227893
YDL006W,YJR144W,P-P,0.4158002761727237
YDL006W,YKR085C,P-P,0.5901627014913002
