Gene A,Gene B,Type,Correlation
YBR091C,YBR179C,P-P,-0.08823465799027608
YBR091C,YBR234C,P-P,0.4369634915845084
YBR091C,YDL006W,P-P,0.36219839271299414
YBR091C,YDL198C,P-P,0.2433969034693845
YBR091C,YDR150W,P-P,0.25172070960327764
YBR091C,YDR219C,P-P,0.26769663518797093
YBR091C,YFL036W,P-P,0.37584748580925725
YBR091C,YGR101W,P-P,0.3775674557048675
YBR091C,YGR144W,P-P,0.25914720835755334
YBR091C,YHR120W,P-P,-0.16171945800110477
YBR091C,YIL065C,P-P,-0.12095486397252847
YBR091C,YJL063C,P-P,0.12822392249517933
YBR091C,YJL116C,P-P,0.375775293454509
YBR091C,YJR144W,P-P,0.42064097483172075
YBR091C,YKR085C,P-P,0.3322135003205806
YBR091C,YLL013C,P-P,0.23511499229239813
YBR091C,YLR190W,P-P,0.24090282953594835
YBR091C,YLR304C,P-P,0.0949906162259079
YBR091C,YML061C,P-P,0.3083752844665669
YBR091C,YML091C,P-P,0.2562291334444824
YBR091C,YML104C,P-P,0.10106860375876911
YBR091C,YMR060C,P-P,0.09234444624744913
YBR091C,YMR072W,P-P,0.10706470339037745
YBR091C,YMR134W,P-P,0.49105154701642795
YBR091C,YNL026W,P-P,0.1205550096481806
YBR091C,YNL055C,P-P,0.2843258924286422
YBR091C,YNL066W,P-P,0.2524982230028342
YBR091C,YNL070W,P-P,0.09993918346347118
YBR091C,YOL076W,P-P,0.10375162736209669
YBR091C,YOR037W,P-P,0.25679049086762645
YBR091C,YOR147W,P-P,0.08084200120899016
YBR091C,YOR211C,P-P,0.177596631646225
YBR091C,YPL098C,P-P,0.26643849620698473
YBR091C,YPR083W,P-P,0.41845708654815544
YBR091C,YPR140W,P-P,0.22017783222824944
YBR179C,YBR234C,P-P,0.43831252881500127
YBR179C,YDL006W,P-P,0.2722363175577784
YBR179C,YDL198C,P-P,0.4473950503665294
YBR179C,YDR150W,P-P,0.41704910706350834
YBR179C,YDR219C,P-P,0.5461447971634527
YBR179C,YFL036W,P-P,0.20267047368780483
YBR179C,YGR101W,P-P,0.3880580397926305
YBR179C,YGR144W,P-P,0.4856874998464804
YBR179C,YHR120W,P-P,0.4136371333024691
YBR179C,YIL065C,P-P,0.45750457513776865
YBR179C,YJL063C,P-P,0.16210568902517633
YBR179C,YJL116C,P-P,0.2373941103289714
YBR179C,YJR144W,P-P,0.4150499698515413
YBR179C,YKR085C,P-P,0.208426118567564
YBR179C,YLL013C,P-P,0.17119121612246208
YBR179C,YLR190W,P-P,0.4123140559852556
YBR179C,YLR304C,P-P,0.43902639846756913
YBR179C,YML061C,P-P,0.3811757261606172
YBR179C,YML091C,P-P,-0.012849422772896102
YBR179C,YML104C,P-P,0.43613567027271277
YBR179C,YMR060C,P-P,0.4837430345919113
YBR179C,YMR072W,P-P,0.5813512445583225
YBR179C,YMR134W,P-P,0.11829843964385658
YBR179C,YNL026W,P-P,0.5526549196751651
YBR179C,YNL055C,P-P,0.5102531218021634
YBR179C,YNL066W,P-P,0.1058911239325793
YBR179C,YNL070W,P-P,0.4760962044884698
YBR179C,YOL076W,P-P,0.4508895034636586
YBR179C,YOR037W,P-P,0.2867288267368081
YBR179C,YOR147W,P-P,0.5931412329579843
YBR179C,YOR211C,P-P,0.5398596759078272
YBR179C,YPL098C,P-P,0.3762587469720102
YBR179C,YPR083W,P-P,0.2548649994073568
YBR179C,YPR140W,P-P,0.5335180450518276
YBR234C,YDL006W,P-P,0.5841555270940156
YBR234C,YDL198C,P-P,0.5941890301074082
YBR234C,YDR150W,P-P,0.48826531072858054
YBR234C,YDR219C,P-P,0.4132291501007105
YBR234C,YFL036W,P-P,0.39536843449607095
YBR234C,YGR101W,P-P,0.6822739958077175
YBR234C,YGR144W,P-P,0.27940494792977366
YBR234C,YHR120W,P-P,0.2199372693441456
YBR234C,YIL065C,P-P,0.3270990077178685
YBR234C,YJL063C,P-P,0.5362253970993353
YBR234C,YJL116C,P-P,0.4878454619510414
YBR234C,YJR144W,P-P,0.3951152451200562
YBR234C,YKR085C,P-P,0.3725496654715338
YBR234C,YLL013C,P-P,0.4706397049104685
YBR234C,YLR190W,P-P,0.5009351262180534
YBR234C,YLR304C,P-P,0.6336222996061142
YBR234C,YML061C,P-P,0.5456748881832332
YBR234C,YML091C,P-P,0.49872282243088834
YBR234C,YML104C,P-P,0.27996044011620974
YBR234C,YMR060C,P-P,0.4500723857314843
YBR234C,YMR072W,P-P,0.4790152696043866
YBR234C,YMR134W,P-P,0.16245649144334612
YBR234C,YNL026W,P-P,0.5089711786909837
YBR234C,YNL055C,P-P,0.2608945882912232
YBR234C,YNL066W,P-P,0.25401404453405957
YBR234C,YNL070W,P-P,0.47541919362854823
YBR234C,YOL076W,P-P,0.3113316747968365
YBR234C,YOR037W,P-P,0.619811486419114
YBR234C,YOR147W,P-P,0.565187136907506
YBR234C,YOR211C,P-P,0.3875639838131369
YBR234C,YPL098C,P-P,0.5128841140889221
YBR234C,YPR083W,P-P,0.19945476428287684
YBR234C,YPR140W,P-P,0.31608803978655586
YDL006W,YDL198C,P-P,0.7231967433467312
YDL006W,YDR150W,P-P,0.4681297225641457
YDL006W,YDR219C,P-P,0.37824475412834657
YDL006W,YFL036W,P-P,0.15325379910655132
YDL006W,YGR101W,P-P,0.6774624483385097
YDL006W,YGR144W,P-P,0.2676398332869807
YDL006W,YHR120W,P-P,0.4725817804353217
YDL006W,YIL065C,P-P,0.13625827791643766
YDL006W,YJL063C,P-P,0.33928428604454286
YDL006W,YJL116C,P-P,0.13648970517318276
YDL006W,YJR144W,P-P,0.3276628217696393
YDL006W,YKR085C,P-P,0.46863966803029
YDL006W,YLL013C,P-P,0.5313441624001276
YDL006W,YLR190W,P-P,0.47862531332513164
YDL006W,YLR304C,P-P,0.3965702667396418
YDL006W,YML061C,P-P,0.4144370943686108
YDL006W,YML091C,P-P,0.4578312748325666
YDL006W,YML104C,P-P,0.35040718400676724
YDL006W,YMR060C,P-P,0.4404336930274648
