Gene A,Gene B,Type,Correlation
YBR091C,YBR179C,P-P,0.3470332933938643
YBR091C,YBR234C,P-P,0.08768152642971021
YBR091C,YDL006W,P-P,0.5071104783005377
YBR091C,YDL198C,P-P,0.5209078046705032
YBR091C,YDR150W,P-P,0.3226583419682314
YBR091C,YDR219C,P-P,0.46510359392192047
YBR091C,YFL036W,P-P,0.17656579655808347
YBR091C,YGR101W,P-P,0.6394894805721087
YBR091C,YGR144W,P-P,0.43510187331644584
YBR091C,YHR120W,P-P,0.1540470970307067
YBR091C,YIL065C,P-P,0.5124090732185025
YBR091C,YJL063C,P-P,0.0612475319698185
YBR091C,YJL116C,P-P,0.3495372514632712
YBR091C,YJR144W,P-P,0.16562614153756544
YBR091C,YKR085C,P-P,0.3165699103684083
YBR091C,YLL013C,P-P,0.3689692801465394
YBR091C,YLR190W,P-P,0.3838455326543569
YBR091C,YLR304C,P-P,0.4476737497836077
YBR091C,YML061C,P-P,0.3440873739991614
YBR091C,YML091C,P-P,0.38854836743108323
YBR091C,YML104C,P-P,0.4117541422988701
YBR091C,YMR060C,P-P,0.29418523940656355
YBR091C,YMR072W,P-P,0.5032312698404589
YBR091C,YMR134W,P-P,0.4411340413845881
YBR091C,YNL026W,P-P,0.6081790807813453
YBR091C,YNL055C,P-P,0.3382687877447212
YBR091C,YNL066W,P-P,0.2963314161488515
YBR091C,YNL070W,P-P,0.28132428106304164
YBR091C,YOL076W,P-P,0.25478800145284075
YBR091C,YOR037W,P-P,0.1000059484688612
YBR091C,YOR147W,P-P,0.2933712721333157
YBR091C,YOR211C,P-P,0.617261750501123
YBR091C,YPL098C,P-P,0.18060457516202508
YBR091C,YPR083W,P-P,0.3130771543084849
YBR091C,YPR140W,P-P,0.36333419629363134
YBR179C,YBR234C,P-P,0.20657496837454542
YBR179C,YDL006W,P-P,0.4652563815641246
YBR179C,YDL198C,P-P,0.5505352021317595
YBR179C,YDR150W,P-P,0.35780769285145514
YBR179C,YDR219C,P-P,0.4483158335464916
YBR179C,YFL036W,P-P,0.4801762935768735
YBR179C,YGR101W,P-P,0.6102352042442823
YBR179C,YGR144W,P-P,0.2556949110280638
YBR179C,YHR120W,P-P,0.35764944745721317
YBR179C,YIL065C,P-P,0.6285024491155103
YBR179C,YJL063C,P-P,0.42795955479973774
YBR179C,YJL116C,P-P,0.5045322625317642
YBR179C,YJR144W,P-P,0.17572993440499582
YBR179C,YKR085C,P-P,0.5531197836512143
YBR179C,YLL013C,P-P,0.5583513695157655
YBR179C,YLR190W,P-P,0.6054301175824824
YBR179C,YLR304C,P-P,0.19181500149302777
YBR179C,YML061C,P-P,0.661670347637534
YBR179C,YML091C,P-P,0.3817916776128504
YBR179C,YML104C,P-P,0.3688016020785302
YBR179C,YMR060C,P-P,0.23295707985866632
YBR179C,YMR072W,P-P,0.49835342426998763
YBR179C,YMR134W,P-P,0.3590716055599994
YBR179C,YNL026W,P-P,0.43544273764797853
YBR179C,YNL055C,P-P,0.46185965525462014
YBR179C,YNL066W,P-P,0.4749933223329493
YBR179C,YNL070W,P-P,0.5794567074544471
YBR179C,YOL076W,P-P,0.4532384760539666
YBR179C,YOR037W,P-P,0.1313716830099028
YBR179C,YOR147W,P-P,0.22056458047922983
YBR179C,YOR211C,P-P,0.6259173048971658
YBR179C,YPL098C,P-P,0.283411619384938
YBR179C,YPR083W,P-P,0.3342010089658578
YBR179C,YPR140W,P-P,0.16092102422698962
YBR234C,YDL006W,P-P,0.4038705232419121
YBR234C,YDL198C,P-P,0.6190649369178551
YBR234C,YDR150W,P-P,0.1400212506522805
YBR234C,YDR219C,P-P,0.3975426293633763
YBR234C,YFL036W,P-P,0.2864634475898736
YBR234C,YGR101W,P-P,0.24536809929410477
YBR234C,YGR144W,P-P,0.3758603295772911
YBR234C,YHR120W,P-P,0.11090295589818616
YBR234C,YIL065C,P-P,0.2518343014056068
YBR234C,YJL063C,P-P,0.36829802866522293
YBR234C,YJL116C,P-P,0.47306424021303506
YBR234C,YJR144W,P-P,-0.12683630393499382
YBR234C,YKR085C,P-P,0.33223163776082376
YBR234C,YLL013C,P-P,0.27673571015413856
YBR234C,YLR190W,P-P,0.22844053658214258
YBR234C,YLR304C,P-P,0.2358653259910319
YBR234C,YML061C,P-P,0.1796334591472289
YBR234C,YML091C,P-P,0.16694342592297393
YBR234C,YML104C,P-P,0.45866698832732045
YBR234C,YMR060C,P-P,0.37185403966651104
YBR234C,YMR072W,P-P,0.4403734529260488
YBR234C,YMR134W,P-P,0.0734075021883077
YBR234C,YNL026W,P-P,0.4241741013111827
YBR234C,YNL055C,P-P,0.38667150390435345
YBR234C,YNL066W,P-P,0.4380263700050248
YBR234C,YNL070W,P-P,0.22376865502004453
YBR234C,YOL076W,P-P,0.17167386952940417
YBR234C,YOR037W,P-P,0.22112399921577322
YBR234C,YOR147W,P-P,0.2918860624676053
YBR234C,YOR211C,P-P,0.18511019897998776
YBR234C,YPL098C,P-P,0.15654655742237458
YBR234C,YPR083W,P-P,0.1111894132124596
YBR234C,YPR140W,P-P,-0.00037687164161246615
YDL006W,YDL198C,P-P,0.6882437249212497
YDL006W,YDR150W,P-P,0.4751826598533821
YDL006W,YDR219C,P-P,0.5396890969577604
YDL006W,YFL036W,P-P,0.5219340111983878
YDL006W,YGR101W,P-P,0.6271472935821938
