Gene A,Gene B,Type,Correlation
YBR091C,YBR179C,P-P,0.5707697429913737
YBR091C,YBR234C,P-P,0.15371110431246254
YBR091C,YDL006W,P-P,0.5094358693238294
YBR091C,YDL198C,P-P,0.4156655790323217
YBR091C,YDR150W,P-P,0.27357031646943997
YBR091C,YDR219C,P-P,0.02859604876717526
YBR091C,YFL036W,P-P,0.2740462739225995
YBR091C,YGR101W,P-P,0.40578927156049144
YBR091C,YGR144W,P-P,0.29765645617840225
YBR091C,YHR120W,P-P,0.36037877678601177
YBR091C,YIL065C,P-P,0.0488789208135875
YBR091C,YJL063C,P-P,0.30750655012434075
YBR091C,YJL116C,P-P,0.25786942358022974
YBR091C,YJR144W,P-P,0.34469461799592843
YBR091C,YKR085C,P-P,0.08972193793942401
YBR091C,YLL013C,P-P,0.4410760445845599
YBR091C,YLR190W,P-P,0.16703318859119293
YBR091C,YLR304C,P-P,0.34659893729487407
YBR091C,YML061C,P-P,0.4522100487844858
YBR091C,YML091C,P-P,0.19063296413781203
YBR091C,YML104C,P-P,0.428553717990684
YBR091C,YMR060C,P-P,0.41668390064012784
YBR091C,YMR072W,P-P,0.2762736059203053
YBR091C,YMR134W,P-P,0.2112098592919219
YBR091C,YNL026W,P-P,0.03886524516259745
YBR091C,YNL055C,P-P,-0.08958346563374593
YBR091C,YNL066W,P-P,0.4544367406817043
YBR091C,YNL070W,P-P,0.3506593452127335
YBR091C,YOL076W,P-P,0.16374707086853796
YBR091C,YOR037W,P-P,0.3666035717800102
YBR091C,YOR147W,P-P,0.47280491218589765
YBR091C,YOR211C,P-P,0.22164168167995005
YBR091C,YPL098C,P-P,0.44624461618961003
YBR091C,YPR083W,P-P,0.4216080544370671
YBR091C,YPR140W,P-P,0.49383759364877505
YBR179C,YBR234C,P-P,0.14861813519408515
YBR179C,YDL006W,P-P,0.37555734264891333
YBR179C,YDL198C,P-P,0.31640058570163204
YBR179C,YDR150W,P-P,0.1031618708651879
YBR179C,YDR219C,P-P,0.2718029558294357
YBR179C,YFL036W,P-P,0.32774465936148833
YBR179C,YGR101W,P-P,0.4535908943229968
YBR179C,YGR144W,P-P,0.3300004063990138
YBR179C,YHR120W,P-P,0.33915735747801373
YBR179C,YIL065C,P-P,0.2013926829790542
YBR179C,YJL063C,P-P,0.3989513856198779
YBR179C,YJL116C,P-P,0.33728974937894046
YBR179C,YJR144W,P-P,0.3884077558775872
YBR179C,YKR085C,P-P,0.0014395728161107353
YBR179C,YLL013C,P-P,0.3135070427775782
YBR179C,YLR190W,P-P,0.3922161155247509
YBR179C,YLR304C,P-P,0.2834905645484969
YBR179C,YML061C,P-P,0.26597752228653737
YBR179C,YML091C,P-P,0.4587246999192806
YBR179C,YML104C,P-P,0.21841961778770644
YBR179C,YMR060C,P-P,0.7265583329200294
YBR179C,YMR072W,P-P,0.18802272185091415
YBR179C,YMR134W,P-P,0.04249036922347321
YBR179C,YNL026W,P-P,0.29945169256430443
YBR179C,YNL055C,P-P,0.049417322925970474
YBR179C,YNL066W,P-P,0.3950582935674899
YBR179C,YNL070W,P-P,0.4450265774068904
YBR179C,YOL076W,P-P,0.19213717403667932
YBR179C,YOR037W,P-P,0.18647057522084431
YBR179C,YOR147W,P-P,0.46363360186453423
YBR179C,YOR211C,P-P,0.18582678471942005
YBR179C,YPL098C,P-P,0.344734127583555
YBR179C,YPR083W,P-P,0.5198638828566982
YBR179C,YPR140W,P-P,-0.001558072075097632
YBR234C,YDL006W,P-P,0.581556261255231
YBR234C,YDL198C,P-P,0.3852178823777652
YBR234C,YDR150W,P-P,0.5280514060977354
YBR234C,YDR219C,P-P,0.6393857843474893
YBR234C,YFL036W,P-P,0.29099185661238586
YBR234C,YGR101W,P-P,0.22010105356947435
YBR234C,YGR144W,P-P,0.413734618986905
YBR234C,YHR120W,P-P,0.34778331693665043
YBR234C,YIL065C,P-P,-0.05894458145755619
YBR234C,YJL063C,P-P,0.4018513176984971
YBR234C,YJL116C,P-P,0.38300117086632934
YBR234C,YJR144W,P-P,0.2565062701905021
YBR234C,YKR085C,P-P,0.03432607572653641
YBR234C,YLL013C,P-P,0.34986939758985386
YBR234C,YLR190W,P-P,0.22348612422711728
YBR234C,YLR304C,P-P,0.32425902718790467
YBR234C,YML061C,P-P,0.4467233948172302
YBR234C,YML091C,P-P,0.40604086980554455
YBR234C,YML104C,P-P,0.20044633675271223
YBR234C,YMR060C,P-P,0.23475759572022586
YBR234C,YMR072W,P-P,0.3015401581580761
YBR234C,YMR134W,P-P,0.47066637801993916
YBR234C,YNL026W,P-P,0.3634900290523887
YBR234C,YNL055C,P-P,0.5312774610035788
YBR234C,YNL066W,P-P,0.28146426304944194
YBR234C,YNL070W,P-P,0.1594759914570418
YBR234C,YOL076W,P-P,0.18759511247048832
YBR234C,YOR037W,P-P,0.4275489585324374
YBR234C,YOR147W,P-P,0.1713357297478753
YBR234C,YOR211C,P-P,0.15273941118250053
YBR234C,YPL098C,P-P,0.23871155017211512
YBR234C,YPR083W,P-P,0.309365577485026
YBR234C,YPR140W,P-P,0.3223270170686949
YDL006W,YDL198C,P-P,0.5429990142127026
YDL006W,YDR150W,P-P,0.38728358819729397
YDL006W,YDR219C,P-P,0.35375831970692967
YDL006W,YFL036W,P-P,0.47839780076475336
YDL006W,YGR101W,P-P,0.18305613131706072
YDL006W,YGR144W,P-P,0.6295702284267087
YDL006W,YHR120W,P-P,0.4475526601950596
YDL006W,YIL065C,P-P,0.29986719180899124
YDL006W,YJL063C,P-P,0.5561098026531082
YDL006W,YJL116C,P-P,0.35449140790408373
YDL006W,YJR144W,P-P,0.3018816675569733
YDL006W,YKR085C,P-P,0.16006135360456597
YDL006W,YLL013C,P-P,0.48029115936933553
YDL006W,YLR190W,P-P,0.1554721467853219
YDL006W,YLR304C,P-P,0.4589867201716117
YDL006W,YML061C,P-P,0.6252260239303465
YDL006W,YML091C,P-P,0.5482160498307584
YDL006W,YML104C,P-P,0.23920453295505525
YDL006W,YMR060C,P-P,0.48519771106141674
YDL006W,YMR072W,P-P,0.18155496425389284
YDL006W,YMR134W,P-P,0.6461163886592511
YDL006W,YNL026W,P-P,0.29241472669331786
YDL006W,YNL055C,P-P,0.42232932196628087
YDL006W,YNL066W,P-P,0.4991656801946792
YDL006W,YNL070W,P-P,0.299469430296824
YDL006W,YOL076W,P-P,0.1678804223262968
YDL006W,YOR037W,P-P,0.4008623522600969
YDL006W,YOR147W,P-P,0.4038529814621898
YDL006W,YOR211C,P-P,0.24988881546262992
YDL006W,YPL098C,P-P,0.43167948654347876
YDL006W,YPR083W,P-P,0.3994119879075894
YDL006W,YPR140W,P-P,0.546656045801831
YDL198C,YDR150W,P-P,0.22741440490598566
YDL198C,YDR219C,P-P,0.2760036995454428
YDL198C,YFL036W,P-P,0.47002803156163364
YDL198C,YGR101W,P-P,0.4270284728680836
YDL198C,YGR144W,P-P,0.39381140429998834
YDL198C,YHR120W,P-P,0.46390175453729077
YDL198C,YIL065C,P-P,0.1909201886603916
YDL198C,YJL063C,P-P,0.3554536087791454
YDL198C,YJL116C,P-P,0.48555679641112914
YDL198C,YJR144W,P-P,0.27797123167493826
YDL198C,YKR085C,P-P,0.4357424676825276
YDL198C,YLL013C,P-P,0.5774092412592139
YDL198C,YLR190W,P-P,0.3294585910245069
