Gene A,Gene B,Label,Score,True Positive,False Negative,True Negative,False Positive,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YBR185C,YBL078C,1,9.652591,1.0,1032.0,9967.0,0.0,0.906181812286377,1.0,0.0009680542279966176,0.0,1.0
YGL006W,YNL185C,0,8.931057,1.0,1032.0,9966.0,1.0,0.9060909152030945,0.5,0.0009680542279966176,0.00010033108992502093,0.999899685382843
YJR080C,YDR322C-A,1,8.655419,2.0,1031.0,9966.0,1.0,0.906181812286377,0.6666666865348816,0.0019361084559932351,0.00010033108992502093,0.999899685382843
YKL053C-A,YNR007C,1,8.578012,3.0,1030.0,9966.0,1.0,0.9062727093696594,0.75,0.0029041627421975136,0.00010033108992502093,0.999899685382843
YOL052C-A,YKL194C,0,8.4463215,3.0,1030.0,9965.0,2.0,0.906181812286377,0.6000000238418579,0.0029041627421975136,0.00020066217985004187,0.9997993111610413
YDR393W,YNL185C,0,8.306921,3.0,1030.0,9964.0,3.0,0.9060909152030945,0.5,0.0029041627421975136,0.0003009932697750628,0.9996989965438843
YLR295C,YKL195W,1,8.168021,4.0,1029.0,9964.0,3.0,0.906181812286377,0.5714285969734192,0.0038722169119864702,0.0003009932697750628,0.9996989965438843
YLR168C,YJL102W,1,8.131695,5.0,1028.0,9964.0,3.0,0.9062727093696594,0.625,0.004840271081775427,0.0003009932697750628,0.9996989965438843
YOR266W,YNL055C,1,8.058765,6.0,1027.0,9964.0,3.0,0.9063636660575867,0.6666666865348816,0.005808325484395027,0.0003009932697750628,0.9996989965438843
YGR220C,YPL154C,0,8.036853,6.0,1027.0,9963.0,4.0,0.9062727093696594,0.6000000238418579,0.005808325484395027,0.00040132435970008373,0.9995986819267273
YGR174C,YBR262C,1,7.990291,7.0,1026.0,9963.0,4.0,0.9063636660575867,0.6363636255264282,0.00677637942135334,0.00040132435970008373,0.9995986819267273
YJL180C,YDR511W,1,7.939736,8.0,1025.0,9963.0,4.0,0.9064545631408691,0.6666666865348816,0.0077444338239729404,0.00040132435970008373,0.9995986819267273
YJL180C,YLR295C,1,7.7798743,9.0,1024.0,9963.0,4.0,0.9065454602241516,0.692307710647583,0.00871248822659254,0.00040132435970008373,0.9995986819267273
YDR237W,YPR026W,0,7.7249846,9.0,1024.0,9962.0,5.0,0.9064545631408691,0.6428571343421936,0.00871248822659254,0.0005016554496251047,0.9994983673095703
YBR185C,YDL149W,1,7.5353456,10.0,1023.0,9962.0,5.0,0.9065454602241516,0.6666666865348816,0.009680542163550854,0.0005016554496251047,0.9994983673095703
YMR002W,YPR100W,1,7.4496055,11.0,1022.0,9962.0,5.0,0.9066363573074341,0.6875,0.010648596100509167,0.0005016554496251047,0.9994983673095703
YMR302C,YNR017W,1,7.2821217,12.0,1021.0,9962.0,5.0,0.9067272543907166,0.7058823704719543,0.011616650968790054,0.0005016554496251047,0.9994983673095703
YBR230C,YKL195W,1,7.221336,13.0,1020.0,9962.0,5.0,0.9068182110786438,0.7222222089767456,0.012584704905748367,0.0005016554496251047,0.9994983673095703
YIL098C,YPR100W,1,7.175113,14.0,1019.0,9962.0,5.0,0.9069091081619263,0.7368420958518982,0.01355275884270668,0.0005016554496251047,0.9994983673095703
YDR393W,YOR020C,1,7.1215105,15.0,1018.0,9962.0,5.0,0.9070000052452087,0.75,0.014520812779664993,0.0005016554496251047,0.9994983673095703
YER058W,YNL223W,1,7.096217,16.0,1017.0,9962.0,5.0,0.9070909023284912,0.761904776096344,0.015488867647945881,0.0005016554496251047,0.9994983673095703
YJR034W,YDR393W,1,7.0172124,17.0,1016.0,9962.0,5.0,0.9071817994117737,0.7727272510528564,0.01645692251622677,0.0005016554496251047,0.9994983673095703
YOR266W,YPL098C,1,6.953084,18.0,1015.0,9962.0,5.0,0.9072727560997009,0.782608687877655,0.01742497645318508,0.0005016554496251047,0.9994983673095703
YNL242W,YGR028W,1,6.9207454,19.0,1014.0,9962.0,5.0,0.9073636531829834,0.7916666865348816,0.018393030390143394,0.0005016554496251047,0.9994983673095703
YGR062C,YJR080C,1,6.9206533,20.0,1013.0,9962.0,5.0,0.9074545502662659,0.800000011920929,0.019361084327101707,0.0005016554496251047,0.9994983673095703
YNL121C,YDR493W,1,6.8971143,21.0,1012.0,9962.0,5.0,0.9075454473495483,0.807692289352417,0.02032913826406002,0.0005016554496251047,0.9994983673095703
YNL242W,YDL217C,1,6.843506,22.0,1011.0,9962.0,5.0,0.9076363444328308,0.8148148059844971,0.021297192201018333,0.0005016554496251047,0.9994983673095703
YGL180W,YNL315C,1,6.7989736,23.0,1010.0,9962.0,5.0,0.9077273011207581,0.8214285969734192,0.022265246137976646,0.0005016554496251047,0.9994983673095703
YDL149W,YBR120C,1,6.7928944,24.0,1009.0,9962.0,5.0,0.9078181982040405,0.8275862336158752,0.02323330193758011,0.0005016554496251047,0.9994983673095703
