Term,Abs Sum,Sig Sum,Inverse Sum,Dis Total 1,Dis Total 2,Dis Total 3,Dis Total 4,Dis Total 5
GO:0000054,50.02474460029852,57.438327042531974,78.25798165837986,5,8,9,13,14
GO:0000278,56.5276722621421,58.68680014825572,76.02514365685664,20,20,22,25,26
GO:0000747,50.91446789454666,57.505727087693195,77.73220370016028,13,18,19,21,24
GO:0001403,37.003254153169316,54.361628519641684,82.13824313464009,9,11,12,21,28
GO:0002181,74.1173214331473,62.76057753761129,71.10659775173373,8,9,9,9,9
GO:0003677,64.28333326259329,60.403366820680944,73.77520144586401,21,21,22,23,23
GO:0003682,57.58362338673555,59.0048420106148,75.84575684709354,15,17,18,18,19
GO:0003700,72.77294911363285,62.47024104338401,71.59808484739139,4,4,6,7,9
GO:0003735,78.76937725790282,63.76413244511621,69.8070672255051,7,7,7,9,9
GO:0004386,56.13384232922699,58.71252366006641,76.129177099026,13,16,16,20,20
GO:0004518,64.76682198520092,60.669011582547085,73.5304770860763,11,11,13,15,15
GO:0005085,52.45399916541983,57.96215998272042,77.28338648280125,6,10,11,14,17
GO:0005576,70.17029993388594,61.940010677521094,72.25358845357695,6,6,6,7,8
GO:0005618,69.62304476864897,61.77475379436637,72.3314103337569,6,8,8,10,11
GO:0005694,64.57969935248019,60.501921919090705,73.84729446779619,15,15,18,19,21
GO:0005730,62.561615539534436,60.07863045308671,74.45347756533758,16,16,16,17,18
GO:0005740,71.01222394756448,61.99584410524194,72.18679965152029,5,7,7,12,13
GO:0005773,62.82059156050108,60.14721699159564,74.39598872506318,14,14,15,17,20
GO:0005777,63.59229743553474,60.52629933808181,73.94392421449551,4,5,5,6,8
GO:0005783,62.08807163883212,59.919339336321464,74.64549982125385,10,12,14,18,22
GO:0005794,67.64064393882163,61.24825921260946,72.9885704702724,12,13,13,14,15
GO:0005840,77.65876387781745,63.51358544904722,70.03428714077688,9,9,10,10,10
GO:0005886,58.54148788176608,59.0911722839126,75.52146461406065,22,23,23,26,26
GO:0005933,59.79586140180357,59.442669121599806,75.17836788543705,17,19,19,22,22
GO:0005938,60.83297429872691,59.68363732740838,74.75128892915328,13,14,16,21,24
GO:0006260,56.52947314761551,58.788029879582645,76.1226031966099,15,15,15,19,19
GO:0006281,63.473568864394906,60.26596368616338,74.08255433604816,15,18,18,20,21
GO:0006310,67.72056983936295,61.25706350756794,72.91270594475704,15,15,15,16,16
GO:0006325,64.55835161262326,60.49562729081966,73.72705586432441,19,20,20,20,22
GO:0006352,57.063175241906876,58.93103448711904,75.89443939841354,10,11,11,16,20
GO:0006353,36.957456869404346,54.35601293074141,82.00928044770659,14,17,18,27,28
GO:0006360,47.99240829306584,56.884625861575216,78.43706676203807,14,17,19,24,24
GO:0006364,67.82711551667182,61.22488115748291,72.84262176111984,18,18,18,19,20
GO:0006366,63.612106244103366,60.28225256495314,74.03076547286524,15,17,18,21,21
GO:0006383,47.93727680118472,56.95481343787701,78.7715508577531,9,10,11,13,16
GO:0006397,66.08684120716605,60.960842647407176,73.34653174106623,7,8,10,12,14
GO:0006401,56.68764929141914,58.841056553186355,76.20016643257196,8,11,12,16,17
GO:0006413,52.57393724334039,57.97740099146149,77.41816353214824,5,6,7,13,17
GO:0006414,50.34423710179838,57.49455204059389,78.15707767256079,2,4,8,14,15
GO:0006418,57.90623268735687,59.310598181658186,76.20458884570014,2,2,2,3,4
GO:0006457,67.45124200739107,61.32640385910116,73.01715404678625,6,6,7,9,10
GO:0006468,52.63397344159485,57.83201456411736,77.13898780397145,15,19,19,25,28
GO:0006470,49.62027215762211,57.32348999974188,78.39700024439958,4,6,7,13,15
GO:0006486,68.11673849919514,61.529570124587984,72.85399707781288,4,5,5,5,5
GO:0006629,66.96166209349579,61.12178579353818,73.30588988586808,8,8,10,11,13
GO:0006811,71.80843445755502,62.18893788237377,71.83100614121608,9,12,12,13,13
GO:0006865,63.00522742656264,60.4400732385805,74.29309666091825,5,5,5,5,6
GO:0006869,51.25598731941141,57.61845347931515,77.48137764597169,11,13,13,21,24
GO:0006873,64.48270824146351,60.6152025977127,74.03445103395143,4,6,7,9,12
GO:0006887,49.763508934453576,57.337992908943164,78.00005649653515,12,13,13,18,20
GO:0006897,56.6109257791995,58.76793312751526,75.97226661738513,16,16,18,21,22
GO:0006970,41.075745435698344,55.316373843775786,80.56619716689285,8,13,17,27,27
GO:0006979,54.59016367480777,58.42000056210039,77.14437382167537,3,3,5,7,11
GO:0007005,67.48747735488625,61.28066646544216,72.99474294653011,5,7,7,11,13
GO:0007010,59.89069544340168,59.470633223102475,75.08252821780843,14,17,19,22,23
GO:0007031,55.62644418278512,58.80647587741211,76.65347968027184,2,2,2,4,5
GO:0007033,51.881472726719444,57.722788339574315,77.45934953093564,12,14,14,19,24
GO:0007059,64.5672433674457,60.5709710522833,73.91904404397494,13,14,14,15,15
GO:0007124,42.92148188229413,55.725997659576855,80.29503480211426,11,14,14,22,23
GO:0008033,58.69375623430764,59.30117479743718,75.58306371896768,11,11,11,12,17
GO:0008168,66.19804835363541,61.09242330728233,73.28525251785402,4,4,4,8,9
GO:0008233,73.51956627989483,62.64450778094296,71.181307618488,7,7,7,8,10
GO:0008289,58.14589648713587,59.13748349052325,75.50300049299187,13,16,18,20,22
