Go-Term,AUC,Avg Prec
GO:0000054,0.6184291898577605,0.12734996711210966
GO:0000278,0.7059518125515597,0.1589327996462776
GO:0000747,0.619008188019613,0.1293073054870822
GO:0001403,0.9538909257003408,0.30852724076314353
GO:0002181,NA,NA
GO:0003677,0.6563811988035173,0.14347451582143034
GO:0003682,0.5851920162552703,0.11788563506768188
GO:0003700,0.6573075601291154,0.1352232904954969
GO:0003735,0.9541667817945949,0.308536463542281
GO:0004386,0.9526708499858618,0.30750942520815705
GO:0004518,0.7705162887074313,0.214423690916269
GO:0005085,0.5041937229437241,0.10393937990535904
GO:0005576,0.7574386128105154,0.18121170550682836
GO:0005618,0.9527048147044381,0.30704646394741164
GO:0005694,0.9255131534866265,0.2798252043472271
GO:0005730,0.8728900431181082,0.2596479829268374
GO:0005740,0.702836501337804,0.17915081582473047
GO:0005773,0.6322162562126843,0.1323793699472973
GO:0005777,0.954491756320204,0.3090291137275974
GO:0005783,0.8991181179622576,0.2623243993746743
GO:0005794,0.7021113675169182,0.15353267680122823
GO:0005840,0.8280664739584456,0.2540592174559685
GO:0005886,0.6465316967530903,0.14061088022958362
GO:0005933,0.9460414419410346,0.2989490115544107
GO:0005938,0.9505025171058086,0.30475511453270687
GO:0006260,0.7128640270918254,0.1694927496277002
GO:0006281,0.6676342787251919,0.14389921120830443
GO:0006310,0.7959633256326696,0.21848605435083007
GO:0006325,0.9505744518582028,0.3043561518469027
GO:0006352,0.9538547746255104,0.3087756652900844
GO:0006353,0.5892929292929288,0.1326747351326385
GO:0006360,0.7176315447987067,0.14582008126171725
GO:0006364,0.8648341387656721,0.2606821154567851
GO:0006366,0.910669449622681,0.2700460853353261
GO:0006383,0.9476100305163758,0.30630105650965456
GO:0006397,0.6703127081333222,0.14809522209840406
GO:0006401,0.6038795696823691,0.12353725189904532
GO:0006413,0.658736121546039,0.16780083731111728
GO:0006414,0.9541653385007913,0.3095492987840018
GO:0006418,0.9544155751166332,0.3092261123070094
GO:0006457,0.6542940589325202,0.15079216379112603
GO:0006468,0.6343606687037042,0.12503144313466963
GO:0006470,0.534890572390573,0.11025304934338323
GO:0006486,0.9532106141448328,0.3080882390339173
GO:0006629,0.923760356472038,0.2798887189889361
GO:0006811,0.6499209598701156,0.14261181606885603
GO:0006865,0.5931809833875952,0.11659118229569185
GO:0006869,0.5279405626513066,0.10154141122509115
GO:0006873,0.6137016234808008,0.12358257869808781
GO:0006887,0.623799983304115,0.12004331498641974
GO:0006897,0.5964229919365686,0.12591045495301406
GO:0006970,0.5242897663918806,0.09466073577998518
GO:0006979,0.5254305131959774,0.10702331007053928
GO:0007005,0.9528206622113504,0.3070605600095525
GO:0007010,0.6587996697458323,0.13952603797988813
GO:0007031,0.6786090067340067,0.1586066104774709
GO:0007033,0.5771335258148456,0.11965597789932524
GO:0007059,0.6995853855358019,0.1553611474306238
GO:0007124,0.5062149555677885,0.09043970633699519
GO:0008033,0.953242136687091,0.3079701675370062
GO:0008168,0.5787780316233697,0.10714519846936188
GO:0008233,0.7429612761778105,0.20439974208044312
GO:0008289,0.9527757156336963,0.30820865523349655
GO:0008380,0.6608773198148788,0.13899186629461602
GO:0008643,0.7664694697201575,0.21313711468097613
GO:0009408,0.954248366013072,0.3097101005420184
GO:0009451,0.8079376893333047,0.2042767240779123
GO:0016197,0.6777672558922555,0.1647679746891662
GO:0016301,0.9410392724666938,0.2938671595663793
GO:0016491,0.7140089215668707,0.17852599748890116
GO:0016757,0.5901364473133734,0.13288691884731724
GO:0016779,0.9511547756411965,0.3052398162415312
GO:0016791,0.6140424209008788,0.13465421473958764
GO:0016798,0.6215645006967321,0.1388168755350172
GO:0016829,0.9538924457556678,0.3082236454092349
GO:0016853,0.5178883886442268,0.09087033319685692
GO:0016874,0.6082981398791057,0.1314076125267042
GO:0019843,0.9544159544159544,0.3092528073086958
GO:0022857,0.6940657842031519,0.16684303753540977
GO:0030427,0.677305795227953,0.1464496612191955
GO:0030674,NA,NA
GO:0031410,0.639540812757577,0.13217549621612126
GO:0032196,0.9078603463567994,0.2857823579722355
GO:0032543,NA,NA
GO:0042273,0.865975935828879,0.2644860151277679
GO:0042274,0.8791386424696851,0.2565443367013386
GO:0042393,NA,NA
GO:0045333,0.7261375545904841,0.19200626257460507
GO:0051082,0.6029910762201177,0.14063416583034327
GO:0051321,0.9436417779179062,0.29597504085458703
GO:0051603,0.7014229342588005,0.1682215605456887
GO:0051726,0.6421323553774906,0.1346281255283045
