Term,Avg AUC,Avg Prec
GO:0000054,0.9248328399297581,0.2930148773177277
GO:0000278,0.7943281461522009,0.2189950283308598
GO:0000747,0.8176800106379457,0.23612758108702564
GO:0001403,0.8201067052838944,0.23684753376093093
GO:0002181,0.9399999991736628,0.2909948053685102
GO:0003677,0.7048741726147392,0.18498628422397775
GO:0003682,0.8396925656205965,0.2536850405965339
GO:0003700,0.8488599064479216,0.24685374811071562
GO:0003735,0.9507427824377269,0.31038468453305007
GO:0004386,0.8974605529241565,0.27855800298584454
GO:0004518,0.8699870288210989,0.2564249598786912
GO:0005085,0.854569499546474,0.2574989872288144
GO:0005576,0.8965460122454361,0.27225545200654727
GO:0005618,0.8901907370612581,0.27331543564237654
GO:0005694,0.7916917870665889,0.21953944681889623
GO:0005730,0.9288339178900245,0.30083070908639237
GO:0005740,0.8109493448533731,0.23169343352283944
GO:0005773,0.7981263299827102,0.22079246107251804
GO:0005777,0.8972690309798504,0.2796847654338926
GO:0005783,0.7675335266799533,0.21447876722010023
GO:0005794,0.8325992812652099,0.23652451260438692
GO:0005840,0.9060903145626666,0.29350668597830964
GO:0005886,0.7435197401506924,0.19600098609382452
GO:0005933,0.8240050894136471,0.2326808911766856
GO:0005938,0.8451886478404869,0.24850959880683904
GO:0006260,0.8565720626119873,0.2550728025409308
GO:0006281,0.7950336139175117,0.21814394614557647
GO:0006310,0.8712211352697975,0.2554423886026171
GO:0006325,0.8421518937368819,0.24705658230083904
GO:0006352,0.887504535796208,0.27085714646716685
GO:0006353,0.8685688894140889,0.2627486960910369
GO:0006360,0.8835759819369386,0.2670735752972012
GO:0006364,0.9320483758601027,0.2994572688483379
GO:0006366,0.73632779831641,0.18933578881655225
GO:0006383,0.8714478553861686,0.2654443363736976
GO:0006397,0.8324429201306167,0.23919063781032504
GO:0006401,0.8654425892117856,0.2578165824320167
GO:0006413,0.9116612020504808,0.28691548251242116
GO:0006414,0.9036456145765587,0.2834523343018718
GO:0006418,0.944655839837421,0.3030268100453918
GO:0006457,0.8751540686986039,0.26519879646192895
GO:0006468,0.8209362581386919,0.23375626509568903
GO:0006470,0.8524109537211291,0.25193255210580734
GO:0006486,0.8829477011075518,0.27429368815875865
GO:0006629,0.7682979921052585,0.20393939732963384
GO:0006811,0.8152039525702183,0.22713492724248627
GO:0006865,0.8558608629480003,0.2607674947240475
GO:0006869,0.7930386763495394,0.22964395626593329
GO:0006873,0.8316907811363423,0.24006636361489916
GO:0006887,0.8622998649155488,0.26044306408072054
GO:0006897,0.8514914503330576,0.2542346106743948
GO:0006970,0.8212908195732743,0.2373856551518494
GO:0006979,0.8759469060491114,0.26323676177385175
GO:0007005,0.8134351880156688,0.23188701432790942
GO:0007010,0.8010558085359145,0.22098631544461977
GO:0007031,0.8842378695581881,0.2696380619945652
GO:0007033,0.8305700229275865,0.24444883351976215
GO:0007059,0.8269994864022566,0.23616567611000072
GO:0007124,0.7979584123459963,0.2321524912257763
GO:0008033,0.8851711215791371,0.2733809430094605
GO:0008168,0.8578183947073279,0.25889997256242414
GO:0008233,0.8577701327456214,0.2546769107322801
GO:0008289,0.8594740651975815,0.2573640442731028
GO:0008380,0.8540037732009977,0.25209047219732944
GO:0008643,0.9128080804762375,0.2848912711048698
GO:0009408,0.8657462140354751,0.2636864013761056
GO:0009451,0.8977609442169964,0.2746190270544453
GO:0016197,0.9010338685071031,0.2778354164908573
GO:0016301,0.7697704783444496,0.20798703848468983
GO:0016491,0.8334650765226489,0.24327033489231353
GO:0016757,0.8605014351991491,0.25630404296737497
GO:0016779,0.876674074539375,0.2633522731108083
GO:0016791,0.8453984027222773,0.24544291821934955
GO:0016798,0.8877764145307063,0.2721423779536377
GO:0016829,0.853001314346996,0.25265167400664224
GO:0016853,0.8338444633212294,0.24875056094964115
GO:0016874,0.8266990827039805,0.23902718570252707
GO:0019843,0.9525963825246392,0.3069152244466626
GO:0022857,0.8058799114723978,0.22448947195149957
GO:0030427,0.8127321058092771,0.22587176172045817
GO:0030674,0.8389767607427785,0.2475337671927091
GO:0031410,0.807087763302519,0.22829436389102853
GO:0032196,0.9201475368883164,0.287584273903038
GO:0032543,0.9476967296144629,0.30661047477308995
GO:0042273,0.9479990025244109,0.305116040171886
GO:0042274,0.9441451314492892,0.3023552927642383
GO:0042393,0.9113290987378672,0.280965970183251
GO:0045333,0.8875741459883177,0.274679035585035
GO:0051082,0.8774232502668139,0.2657088860446079
GO:0051321,0.8183451317288245,0.23509005143696607
GO:0051603,0.8443362201552849,0.2497596803522584
GO:0051726,0.8014402983620132,0.22369158415513277
