Term,Single AUC,Single Avg Prec,AllGO AUC,AllGO Avg Prec,AUC Diff,Avg Prec Diff
GO:0000054,0.6184291898577605,0.1273499671121096,0.924832839929758,0.2930148773177277,0.30640365007199744,0.16566491020561808
GO:0000278,0.7059518125515597,0.1589327996462776,0.7943281461522009,0.2189950283308598,0.08837633360064123,0.06006222868458219
GO:0000747,0.619008188019613,0.1293073054870822,0.8176800106379457,0.2361275810870256,0.19867182261833272,0.10682027559994342
GO:0001403,,,0.8201067052838944,0.2368475337609309,,
GO:0002181,,,0.9399999991736628,0.2909948053685102,,
GO:0003677,0.6563811988035173,0.1434745158214303,0.7048741726147392,0.1849862842239777,0.04849297381122186,0.04151176840254739
GO:0003682,0.5851920162552703,0.1178856350676818,0.8396925656205965,0.2536850405965339,0.2545005493653262,0.1357994055288521
GO:0003700,0.6573075601291154,0.1352232904954969,0.8488599064479216,0.2468537481107156,0.19155234631880624,0.1116304576152187
GO:0003735,,,0.9507427824377268,0.31038468453305,,
GO:0004386,,,0.8974605529241565,0.2785580029858445,,
GO:0004518,0.7705162887074313,0.214423690916269,0.8699870288210989,0.2564249598786912,0.09947074011366763,0.04200126896242218
GO:0005085,0.5041937229437241,0.103939379905359,0.854569499546474,0.2574989872288144,0.3503757766027499,0.15355960732345542
GO:0005576,0.7574386128105154,0.1812117055068283,0.8965460122454361,0.2722554520065472,0.13910739943492068,0.09104374649971891
GO:0005618,,,0.8901907370612581,0.2733154356423765,,
GO:0005694,,,0.7916917870665889,0.2195394468188962,,
GO:0005730,0.8728900431181082,0.2596479829268374,0.9288339178900245,0.3008307090863923,0.0559438747719162,0.04118272615955493
GO:0005740,0.702836501337804,0.1791508158247304,0.8109493448533731,0.2316934335228394,0.10811284351556916,0.052542617698109
GO:0005773,0.6322162562126843,0.1323793699472973,0.7981263299827102,0.220792461072518,0.16591007377002587,0.0884130911252207
GO:0005777,,,0.8972690309798504,0.2796847654338926,,
GO:0005783,,,0.7675335266799533,0.2144787672201002,,
GO:0005794,0.7021113675169182,0.1535326768012282,0.8325992812652099,0.2365245126043869,0.13048791374829172,0.08299183580315869
GO:0005840,0.8280664739584456,0.2540592174559685,0.9060903145626666,0.2935066859783096,0.07802384060422107,0.0394474685223411
GO:0005886,0.6465316967530903,0.1406108802295836,0.7435197401506924,0.1960009860938245,0.09698804339760214,0.055390105864240896
GO:0005933,,,0.8240050894136471,0.2326808911766856,,
GO:0005938,,,0.8451886478404869,0.248509598806839,,
GO:0006260,0.7128640270918254,0.1694927496277002,0.8565720626119873,0.2550728025409308,0.14370803552016187,0.08558005291323059
GO:0006281,0.6676342787251919,0.1438992112083044,0.7950336139175117,0.2181439461455764,0.12739933519231983,0.07424473493727199
GO:0006310,0.7959633256326696,0.21848605435083,0.8712211352697975,0.2554423886026171,0.07525780963712791,0.0369563342517871
GO:0006325,,,0.8421518937368819,0.247056582300839,,
GO:0006352,,,0.887504535796208,0.2708571464671668,,
GO:0006353,0.5892929292929288,0.1326747351326385,0.8685688894140889,0.2627486960910369,0.2792759601211602,0.1300739609583984
GO:0006360,0.7176315447987067,0.1458200812617172,0.8835759819369386,0.2670735752972012,0.16594443713823193,0.12125349403548402
GO:0006364,0.8648341387656721,0.2606821154567851,0.9320483758601028,0.2994572688483379,0.06721423709443075,0.0387751533915528
GO:0006366,,,0.73632779831641,0.1893357888165522,,
GO:0006383,,,0.8714478553861686,0.2654443363736976,,
GO:0006397,0.6703127081333222,0.148095222098404,0.8324429201306167,0.239190637810325,0.1621302119972945,0.09109541571192101
GO:0006401,0.6038795696823691,0.1235372518990453,0.8654425892117856,0.2578165824320167,0.2615630195294165,0.13427933053297142
GO:0006413,0.658736121546039,0.1678008373111172,0.9116612020504808,0.2869154825124211,0.25292508050444185,0.11911464520130391
GO:0006414,,,0.9036456145765588,0.2834523343018718,,
GO:0006418,,,0.944655839837421,0.3030268100453918,,
