Gene,Correlation
ADH1,2.0536728
ERG4,1.9721528
COX15,1.8492367
TDH3,1.759412
CCP1,1.7309309
TSC13,1.6754256
ADH5,1.6554815
NRE1,1.6517398
ERG3,1.6477402
TSC10,1.6456882
IRC24,1.6449071
SDH4,1.644014
TRX1,1.5741624
OST3,1.5394671
GRX5,1.5298805
OST6,1.5255829
TDH2,1.5200287
NCP1,1.5096058
ERG1,1.5089775
IRC15,1.4960337
ERG24,1.4920595
ENV9,1.4888228
HOM6,1.4875277
IMD4,1.4748524
NAR1,1.444099
FRE2,1.4334357
IMD3,1.4261885
SHH4,1.410664
SDH3,1.4011668
MSC7,1.3923255
SCS7,1.3797729
RNR1,1.3728247
AIM45,1.3592598
YDL144C,1.3421239
PRO3,1.3374902
GND1,1.318607
FRD1,1.3178622
TDA5,1.2814755
ZWF1,1.2754494
ALO1,1.2706144
CBR1,1.2680123
SPS19,1.2453847
SHB17,1.2348835
ERG26,1.217297
ARO1,1.209385
ADH3,1.199146
FDH2,1.1879935
COX5A,1.1865183
HMG2,1.1857637
ERG5,1.1673466
PDI1,1.1575494
FET3,1.1405166
FRE6,1.1236569
AAD6,1.1057277
AIF1,1.1011696
DFG10,1.0983974
BDH1,1.0907552
PDB1,1.0906477
FET5,1.0889486
FRE3,1.0778105
YBP1,1.0723797
COX9,1.0708151
ERG25,1.0677965
PDA1,1.067687
TDH1,1.0589855
OAR1,1.0430661
RSM26,1.0356722
KTI11,1.0208933
AYR1,1.0149097
PST2,1.0147625
RIP1,1.0081055
MXR2,1.0042305
MPO1,0.9862472
MET12,0.98462945
COQ6,0.98231846
FRE1,0.9797766
GTT1,0.97867006
LYS2,0.96774364
GDH3,0.96625566
LYS1,0.95156455
DLD3,0.94436055
ADH2,0.93070775
HMG1,0.92344004
YAH1,0.923254
ERG27,0.920023
FRE8,0.91290003
FRE7,0.9042306
HIS4,0.88856256
AAD4,0.8775856
QCR10,0.87088
YML131W,0.86887205
YLL056C,0.8654845
UGA2,0.8615202
DUS4,0.85196793
GLT1,0.8478687
AAD14,0.8374482
SHH3,0.83415955
FAS1,0.81607646
ERG11,0.80662334
ERV2,0.80205417
ALD4,0.7898025
IMD2,0.7791539
RIB7,0.76774096
SFA1,0.75791806
SUR2,0.7545724
LEU2,0.7545169
MET13,0.7509525
HOM2,0.75090015
MET10,0.7476977
OYE3,0.7442989
TRR2,0.74262893
BNA2,0.74145657
FAS2,0.72945696
GRE2,0.7269815
ARR2,0.7250215
AAD10,0.7045063
GND2,0.70415074
BNA4,0.6940293
MDH2,0.6869459
FMS1,0.6835767
ARG56,0.6812765
ADH6,0.6799555
SOD1,0.66274387
YPL276W,0.66240954
CIR2,0.6550615
FRE4,0.64947045
ADH4,0.6422815
PRO2,0.627432
GDH1,0.6231175
ARH1,0.61515874
AAD3,0.5990909
YIM1,0.57476604
SOR2,0.5693001
AIM33,0.5672302
SRX1,0.5650569
QCR9,0.5636527
IDH2,0.5591776
GPD1,0.54622436
OSI1,0.54257643
IFA38,0.539811
NDE1,0.53900355
IDP1,0.53684074
COX8,0.52433896
GLR1,0.51616955
YPR1,0.51401263
