Gene,Correlation
APT1,2.1348596
ALG3,2.1109304
DPM1,1.9888036
ALG8,1.9844407
AUR1,1.954805
GPI18,1.9247096
ALG7,1.912359
PMT4,1.9082772
ALG6,1.8632691
APT2,1.8620819
KTR1,1.8162879
GPI1,1.7387838
IPT1,1.7034594
GPI2,1.7005322
ALG9,1.6842314
GPI10,1.6549562
OST3,1.5394671
FKS1,1.5258437
ALG14,1.464355
TRP4,1.3838459
ALG12,1.3785042
PMT1,1.3633572
GPI14,1.3348864
PMT6,1.3333696
BNA6,1.2952781
UTR2,1.2704021
THI4,1.2464724
GSC2,1.2366138
SMP3,1.2268224
MNN11,1.2110529
STT3,1.1632768
HIS1,1.1618584
MNT2,1.146086
PMT2,1.1045481
ANP1,1.1005534
PNP1,1.0938444
MNN2,0.97626066
URA5,0.9615713
CRH1,0.94816154
ADE4,0.94251543
MNN5,0.8950263
PMT3,0.8666546
YUR1,0.85469323
DIE2,0.8537896
CHS3,0.8346002
PMT5,0.82473654
CHS2,0.80099136
ALG1,0.79000133
FKS3,0.78962225
ALG11,0.7723517
GSY2,0.7567835
KTR5,0.7372631
FUR1,0.7305063
SPT14,0.7093926
MNT4,0.68297154
KTR7,0.67751443
GDB1,0.6739027
XPT1,0.66165984
